index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,2330324,33134,121979,572,972507,16446,1235838,16529,7041,369,27975863,84532,330949344,North America,142,2713,12
2,Brazil,1070139,31571,50058,968,543186,22826,476895,8318,5036,236,2409830,11339,212516958,South America,199,4245,88
3,Russia,576952,7889,8002,161,334592,10186,234358,2300,3954,55,16661287,114171,145932915,Europe,253,18237,9
4,India,411727,15915,13277,307,228181,13975,170269,8944,298,10,6616496,4796,1379604102,Asia,3351,103909,209
5,UK,303110,1295,42589,128,-1,-1,-1,379,4466,627,7714201,113651,67876328,Europe,224,1594,9
6,Spain,293018,363,28322,7,-1,-1,-1,617,6267,606,4826516,103231,46754331,Europe,160,1651,10
7,Peru,251338,3413,7861,201,138763,3243,104714,1143,7626,239,1482563,44984,32957322,South America,131,4193,22
8,Italy,238275,264,34610,49,182453,546,21212,152,3941,572,4943825,81765,60463939,Europe,254,1747,12
9,Chile,236748,5355,4295,202,196609,5118,35844,1951,12388,225,943593,49373,19111466,South America,81,4450,20
10,Iran,202584,2322,9507,115,161384,2192,31693,2842,2413,113,1395675,16623,83959572,Asia,414,8831,60
11,Germany,191216,556,8961,1,174700,300,7555,376,2282,107,5029696,60037,83776947,Europe,438,9349,17
12,Turkey,186493,1248,4927,22,158828,1312,22738,781,2212,58,2904744,34452,84311855,Asia,452,17112,29
13,Pakistan,171666,6604,3382,153,63504,2121,104780,111,778,15,1042787,4724,220744151,Asia,1286,65270,212
14,Mexico,170485,5030,20394,647,127332,4237,22759,378,1323,158,465867,3614,128892314,North America,756,6320,277
15,France,160093,641,29633,16,74312,195,56148,715,2453,454,1384633,21214,65269812,Europe,408,2203,47
16,Saudi Arabia,154233,3941,1230,46,98917,3153,54086,1955,4432,35,1248997,35895,34796248,Asia,226,28290,28
17,Bangladesh,108775,3240,1425,37,43993,1048,63357,1,661,9,599579,3642,164640865,Asia,1514,115537,275
18,Canada,101019,390,8410,64,63488,485,29121,2014,2677,223,2382781,63149,37732573,North America,374,4487,16
19,South Africa,92681,4966,1877,46,50326,2501,40478,208,1563,32,1293608,21820,59285549,Africa,640,31585,46
20,Qatar,86488,1026,94,1,66763,1354,19631,224,30803,33,317694,113147,2807805,Asia,32,29870,9
21,Colombia,65633,2357,2126,81,25499,1511,38008,335,1290,42,585822,11517,50866658,South America,775,23926,87
22,Belgium,60550,74,9696,1,16771,20,34083,50,5225,837,1098910,94829,11588277,Europe,191,1195,11
23,Belarus,57936,603,343,6,36749,1474,20844,92,6131,36,842173,89125,9449399,Europe,163,27549,11
24,Sweden,56043,-1,5053,-1,-1,-1,-1,272,5550,500,385659,38193,10097524,Europe,180,1998,26
25,Egypt,53758,1547,2106,89,14327,399,37325,41,526,21,135000,1320,102268294,Africa,1902,48560,758
26,Ecuador,49731,-1,4156,-1,24446,-1,21129,234,2820,236,137930,7822,17634401,South America,355,4243,128
27,Netherlands,49502,76,6089,8,-1,-1,-1,57,2889,355,517317,30193,17133901,Europe,346,2814,33
28,Indonesia,45029,1226,2429,56,17883,534,24717,-1,165,9,621156,2272,273437170,Asia,6072,112572,440
29,UAE,44533,388,301,1,31754,758,12478,1,4504,30,3038000,307280,9886737,Asia,222,32846,3
30,Singapore,41833,218,26,-1,34224,765,7583,1,7152,4,576189,98510,5849031,Asia,140,224963,10
31,Argentina,41204,1634,992,13,12206,355,28006,353,912,22,264604,5856,45183679,South America,1097,45548,171
32,Kuwait,39145,467,319,6,30726,536,8100,180,9171,75,351636,82378,4268544,Asia,109,13381,12
33,Portugal,38841,377,1528,1,24906,429,12407,70,3809,150,1047109,102684,10197394,Europe,263,6674,10
34,Ukraine,35825,841,994,9,16406,373,18425,345,819,23,553737,12660,43739420,Europe,1221,44003,79
35,Poland,31620,304,1346,12,16181,483,14093,72,835,36,1320399,34887,37847604,Europe,1197,28119,29
36,Switzerland,31243,8,1956,-1,28900,-1,387,16,3611,226,502371,58059,8652837,Europe,277,4424,17
37,Philippines,29400,941,1150,20,7650,272,20600,82,268,10,580346,5298,109535407,Asia,3726,95248,189
38,Iraq,29222,1870,1013,88,13211,1006,14998,212,727,25,425192,10580,40189838,Asia,1375,39674,95
39,Oman,28566,896,128,3,14780,806,13658,99,5599,25,154232,30231,5101715,Asia,179,39857,33
40,Afghanistan,28424,546,569,21,8292,330,19563,19,731,15,63951,1644,38896589,Asia,1368,68360,608
41,Dominican Republic,25778,710,655,8,14957,352,10166,174,2377,60,122646,11309,10844690,North America,421,16557,88
42,Ireland,25374,6,1715,1,22698,-1,961,17,5140,347,399259,80885,4936120,Europe,195,2878,12
43,Panama,25222,948,493,8,14359,-1,10370,107,5849,114,105470,24457,4312553,North America,171,8748,41
44,Romania,23730,330,1500,16,16735,180,5495,190,1233,78,619997,32224,19240413,Europe,811,12827,31
45,Bolivia,22476,977,715,18,4670,668,17091,71,1926,61,55114,4724,11668007,South America,519,16319,212
46,Bahrain,21331,415,60,3,15790,503,5481,33,12555,35,470409,276869,1699030,Asia,80,28317,4
47,Israel,20633,294,305,1,15586,-1,4742,40,2243,33,804743,87495,9197590,Asia,446,30156,11
48,Nigeria,19808,661,506,19,6718,137,12584,7,96,2,108548,527,205948218,Africa,10397,407012,1
49,Armenia,19708,551,332,13,8854,588,10522,10,6651,112,93786,31651,2963102,Asia,150,8925,32
50,Japan,17799,59,952,17,16077,69,770,61,141,8,409022,3234,126485360,Asia,7106,132863,309
51,Austria,17323,52,688,-1,16175,34,460,8,1924,76,558208,61989,9004991,Europe,520,13089,16
52,Kazakhstan,16779,428,118,5,10671,476,5990,121,894,6,1239138,66018,18769832,Asia,1119,159066,15
53,Moldova,13953,397,464,14,7745,220,5744,440,3459,115,63328,15698,4034182,Europe,289,8694,64
54,Ghana,13717,514,85,15,10074,5526,3558,6,442,3,267286,8608,31050023,Africa,2264,365294,116
55,Serbia,12803,94,260,1,11511,-1,1032,18,1465,30,336553,38515,8738163,Europe,683,33608,26
56,Guatemala,12509,641,483,34,2419,129,9607,5,699,27,31427,1755,17904281,North America,1431,37069,570
57,Denmark,12391,-1,600,-1,11282,-1,509,6,2139,104,876344,151311,5791666,Europe,467,9653,7
58,S. Korea,12373,67,280,-1,10856,21,1237,15,241,5,1170901,22839,51268085,Asia,4144,183100,44
59,Azerbaijan,12238,471,148,5,6516,191,5574,66,1207,15,417102,41148,10136519,Asia,828,68490,24
60,Algeria,11631,127,837,12,8324,128,2470,38,265,19,-1,-1,43824262,Africa,3768,52359,
