index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,4856173,43145,158828,463,2440861,60644,2256484,18681,14663,480,60816695,183638,331176957,North America,68,2085,5
2,Brazil,2750318,16641,94665,535,1912319,28268,743334,8318,12931,445,13196132,62043,212694204,South America,77,2247,16
3,India,1855331,50629,38971,810,1230440,43212,585920,8944,1343,28,20202858,14627,1381196835,Asia,744,35442,68
4,Russia,856264,5394,14207,79,653593,3420,188464,2300,5867,97,29029900,198916,145940242,Europe,170,10272,5
5,South Africa,516862,5377,8539,173,358037,10810,150286,539,8705,144,3058695,51516,59373395,Africa,115,6953,19
6,Mexico,439046,4853,47746,274,289394,4547,101906,3944,3402,370,1005498,7791,129051364,North America,294,2703,128
7,Peru,428850,-1,19614,-1,294187,-1,115049,1410,12991,594,2404046,72825,33011298,South America,77,1683,14
8,Chile,361493,1762,9707,99,333976,1565,17810,235,18896,507,1697558,88735,19130722,South America,53,1971,11
9,Spain,344134,3044,28472,9,-1,-1,-1,617,7360,609,6678414,142834,46756451,Europe,136,1642,7
10,Colombia,317651,-1,10650,-1,167239,-1,139762,1493,6237,209,1647396,32346,50930338,South America,160,4782,31
11,Iran,312035,2598,17405,215,270228,2126,24402,4104,3711,207,2534658,30144,84085874,Asia,269,4831,33
12,UK,305623,928,46210,9,-1,-1,-1,86,4500,680,16717684,246145,67918139,Europe,222,1470,4
13,Saudi Arabia,280093,1258,2949,32,242055,1974,35089,2017,8035,85,3473715,99648,34859989,Asia,124,11821,10
14,Pakistan,280029,331,5984,8,248873,296,25172,1064,1266,27,2010170,9086,221248898,Asia,790,36973,110
15,Italy,248229,159,35166,12,200589,129,12474,41,4106,582,6940801,114812,60453535,Europe,244,1719,9
16,Bangladesh,242102,1356,3184,30,137905,1066,101013,-1,1469,19,1193544,7241,164833483,Asia,681,51769,138
17,Turkey,233851,995,5747,19,217497,1003,10607,580,2770,68,4927217,58367,84418418,Asia,361,14689,17
18,Germany,212320,858,9232,6,193600,-1,9488,270,2533,110,8006135,95529,83808340,Europe,395,9078,10
19,Argentina,201919,-1,3667,19,91302,2276,106950,1122,4464,81,747907,16535,45232356,South America,224,12335,60
20,France,191295,556,30294,22,81500,-1,79501,371,2930,464,2982302,45680,65286732,Europe,341,2155,22
