index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,2718131,36320,129972,614,1129033,11856,1459126,15941,8212,393,33699035,101811,330996984,North America,122,2547,10
2,Brazil,1402041,31553,59594,1209,757462,-1,584985,8318,6596,280,3070447,14445,212554056,South America,152,3567,69
3,Russia,647849,6693,9320,154,412650,9220,225879,2300,4439,64,19562440,134050,145934449,Europe,225,15658,7
4,India,585792,18256,17410,506,347836,12565,220546,8944,425,13,8608654,6238,1379937465,Asia,2356,79261,160
5,UK,312654,689,43730,155,-1,-1,-1,276,4606,644,9426631,138862,67885079,Europe,217,1552,7
6,Spain,296351,301,28355,9,-1,-1,-1,617,6338,606,5162909,110425,46754775,Europe,158,1649,9
7,Peru,285213,2848,9677,173,174535,3376,101001,1185,8651,294,1679386,50939,32968619,South America,116,3407,20
8,Chile,279393,3394,5688,113,241229,5075,32476,2106,14616,298,1109792,58057,19115496,South America,68,3361,17
9,Italy,240578,142,34767,23,190248,1052,15563,93,3979,575,5390110,89149,60461762,Europe,251,1739,11
10,Iran,227662,2457,10817,147,188758,2578,28087,3049,2711,129,1666587,19844,83986007,Asia,369,7764,50
11,Mexico,220657,3805,27121,473,131264,4421,62272,378,1712,210,566602,4395,128925604,North America,584,4754,228
12,Pakistan,209337,2825,4304,137,98503,3096,106530,2689,948,19,1283092,5810,220849796,Asia,1055,51313,172
13,Turkey,199906,1293,5131,16,173111,1302,21664,1026,2370,61,3381650,40098,84334159,Asia,422,16436,25
14,Germany,195797,405,9052,11,179100,1000,7645,337,2337,108,5412655,64603,83783518,Europe,428,9256,15
15,Saudi Arabia,190823,4387,1649,50,130766,3648,58408,2278,5482,47,1639314,47094,34809589,Asia,182,21110,21
16,France,164801,541,29843,30,76274,625,58684,602,2525,457,1384633,21213,65273353,Europe,396,2187,47
17,South Africa,151209,6945,2657,128,73543,2929,75009,539,2550,45,1630008,27486,59303935,Africa,392,22320,36
18,Bangladesh,145483,3682,1847,64,59624,1844,84012,1,883,11,769460,4672,164681180,Asia,1132,89161,214
19,Canada,104144,226,8591,25,67522,344,28031,2089,2759,228,2721685,72115,37740701,North America,362,4393,14
20,Qatar,96088,982,113,-1,81564,1394,14411,200,34222,40,356832,127086,2807805,Asia,29,24848,8
21,Colombia,95043,-1,3223,-1,39954,-1,51866,335,1868,63,743437,14612,50879986,South America,535,15787,68
22,Sweden,68451,198,5333,12,-1,-1,-1,144,6778,528,444607,44025,10099069,Europe,148,1894,23
23,Egypt,68311,1557,2953,81,18460,509,46898,41,668,29,135000,1319,102315827,Africa,1498,34648,758
24,Argentina,62268,-1,1283,3,22028,890,38957,457,1378,28,352402,7798,45193867,South America,726,35225,128
25,Belarus,62118,328,392,5,46054,841,15672,89,6574,41,1000785,105911,9449322,Europe,152,24105,9
26,Belgium,61427,66,9747,15,16984,43,34696,41,5300,841,1226238,105806,11589514,Europe,189,1189,9
27,Ecuador,56432,767,4527,25,27594,164,24311,288,3199,257,147212,8345,17640992,South America,313,3897,120
