index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,6135598,39363,186783,882,3400494,24656,2548321,16183,18519,564,81003200,244490,331314584,North America,54,1774,4
2,Brazil,3846153,33548,120452,858,3006812,30016,718889,8318,18074,566,14352484,67445,212801376,South America,55,1767,15
3,India,3539712,78472,63657,944,2712520,64982,763535,8944,2561,46,40406609,29234,1382159883,Asia,390,21713,34
4,Russia,985346,4941,17025,111,804383,5917,163938,2300,6752,117,36000000,246669,145944672,Europe,148,8572,4
5,Peru,639435,9474,28607,136,446675,8658,164153,1524,19351,866,3156679,95530,33043934,South America,52,1155,10
6,South Africa,622551,2419,13981,238,536694,2759,71876,539,10476,235,3652970,61470,59426511,Africa,95,4251,16
7,Colombia,590520,-1,18767,-1,429620,-1,142133,1493,11586,368,2654983,52090,50968843,South America,86,2716,19
8,Mexico,585738,5824,63146,552,404667,4188,117925,3221,4535,489,1319957,10221,129147534,North America,220,2045,98
9,Spain,455621,-1,29011,-1,-1,-1,-1,751,9744,620,8517446,182161,46757733,Europe,103,1612,5
10,Chile,408009,2037,11181,49,381183,1731,15645,959,21314,584,2365753,123587,19142366,South America,47,1712,8
11,Argentina,401239,9230,8353,82,287220,7055,105666,2192,8865,185,1222359,27006,45261789,South America,113,5419,37
12,Iran,371816,1905,21359,110,319847,1577,30610,3791,4418,254,3184857,37842,84162243,Asia,226,3940,26
13,UK,332752,1108,41498,12,-1,-1,-1,60,4897,611,16273209,239511,67943420,Europe,204,1637,4
14,Saudi Arabia,313911,987,3840,27,288441,1038,21630,1555,8995,110,5026127,144021,34898530,Asia,111,9088,7
15,Bangladesh,308925,2131,4206,32,198863,2027,105856,-1,1873,25,1525815,9250,164949951,Asia,534,39218,108
16,Pakistan,295372,319,6284,1,280340,403,8748,642,1333,28,2581695,11653,221554094,Asia,750,35257,86
17,France,272530,5453,30602,6,86177,-1,155751,387,4174,469,6175223,94571,65296963,Europe,240,2134,11
18,Turkey,267064,1549,6284,39,242812,1003,17968,917,3161,74,6937088,82112,84482851,Asia,316,13444,12
19,Italy,266853,1444,35473,1,208224,1322,23156,79,4415,587,8509618,140778,60447245,Europe,227,1704,7
20,Germany,242824,710,9363,3,217061,-1,16400,245,2897,112,11208091,133705,83827321,Europe,345,8953,7
21,Iraq,227446,3834,6891,77,169020,4146,51535,579,5635,171,1567133,38828,40360411,Asia,177,5857,26
22,Philippines,213131,3637,3419,94,135101,655,74611,837,1941,31,2515352,22906,109810397,Asia,515,32118,44
23,Indonesia,169195,3308,7261,92,122802,1902,39132,-1,618,27,2198403,8024,273982115,Asia,1619,37733,125
24,Canada,127677,319,9113,5,113501,267,5063,50,3378,241,5355340,141695,37794891,North America,296,4147,7
25,Qatar,118407,211,196,-1,115251,234,2960,67,42171,70,620128,220859,2807805,Asia,24,14326,5
26,Ukraine,116978,2481,2492,41,56138,1055,58348,177,2677,57,1516712,34715,43690148,Europe,373,17532,29
27,Bolivia,114409,1280,4846,55,54914,2393,54649,71,9780,414,239073,20437,11698031,South America,102,2414,49
28,Israel,113465,1465,906,12,92104,1053,20455,438,12336,99,2217857,241135,9197590,Asia,81,10152,4
29,Ecuador,112906,765,6537,33,95429,118,10940,357,6384,370,326552,18465,17684937,South America,157,2705,54
30,Kazakhstan,105558,150,1523,-1,95888,635,8147,221,5611,81,2434444,129408,18812164,Asia,178,12352,8
31,Egypt,98497,212,5376,14,71302,883,21819,41,960,52,135000,1315,102632718,Africa,1042,19091,760
32,Dominican Republic,93732,342,1673,25,66320,1035,25739,235,8627,154,363807,33484,10865182,North America,116,6494,30
33,Panama,90624,-1,1966,-1,64602,-1,24056,154,20952,455,326597,75507,4325367,North America,48,2200,13
34,Romania,85833,1365,3539,32,37388,332,44906,490,4467,184,1780963,92680,19216352,Europe,224,5430,11
35,Oman,85005,-1,650,-1,79608,-1,4747,153,16582,127,309212,60319,5126278,Asia,60,7887,17
36,Kuwait,84224,646,528,3,75993,673,7703,92,19676,123,611639,142891,4280457,Asia,51,8107,7
37,Sweden,83958,-1,5821,-1,-1,-1,-1,21,8305,576,1094856,108301,10109375,Europe,120,1737,9
38,Belgium,83952,452,9886,2,18360,-1,55706,77,7239,852,2234172,192638,11597764,Europe,138,1173,5
39,Guatemala,73679,758,2728,19,61163,629,9788,5,4101,152,240745,13399,17966848,North America,244,6586,75
40,Belarus,71523,177,671,4,70207,320,645,-1,7570,71,1517128,160563,9448815,Europe,132,14082,6
41,Netherlands,69632,501,6224,4,-1,-1,-1,38,4062,363,1455274,84900,17141028,Europe,246,2754,12
42,UAE,69328,427,379,-1,60202,341,8747,-1,6996,38,6923940,698734,9909260,Asia,143,26146,1
43,Japan,66423,850,1255,17,55341,1346,9827,230,525,10,1440826,11398,126412688,Asia,1903,100727,88
44,Poland,66239,759,2032,14,45536,751,18671,87,1751,54,2660665,70314,37839819,Europe,571,18622,14
45,Morocco,60056,1567,1078,26,44618,1569,14360,31,1624,29,1890964,51135,36979649,Africa,616,34304,20
46,Honduras,58810,1141,1827,24,10076,490,46907,45,5923,184,141114,14212,9929180,North America,169,5435,70
47,Portugal,57448,374,1818,3,41766,210,13864,40,5637,178,1976482,193928,10191814,Europe,177,5606,5
48,Singapore,56717,51,27,-1,55447,110,1243,-1,9682,5,1832813,312890,5857694,Asia,103,216952,3
49,Nigeria,53727,250,1011,-1,41314,297,11402,7,260,5,398304,1925,206914338,Africa,3851,204663,519
50,Bahrain,51391,278,189,-1,48275,515,2927,32,30049,111,1095373,640478,1710244,Asia,33,9049,2
51,Ethiopia,49654,1514,770,12,18116,701,30768,329,430,7,869430,7534,115395424,Africa,2324,149864,133
52,Ghana,44118,169,270,-1,42581,189,1267,6,1415,9,439246,14091,31172550,Africa,707,115454,71
53,Venezuela,43879,-1,366,-1,34972,-1,8541,86,1544,13,1734382,61021,28422677,South America,648,77658,16
54,Algeria,43781,378,1491,8,30717,281,11573,28,996,34,-1,-1,43973737,Africa,1004,29493,
55,Kyrgyzstan,43712,125,1057,-1,37973,247,4682,24,6683,162,267718,40929,6540955,Asia,150,6188,24
56,Armenia,43626,175,872,3,37563,299,5191,-1,14718,294,203979,68816,2964143,Asia,68,3399,15
57,Switzerland,41722,376,2005,1,35200,400,4517,18,4815,231,1000884,115512,8664751,Europe,208,4322,9
58,Uzbekistan,41067,244,307,4,38250,303,2510,133,1224,9,1377915,41076,33545195,Asia,817,109268,24
59,Costa Rica,39699,1214,418,11,15737,1073,23544,133,7782,82,143049,28040,5101523,North America,129,12205,36
60,Afghanistan,38143,3,1402,-1,29063,4,7678,31,976,36,102381,2621,39062273,Asia,1024,27862,382
61,Nepal,37340,884,207,12,20555,313,16578,-1,1278,7,669626,22918,29218027,Asia,782,141150,44
62,Moldova,36404,500,990,9,25139,983,10275,575,9028,246,207925,51563,4032422,Europe,111,4073,19
63,Azerbaijan,36174,188,529,2,33576,115,2069,-1,3563,52,910890,89710,10153731,Asia,281,19194,11
64,Kenya,33794,164,572,5,19590,156,13632,44,626,11,445722,8261,53952521,Africa,1597,94323,121
65,Serbia,31282,75,710,1,29825,23,747,40,3583,81,920852,105462,8731559,Europe,279,12298,9
66,Ireland,28720,142,1777,-1,23364,-1,3579,5,5806,359,824712,166726,4946514,Europe,172,2784,6
67,Austria,26985,395,733,-1,22866,272,3386,30,2993,81,1160743,128762,9014660,Europe,334,12298,8
68,Australia,25547,99,600,17,20856,223,4091,32,1000,23,6114456,239345,25546642,Australia/Oceania,1000,42578,4
69,El Salvador,25537,122,708,6,13799,229,11030,275,3934,109,310444,47823,6491477,North America,254,9169,21
70,Czechia,23963,186,421,2,17536,39,6006,32,2237,39,891140,83189,10712210,Europe,447,25445,12
71,Palestine,21668,417,147,2,14631,340,6890,-1,4232,29,263288,51429,5119487,Asia,236,34826,19
72,Bosnia and Herzegovina,19550,336,594,3,12858,125,6098,-1,5965,181,183974,56134,3277430,Europe,168,5518,18
73,S. Korea,19400,323,321,5,14765,214,4314,64,378,6,1909329,37236,51276376,Asia,2643,159739,27
74,Cameroon,19142,-1,411,-1,17651,-1,1080,30,718,15,149000,5592,26646028,Africa,1392,64832,179
75,Ivory Coast,17893,96,115,-1,16440,125,1338,-1,676,4,125972,4758,26477332,Africa,1480,230238,210
76,Denmark,16779,79,624,-1,14989,112,1166,4,2895,108,2400103,414132,5795502,Europe,345,9288,2
77,Lebanon,16275,662,155,7,4484,224,11636,91,2386,23,511468,74991,6820392,Asia,419,44003,13
78,Bulgaria,16164,99,605,2,11253,22,4306,61,2329,87,403213,58102,6939728,Europe,429,11471,17
79,Paraguay,15873,-1,280,-1,8595,-1,6998,76,2221,39,185921,26016,7146356,South America,450,25523,38
80,Madagascar,14791,95,190,3,13753,44,848,49,532,7,57254,2060,27798638,Africa,1879,146309,486
81,North Macedonia,14293,130,596,6,11014,81,2683,3,6861,286,147002,70560,2083360,Europe,146,3496,14
82,Senegal,13456,72,282,3,9233,142,3941,42,800,17,143852,8557,16810490,Africa,1249,59612,117
83,Sudan,13189,107,823,-1,6612,9,5754,-1,300,19,401,9,44005240,Africa,3337,53469,109
84,Libya,12958,329,231,5,1333,23,11394,-1,1882,34,103850,15081,6885970,Africa,531,29809,66
85,Zambia,11902,123,284,1,11092,147,526,-1,645,15,113355,6140,18461196,Africa,1551,65004,163
86,Norway,10611,29,264,-1,9348,-1,999,1,1955,49,686202,126419,5428015,Europe,512,20561,8
87,DRC,10007,13,258,3,9068,33,681,-1,111,3,-1,-1,89966589,Africa,8990,348708,
88,Greece,9977,177,260,1,3804,-1,5913,36,958,25,931002,89394,10414628,Europe,1044,40056,11
89,Croatia,9861,312,183,3,7024,215,2654,12,2404,45,165716,40408,4101063,Europe,416,22410,25
90,Malaysia,9317,11,125,-1,9038,8,154,8,287,4,1232927,38017,32431298,Asia,3481,259450,26
91,Albania,9279,84,275,4,5020,97,3984,19,3225,96,56815,19746,2877282,Europe,310,10463,51
92,Guinea,9251,-1,59,-1,8282,-1,910,24,702,4,23588,1789,13186395,Africa,1425,223498,559
93,French Guiana,9076,54,58,-1,8620,34,398,13,30268,193,52668,175647,299852,South America,33,5170,6
94,Tajikistan,8516,35,68,-1,7309,33,1139,-1,890,7,-1,-1,9570376,Asia,1124,140741,
95,Gabon,8505,-1,53,-1,7187,-1,1265,2,3808,24,116252,52044,2233729,Africa,263,42146,19
96,Haiti,8174,13,201,-1,5743,-1,2230,-1,715,18,23322,2041,11424457,North America,1398,56838,490
97,Finland,8049,7,335,-1,7200,-1,514,1,1452,60,636019,114761,5542120,Europe,689,16544,9
98,Maldives,7578,109,28,-1,4925,52,2625,12,13981,52,110249,203404,542021,Asia,72,19358,5
99,Namibia,7116,210,69,4,2817,28,4230,16,2793,27,58610,23002,2548034,Africa,358,36928,43
100,Mauritania,7012,-1,158,-1,6407,-1,447,3,1502,34,69937,14982,4668099,Africa,666,29545,67
101,Luxembourg,6625,45,124,-1,7140,-1,-639,2,10557,198,633773,1009892,627565,Europe,95,5061,1
102,Zimbabwe,6406,18,196,1,5056,13,1154,-1,430,13,149748,10052,14896814,Africa,2325,76004,99
103,Hungary,5669,158,614,-1,3759,-1,1296,7,587,64,417890,43276,9656316,Europe,1703,15727,23
104,Malawi,5528,5,174,-1,3143,-1,2211,4,288,9,44296,2307,19204650,Africa,3474,110372,434
105,Djibouti,5385,2,60,-1,5314,7,11,-1,5438,61,66859,67517,990251,Africa,184,16504,15
106,Equatorial Guinea,4941,-1,83,-1,3884,-1,974,1,3505,59,51944,36845,1409786,Africa,285,16985,27
107,Hong Kong,4787,18,86,2,4287,38,414,23,638,11,780415,103963,7506693,Asia,1568,87287,10
108,Montenegro,4727,64,93,1,3839,108,795,-1,7526,148,48030,76471,628079,Europe,133,6754,13
109,CAR,4700,-1,61,-1,1784,-1,2855,2,971,13,31042,6410,4842806,Africa,1030,79390,156
110,Nicaragua,4494,-1,137,-1,2913,-1,1444,-1,677,21,-1,-1,6636999,North America,1477,48445,
111,Eswatini,4461,-1,91,-1,3210,-1,1160,11,3839,78,29679,25540,1162069,Africa,260,12770,39
112,Congo,3979,-1,78,-1,1742,-1,2159,-1,718,14,-1,-1,5538694,Africa,1392,71009,
113,Cuba,3925,59,94,2,3273,51,558,5,347,8,388194,34276,11325485,North America,2885,120484,29
114,Suriname,3848,-1,66,-1,2971,-1,811,24,6550,112,7837,13340,587469,South America,153,8901,75
115,Rwanda,3843,101,16,-1,1904,38,1923,-1,296,1,399400,30721,13000904,Africa,3383,812557,33
116,Slovakia,3842,114,33,-1,2254,29,1555,11,704,6,332393,60877,5460073,Europe,1421,165457,16
117,Cabo Verde,3778,33,39,1,2855,48,884,-1,6783,70,76576,137493,556943,Africa,147,14281,7
118,Mozambique,3760,63,22,1,2078,23,1660,-1,120,0.7,92998,2963,31386802,Africa,8348,1426673,337
119,Tunisia,3572,111,76,2,1536,14,1960,15,302,6,139527,11786,11838229,Africa,3314,155766,85
120,Thailand,3411,1,58,-1,3242,5,111,1,49,0.8,749213,10729,69828393,Asia,20472,1203938,93
121,Somalia,3310,35,97,2,2481,38,732,-1,207,6,-1,-1,15959768,Africa,4822,164534,
122,Mayotte,3301,-1,40,-1,2964,-1,297,1,12056,146,13000,47477,273815,Africa,83,6845,21
123,Sri Lanka,2995,6,12,-1,2849,7,134,-1,140,0.6,219162,10228,21427746,Asia,7155,1785646,98
124,Gambia,2895,98,96,-1,751,8,2048,-1,1193,40,12460,5134,2426851,Africa,838,25280,195
125,Uganda,2847,91,29,1,1288,-1,1530,-1,62,0.6,367423,7995,45955101,Africa,16142,1584659,125
126,Lithuania,2839,29,86,-1,1833,17,920,5,1045,32,634751,233721,2715855,Europe,957,31580,4
127,Slovenia,2834,37,133,-1,2268,32,433,2,1363,64,157467,75742,2078985,Europe,734,15631,13
