index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,3527296,47813,138953,706,1581365,31896,1806978,15942,10654,420,43705432,132012,331071090,North America,94,2383,8
2,Brazil,1895555,7596,73161,240,1213512,-1,608882,8318,8916,344,4572796,21508,212611764,South America,112,2906,46
3,India,937487,29842,24315,588,593080,20968,320092,8944,679,18,12092503,8760,1380456029,Asia,1473,56774,114
4,Russia,739947,6248,11614,175,512825,8804,215508,2300,5070,80,23495752,160999,145936834,Europe,197,12566,6
5,Peru,330123,-1,12054,-1,221008,-1,97061,1314,10008,365,1943679,58924,32986193,South America,100,2737,17
6,Chile,319493,1836,7069,45,289220,2664,23204,1915,16708,370,1322503,69162,19121766,South America,60,2705,14
7,Mexico,304435,4685,35491,485,189063,4299,79881,378,2360,275,739922,5737,128977388,North America,424,3634,174
8,Spain,303699,666,28409,3,-1,-1,-1,617,6495,608,6026446,128893,46755465,Europe,154,1646,8
9,South Africa,298292,10496,4346,174,146279,8038,147667,539,5027,73,2232738,37631,59332536,Africa,199,13652,27
10,UK,291373,398,44968,138,-1,-1,-1,162,4291,662,12270317,180715,67898692,Europe,233,1510,6
11,Iran,262173,2521,13211,179,225270,2731,23692,3389,3120,157,2023079,24076,84027129,Asia,321,6360,42
12,Pakistan,253604,1979,5320,54,170656,8739,77628,2151,1147,24,1606190,7267,221014132,Asia,871,41544,138
13,Italy,243344,114,34984,17,195441,335,12919,60,4025,579,6004611,99318,60458374,Europe,248,1728,10
14,Saudi Arabia,237803,2692,2283,40,177560,7718,57960,2235,6827,66,2336874,67093,34830342,Asia,146,15256,15
15,Turkey,214993,992,5402,20,196720,1049,12871,1204,2548,64,4065178,48183,84368854,Asia,392,15618,21
16,Germany,200704,268,9141,2,185500,400,6063,264,2395,109,6376054,76092,83793738,Europe,417,9167,13
17,Bangladesh,190057,3163,2424,33,103227,4910,84406,1,1154,15,966400,5866,164743893,Asia,867,67964,170
18,France,172377,-1,30029,-1,78597,-1,63751,492,2641,460,2489269,38133,65278862,Europe,379,2174,26
19,Colombia,154277,-1,5455,-1,65809,-1,83013,875,3031,107,1056814,20762,50900720,South America,330,9331,48
20,Canada,108377,222,8796,6,72079,238,27502,2159,2871,233,3257608,86287,37753346,North America,348,4292,12
21,Qatar,104533,517,150,1,101160,533,3223,137,37229,53,420649,149814,2807805,Asia,27,18719,7
22,Argentina,103265,-1,1926,23,45467,1294,55872,752,2284,43,483799,10701,45209716,South America,438,23473,93
23,Egypt,83930,929,4008,73,25544,569,54378,41,820,39,135000,1318,102389769,Africa,1220,25546,758
24,Iraq,81757,2022,3345,95,50782,3784,27630,412,2031,83,698012,17343,40246696,Asia,492,12032,58
