index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,6092969,46335,185835,1039,3370495,22555,2536639,16225,18391,561,80193430,242050,331309290,North America,54,1783,4
2,Brazil,3812605,48112,119571,845,2976796,29546,716238,8318,17917,562,14172764,66602,212797254,South America,56,1780,15
3,India,3461240,76665,62713,1019,2647538,64475,750989,8944,2504,45,39477848,28563,1382122843,Asia,399,22039,35
4,Russia,980405,4829,16914,110,798466,5905,165025,2300,6718,116,35751747,244968,145944502,Europe,149,8629,4
5,Peru,621997,-1,28277,-1,429662,-1,164058,1526,18824,856,3089459,93499,33042679,South America,53,1169,11
6,South Africa,620132,1846,13743,115,533935,2597,72454,539,10436,231,3632311,61125,59424468,Africa,96,4324,16
7,Colombia,590520,8498,18767,299,429620,11827,142133,1493,11586,368,2654983,52092,50967362,South America,86,2716,19
8,Mexico,579914,6026,62594,518,400479,3721,116841,3294,4490,485,1304776,10103,129143835,North America,223,2063,99
9,Spain,455621,3829,29011,15,-1,-1,-1,751,9744,620,8517446,182161,46757684,Europe,103,1612,5
10,Chile,405972,1870,11132,60,379452,1530,15388,1012,21209,582,2333516,121906,19141918,South America,47,1720,8
11,Argentina,392009,11717,8271,221,280165,5707,103573,2114,8661,183,1196878,26444,45260657,South America,115,5472,38
12,Iran,369911,2115,21249,112,318270,1632,30392,3811,4395,252,3161894,37570,84159305,Asia,228,3961,27
13,UK,331644,1276,41486,9,-1,-1,-1,71,4881,611,16273209,239515,67942448,Europe,205,1638,4
14,Saudi Arabia,312924,1069,3813,28,287403,1148,21708,1576,8967,109,4792192,137324,34897048,Asia,112,9152,7
15,Bangladesh,306794,2211,4174,47,196836,3378,105784,-1,1860,25,1514126,9180,164945471,Asia,538,39517,109
16,Pakistan,295053,415,6283,9,279937,376,8833,644,1332,28,2559261,11552,221542355,Asia,751,35261,87
17,France,267077,7379,30596,20,86177,193,150304,387,4090,469,6030812,92360,65296569,Europe,244,2134,11
18,Turkey,265515,1517,6245,36,241809,1017,17461,896,3143,74,6835674,80914,84480373,Asia,318,13528,12
19,Italy,265409,1462,35472,9,206902,348,23035,74,4391,587,8410510,139137,60447487,Europe,228,1704,7
20,Germany,242101,1536,9360,1,215495,-1,17246,245,2888,112,11208091,133706,83826591,Europe,346,8956,7
21,Iraq,223612,4177,6814,74,164874,3865,51924,582,5541,169,1547498,38344,40357939,Asia,180,5923,26
22,Philippines,209544,3999,3325,91,134474,510,71745,580,1908,30,2472563,22517,109806412,Asia,524,33024,44
23,Indonesia,165887,3003,7169,105,120900,2325,37818,-1,605,26,2169418,7918,273974218,Asia,1652,38217,126
24,Canada,127074,226,9108,6,113039,214,4927,45,3362,241,5294012,140076,37793988,North America,297,4150,7
25,Qatar,118196,208,196,1,115017,220,2983,68,42096,70,614354,218802,2807805,Asia,24,14326,5
26,Ukraine,114497,2438,2451,48,55083,866,56963,177,2621,56,1494243,34200,43690862,Europe,382,17826,29
27,Bolivia,113129,1035,4791,65,52521,2124,55817,71,9671,410,239073,20438,11697596,South America,103,2442,49
28,Ecuador,112141,922,6504,33,95311,109,10326,381,6341,368,323303,18282,17684205,South America,158,2719,55
29,Israel,112000,1597,894,10,91051,3325,20055,414,12177,97,2217857,241135,9197590,Asia,82,10288,4
30,Kazakhstan,105408,165,1523,-1,95253,540,8632,221,5603,81,2434444,129412,18811550,Asia,178,12352,8
31,Egypt,98285,223,5362,20,70419,807,22504,41,958,52,135000,1315,102627437,Africa,1044,19140,760
32,Dominican Republic,93390,426,1648,18,65285,938,26457,233,8596,152,360999,33226,10864885,North America,116,6593,30
33,Panama,90624,642,1966,18,64602,606,24056,154,20953,455,326597,75511,4325182,North America,48,2200,13
34,Oman,85005,-1,650,-1,79608,-1,4747,153,16583,127,309212,60323,5125922,Asia,60,7886,17
35,Romania,84468,1318,3507,48,37056,379,43905,497,4396,182,1756920,91427,19216700,Europe,228,5480,11
36,Sweden,83958,-1,5821,5,-1,-1,-1,21,8305,576,1094856,108303,10109203,Europe,120,1737,9
37,Kuwait,83578,633,525,3,75320,798,7733,94,19526,123,607921,142028,4280284,Asia,51,8153,7
38,Belgium,83500,470,9884,5,18360,29,55256,82,7200,852,2211804,190712,11597626,Europe,139,1173,5
39,Guatemala,72921,1065,2709,24,60534,893,9678,5,4059,151,237210,13203,17965941,North America,246,6632,76
40,Belarus,71346,181,667,5,69887,237,792,-1,7551,71,1504964,159275,9448823,Europe,132,14166,6
41,Netherlands,69131,507,6220,2,-1,-1,-1,47,4033,363,1455274,84901,17140925,Europe,248,2756,12
42,UAE,68901,390,379,1,59861,389,8661,-1,6953,38,6835137,689795,9908934,Asia,144,26145,1
43,Japan,65573,905,1238,12,53995,1172,10340,227,519,10,1420589,11238,126413742,Asia,1928,102111,89
44,Poland,65480,791,2018,8,44785,688,18677,89,1730,53,2660665,70314,37839932,Europe,578,18751,14
45,Morocco,58489,1404,1052,41,43049,1148,14388,31,1582,28,1868545,50531,36978454,Africa,632,35151,20
46,Honduras,57669,1020,1803,56,9586,417,46280,39,5808,182,137618,13861,9928749,North America,172,5507,72
47,Portugal,57074,401,1815,6,41556,199,13703,38,5600,178,1976482,193927,10191895,Europe,179,5615,5
48,Singapore,56666,94,27,-1,55337,198,1302,-1,9674,5,1832813,312897,5857568,Asia,103,216947,3
49,Nigeria,53477,160,1011,-1,41017,291,11449,7,258,5,394524,1907,206900336,Africa,3869,204649,524
50,Bahrain,51113,357,189,1,47760,390,3164,30,29889,111,1088418,636471,1710082,Asia,33,9048,2
51,Ethiopia,48140,1733,758,13,17415,586,29967,357,417,7,850236,7369,115387620,Africa,2397,152226,136
52,Ghana,43841,-1,270,-1,42246,-1,1325,5,1406,9,437750,14044,31170774,Africa,711,115447,71
53,Kyrgyzstan,43587,128,1057,-1,37726,234,4804,24,6664,162,267718,40931,6540660,Asia,150,6188,24
54,Armenia,43451,181,869,5,37264,276,5318,-1,14659,293,202253,68234,2964128,Asia,68,3411,15
55,Algeria,43403,387,1483,8,30436,279,11484,28,987,34,-1,-1,43971571,Africa,1013,29650,
56,Venezuela,42898,-1,358,-1,34147,-1,8393,86,1509,13,1734382,61021,28422897,South America,663,79394,16
57,Switzerland,41346,340,2004,1,34800,-1,4542,18,4772,231,988383,114072,8664579,Europe,210,4324,9
