index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
1,USA,1713850,7624,100090,285,468941,1144819,17084,5181,303,15309265,46278,330811717,North America
2,Brazil,377780,1111,23622,100,153833,200325,8318,1779,111,735224,3461,212409786,South America
3,Russia,362342,8915,3807,174,131129,227406,2300,2483,26,9160590,62775,145928485,Europe
4,Spain,283339,859,27117,280,196958,59264,854,6060,580,3556567,76071,46753049,Europe
5,UK,265227,4043,37048,134,-1,-1,1559,3909,546,3681295,54256,67851047,Europe
6,Italy,230555,397,32955,78,144658,52942,521,3813,545,3539927,58540,60470230,Europe
7,France,182942,-1,28432,-1,65199,89311,1609,2803,436,1384633,21217,65259581,Europe
8,Germany,181094,305,8449,21,162000,10645,873,2162,101,3595059,42922,83757965,Europe
9,Turkey,158762,948,4397,28,121507,32858,739,1884,52,1873607,22239,84247422,Asia
10,India,150739,5789,4349,177,64272,82118,8944,109,3,3126119,2268,1378641054,Asia
11,Iran,139511,1787,7508,57,109437,22566,2567,1663,90,837090,9979,83883203,Asia
12,Peru,123979,-1,3629,-1,50949,69401,909,3766,110,840922,25541,32924686,South America
13,Canada,85998,287,6566,21,44898,34534,502,2281,174,1500557,39793,37709091,North America
14,Chile,77961,3964,806,45,30915,46240,1202,4082,42,501125,26237,19099822,South America
15,Saudi Arabia,76726,1931,411,12,48450,27865,384,2207,12,738743,21254,34757706,Asia
16,Mexico,71105,2485,7633,239,49890,13582,378,552,59,225650,1752,128796145,North America
17,Pakistan,57705,1356,1197,30,18314,38194,111,262,5,490908,2227,220438956,Asia
18,Belgium,57455,113,9334,22,15320,32801,249,4960,806,795447,68664,11584702,Europe
19,Qatar,47207,1742,28,2,11844,35335,205,16414,10,196411,68294,2875978,Asia
20,Netherlands,45578,133,5856,26,-1,-1,188,2661,342,324918,18966,17131215,Europe
21,Belarus,38059,915,208,4,15086,22765,92,4028,22,472906,50045,9449619,Europe
22,Ecuador,37355,-1,3203,-1,18003,16149,211,2121,182,106554,6049,17615358,South America
23,Bangladesh,36751,1166,522,21,7579,28650,1,223,3,258550,1571,164524398,Asia
24,Sweden,34440,597,4125,96,4971,25344,304,3412,409,238800,23660,10093058,Europe
25,Singapore,32343,383,23,-1,16444,15876,8,5533,4,294414,50364,5845767,Asia
26,UAE,31086,779,253,5,15982,14851,1,3147,26,2072493,209804,9878250,Asia
27,Portugal,31007,219,1342,12,18096,11569,71,3040,132,689705,67621,10199497,Europe
28,Switzerland,30761,15,1915,2,28200,646,41,3557,221,375115,43374,8648347,Europe
29,Ireland,24735,37,1615,9,21060,2060,54,5015,327,325795,66055,4932204,Europe
30,South Africa,23615,-1,481,-1,11917,11217,128,399,8,596777,10075,59232433,Africa
31,Indonesia,23165,415,1418,27,5877,15870,-1,85,5,264098,967,273231828,Asia
32,Kuwait,22575,608,172,7,7306,15097,196,5294,40,276207,64776,4264055,Asia
33,Poland,22074,443,1024,17,10020,11030,160,583,27,801753,21182,37850537,Europe
34,Colombia,21981,-1,750,-1,5265,15966,136,432,15,260812,5131,50828154,South America
35,Ukraine,21584,339,644,21,7575,13365,259,493,15,301736,6896,43757987,Europe
36,Egypt,18756,789,797,14,5027,12932,41,184,8,135000,1322,102130974,Africa
37,Romania,18429,146,1216,11,11874,5339,181,957,63,385728,20038,19249480,Europe
38,Israel,16757,23,281,-1,14457,2019,43,1822,31,545761,59337,9197590,Asia
39,Japan,16581,-1,830,-1,13612,2139,165,131,7,435412,3442,126512743,Asia
40,Austria,16557,18,643,2,15182,732,32,1839,71,411185,45680,9001347,Europe
41,Dominican Republic,15264,191,468,8,8534,6262,123,1409,43,69608,6423,10836968,North America
42,Philippines,14669,350,886,13,3412,10371,81,134,8,307434,2809,109431787,Asia
43,Argentina,12628,-1,471,4,4167,7990,171,280,10,133468,2956,45154246,South America
44,Afghanistan,11831,658,220,1,1128,10483,19,305,6,32870,846,38834157,Asia
45,Denmark,11428,41,563,-1,10044,821,23,1974,97,559454,96620,5790221,Europe
46,Serbia,11227,34,239,-1,6067,4921,11,1284,27,223771,25601,8740651,Europe
47,S. Korea,11225,19,269,2,10275,681,15,219,5,839475,16375,51264961,Asia
48,Panama,11183,-1,310,-1,6279,4594,72,2596,72,59339,13775,4307725,North America
