Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
El Salvador,424,29,10,-1,124,290,2,65,2,25492,3930,North America
Jamaica,422,26,8,1,29,385,3,143,3,4439,1499,North America
Réunion,422,2,-1,-1,300,122,2,471,-1,-1,-1,Africa
Kenya,411,15,21,4,150,240,2,8,0.4,21702,404,Africa
Palestine,353,9,2,-1,76,275,-1,69,0.4,32200,6312,Asia
Venezuela,335,2,10,-1,142,183,2,12,0.4,458737,16132,South America
Mauritius,332,-1,10,-1,312,10,3,261,8,16028,12603,Africa
Montenegro,322,-1,7,-1,233,82,2,513,11,6864,10929,Europe
Isle of Man,316,1,22,1,271,23,21,3716,259,3228,37962,Europe
Equatorial Guinea,315,-1,1,-1,9,305,-1,225,0.7,854,609,Africa
Gabon,276,-1,3,-1,67,206,1,124,1,724,325,Africa
Vietnam,270,-1,-1,-1,219,51,8,3,-1,261004,2681,Asia
Paraguay,266,17,10,1,113,143,1,37,1,9903,1388,South America
Guinea-Bissau,257,52,1,-1,19,237,-1,131,0.5,1500,762,Africa
Rwanda,249,6,-1,-1,109,140,-1,19,-1,10969,847,Africa
Congo,229,9,9,-1,25,195,-1,41,2,-1,-1,Africa
Faeroe Islands,187,-1,-1,-1,184,3,-1,3827,-1,7081,144915,Europe
Martinique,179,1,14,-1,83,82,5,477,37,-1,-1,North America
Liberia,152,11,18,2,45,89,-1,30,4,-1,-1,Africa
Guadeloupe,152,1,12,-1,95,45,6,380,30,-1,-1,North America
Myanmar,151,1,6,-1,31,114,-1,3,0.1,8281,152,Asia
Gibraltar,144,-1,-1,-1,131,13,-1,4274,-1,2626,77944,Europe
Brunei,138,-1,1,-1,124,13,2,315,2,13717,31355,Asia
Sierra Leone,136,12,7,-1,21,108,-1,17,0.9,-1,-1,Africa
Ethiopia,133,2,3,-1,66,64,-1,1,0.03,18754,163,Africa
Madagascar,132,4,-1,-1,94,38,1,5,-1,3228,117,Africa
French Guiana,128,2,1,-1,98,29,2,429,3,-1,-1,South America
Togo,123,7,9,-1,66,48,-1,15,1,7100,858,Africa
Cabo Verde,122,1,1,-1,18,103,-1,219,2,791,1423,Africa
Cambodia,122,-1,-1,-1,119,3,1,7,-1,12084,723,Asia
Trinidad and Tobago,116,-1,8,-1,81,27,-1,83,6,1772,1266,North America
Bermuda,114,-1,6,-1,48,60,4,1831,96,2791,44815,North America
Zambia,109,3,3,-1,74,32,1,6,0.2,5284,287,Africa
Eswatini,106,6,1,-1,12,93,-1,91,0.9,714,615,Africa
Aruba,100,-1,2,-1,81,17,4,937,19,1721,16119,North America
Monaco,95,-1,4,-1,73,18,1,2421,102,-1,-1,Europe
Benin,90,26,2,1,42,46,-1,7,0.2,-1,-1,Africa
Haiti,85,4,8,-1,10,67,-1,7,0.7,848,74,North America
Uganda,85,2,-1,-1,52,33,-1,2,-1,33818,739,Africa
Guyana,82,-1,9,-1,22,51,2,104,11,579,736,South America
Liechtenstein,82,-1,1,-1,55,26,-1,2151,26,900,23605,Europe
Bahamas,81,-1,11,-1,25,45,1,206,28,1284,3265,North America
Barbados,81,-1,7,-1,39,35,4,282,24,2160,7516,North America
Mozambique,79,3,-1,-1,12,67,-1,3,-1,2246,72,Africa
Sint Maarten,76,1,13,-1,44,19,7,1773,303,329,7673,North America
Cayman Islands,74,1,1,-1,10,63,3,1126,15,1927,29320,North America
Chad,73,-1,5,-1,33,35,-1,4,0.3,-1,-1,Africa
CAR,72,22,-1,-1,10,62,-1,15,-1,-1,-1,Africa
Libya,63,2,3,-1,18,42,-1,9,0.4,1949,284,Africa
Nepal,59,2,-1,-1,16,43,-1,2,-1,60374,2072,Asia
French Polynesia,58,-1,-1,-1,51,7,1,206,-1,2544,9056,Australia/Oceania
Macao,45,-1,-1,-1,37,8,1,69,-1,-1,-1,Asia
South Sudan,45,10,-1,-1,-1,45,-1,4,-1,1247,111,Africa
Syria,44,1,3,-1,27,14,-1,3,0.2,-1,-1,Asia
Zimbabwe,40,-1,4,-1,5,31,-1,3,0.3,7642,514,Africa
Eritrea,39,-1,-1,-1,26,13,-1,11,-1,-1,-1,Africa
Saint Martin,38,-1,3,-1,27,8,3,983,78,-1,-1,North America
Mongolia,38,-1,-1,-1,10,28,-1,12,-1,7672,2340,Asia
Malawi,37,-1,3,-1,9,25,1,2,0.2,831,43,Africa
Angola,30,3,2,-1,11,17,-1,0.9,0.06,481,15,Africa
Antigua and Barbuda,25,1,3,-1,15,7,1,255,31,151,1542,North America
Timor-Leste,24,-1,-1,-1,16,8,-1,18,-1,322,244,Asia
Botswana,23,-1,1,-1,8,14,-1,10,0.4,7675,3264,Africa
Grenada,20,-1,-1,-1,13,7,4,178,-1,1406,12495,North America
Laos,19,-1,-1,-1,8,11,-1,3,-1,2021,278,Asia
Belize,18,-1,2,-1,13,3,1,45,5,1043,2623,North America
Fiji,18,-1,-1,-1,12,6,-1,20,-1,1007,1123,Australia/Oceania
New Caledonia,18,-1,-1,-1,17,1,1,63,-1,4947,17328,Australia/Oceania
Saint Lucia,17,-1,-1,-1,15,2,-1,93,-1,446,2429,North America
Curaçao,16,-1,1,-1,13,2,-1,98,6,351,2139,North America
Sao Tome and Principe,16,2,1,1,4,11,-1,73,5,19,87,Africa
Dominica,16,-1,-1,-1,13,3,-1,222,-1,383,5320,North America
Namibia,16,-1,-1,-1,8,8,-1,6,-1,704,277,Africa
St. Vincent Grenadines,16,-1,-1,-1,8,8,-1,144,-1,108,973,North America
Saint Kitts and Nevis,15,-1,-1,-1,6,9,-1,282,-1,293,5508,North America
Tajikistan,15,-1,-1,-1,-1,15,-1,2,-1,-1,-1,Asia
Nicaragua,14,-1,3,-1,7,4,-1,2,0.5,-1,-1,North America
Falkland Islands,13,-1,-1,-1,13,0,-1,3736,-1,372,106897,South America
Gambia,12,1,1,-1,8,3,-1,5,0.4,401,166,Africa
Turks and Caicos,12,-1,1,-1,5,6,-1,310,26,83,2144,North America
