index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,3474639,60644,138183,401,1543036,25952,1793420,15810,10495,417,43017251,129936,331065797,North America,95,2396,8
2,Brazil,1884967,18791,72833,682,1213512,-1,598622,8318,8866,343,4572796,21508,212607642,South America,113,2919,46
3,India,907645,28179,23727,540,572112,17683,311806,8944,658,17,11806256,8553,1380418989,Asia,1521,58179,117
4,Russia,733699,6537,11439,104,504021,2960,218239,2300,5028,78,23200000,158973,145936664,Europe,199,12758,6
5,Peru,330123,3797,12054,184,221008,3897,97061,1314,10008,365,1943679,58926,32984938,South America,100,2736,17
6,Chile,317657,2616,7024,45,286556,2654,24077,1995,16613,367,1310265,68524,19121318,South America,60,2722,15
7,Spain,303033,681,28406,1,-1,-1,-1,617,6481,608,6026446,128893,46755416,Europe,154,1646,8
8,Mexico,299750,4482,35006,276,184764,3912,79980,378,2324,271,728484,5648,128973689,North America,430,3684,177
9,UK,290133,530,44830,11,-1,-1,-1,185,4273,660,12128749,178633,67897720,Europe,234,1515,6
10,South Africa,287796,11554,4172,93,138241,3367,145383,539,4851,70,2194624,36990,59330493,Africa,206,14221,27
11,Iran,259652,2349,13032,203,222539,2546,24081,3375,3090,155,1997967,23778,84024191,Asia,324,6448,42
12,Pakistan,251625,2753,5266,69,161917,5217,84442,1837,1139,24,1585170,7173,221002394,Asia,878,41968,139
13,Italy,243230,169,34967,13,195106,178,13157,65,4023,578,5962744,98625,60458616,Europe,249,1729,10
14,Saudi Arabia,235111,2852,2243,20,169842,2704,63026,2235,6750,64,2336874,67096,34828860,Asia,148,15528,15
15,Turkey,214001,1008,5382,19,195671,1156,12948,1223,2537,64,4021947,47672,84366376,Asia,394,15676,21
16,Germany,200436,486,9139,5,185100,500,6197,264,2392,109,6376054,76093,83793008,Europe,418,9169,13
17,Bangladesh,186894,3099,2391,39,98317,4703,86186,1,1134,15,955947,5803,164739414,Asia,881,68900,172
18,France,172377,288,30029,18,78597,209,63751,492,2641,460,2489269,38133,65278468,Europe,379,2174,26
19,Colombia,154277,3832,5455,148,65809,2358,83013,875,3031,107,1056814,20763,50899239,South America,330,9331,48
