index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,2138573,21651,117422,597,849010,7076,1172141,16716,6463,355,24250759,73286,330906997,North America,155,2818,14
2,Brazil,832866,2964,42055,154,427610,30918,363201,8318,3920,198,1476057,6947,212483982,South America,255,5053,144
3,Russia,520129,8706,6829,114,274641,5271,238659,2300,3564,47,14574117,99870,145931552,Europe,281,21369,10
4,India,321626,12023,9205,315,162326,8095,150095,8944,233,7,5507182,3993,1379307780,Asia,4289,149843,250
5,UK,294375,1425,41662,181,-1,-1,-1,492,4337,614,6624676,97610,67868549,Europe,231,1629,10
6,Spain,290685,396,27136,-1,-1,-1,-1,617,6217,580,4465338,95507,46753936,Europe,161,1723,10
7,Italy,236651,346,34301,78,174865,1780,27485,220,3914,567,4564191,75484,60465875,Europe,256,1763,13
8,Peru,220749,-1,6308,-1,107133,-1,107308,1089,6700,191,1315417,39925,32947280,South America,149,5223,25
9,Germany,187423,172,8867,4,171900,300,6656,447,2237,106,4694147,56035,83771107,Europe,447,9448,18
10,Iran,184955,2410,8730,71,146748,2099,29477,2755,2204,104,1219400,14528,83936074,Asia,454,9615,69
11,Turkey,176677,1459,4792,14,150087,985,21798,684,2096,57,2586995,30691,84292030,Asia,477,17590,33
12,Chile,167355,6509,3101,231,137296,5938,26958,1656,8758,162,819999,42914,19107883,South America,114,6162,23
13,France,156813,526,29398,24,72808,236,54607,871,2403,450,1384633,21215,65266664,Europe,416,2220,47
14,Mexico,139196,5222,16448,504,101767,3703,20981,378,1080,128,393714,3055,128862724,North America,926,7835,327
15,Pakistan,132405,6472,2551,88,50056,9809,79798,111,600,12,839019,3802,220650245,Asia,1666,86496,263
16,Saudi Arabia,123308,3366,932,39,82548,1519,39828,1843,3545,27,1087021,31250,34784389,Asia,282,37322,32
17,Canada,98368,425,8105,56,59333,810,30930,1929,2607,215,2072096,54926,37725348,North America,384,4655,18
18,Bangladesh,84379,2856,1139,44,17828,579,65412,1,513,7,489960,2977,164605029,Asia,1951,144517,336
19,Qatar,78416,1828,70,-1,55252,1956,23094,232,27928,25,286830,102155,2807805,Asia,36,40112,10
20,South Africa,65736,3809,1423,69,36850,1844,27463,208,1109,24,1087887,18355,59269206,Africa,902,41651,54
21,Belgium,59918,99,9650,4,16547,49,33721,88,5171,833,1010059,87170,11587177,Europe,193,1201,11
22,Belarus,53241,721,303,5,29111,1351,23827,92,5634,32,714324,75594,9449466,Europe,177,31186,13
23,Sweden,50931,180,4874,20,-1,-1,-1,272,5045,483,325000,32190,10096150,Europe,198,2071,31
24,Netherlands,48640,179,6057,4,-1,-1,-1,77,2839,354,455067,26561,17133075,Europe,352,2829,38
25,Colombia,46858,-1,1545,-1,18715,-1,26598,335,921,30,470351,9249,50854810,South America,1085,32916,108
26,Ecuador,46356,578,3874,46,22865,186,19617,219,2630,220,134141,7609,17628541,South America,380,4550,131
27,Egypt,42980,1677,1484,62,11529,421,29967,41,420,15,135000,1321,102226041,Africa,2378,68885,757
28,UAE,41990,491,288,1,26761,815,14941,1,4248,29,2626000,265679,9884125,Asia,235,34320,4
29,Singapore,40197,347,25,-1,28808,768,11364,1,6874,4,488695,83566,5848027,Asia,145,233921,12
30,Indonesia,37420,1014,2091,43,13776,563,21553,-1,137,8,495527,1813,273373988,Asia,7306,130738,552
31,Portugal,36463,283,1512,7,22438,238,12513,77,3575,148,975737,95679,10198041,Europe,280,6745,10
32,Kuwait,35466,514,289,4,25882,834,9295,176,8311,68,332288,77871,4267163,Asia,120,14765,13
33,Switzerland,31094,31,1938,-1,28800,-1,356,15,3594,224,453745,52447,8651455,Europe,278,4464,19
34,Ukraine,30506,753,880,10,13976,409,15650,306,697,20,479111,10952,43745133,Europe,1434,49710,91
35,Poland,29017,440,1237,15,14104,299,13676,77,767,33,1169088,30889,37848507,Europe,1304,30597,32
36,Argentina,28764,-1,802,17,9083,340,18879,274,637,18,228324,5054,45174623,South America,1571,56327,198
37,Philippines,25392,605,1074,22,5706,252,18612,82,232,10,495449,4525,109503524,Asia,4313,101959,221
38,Ireland,25295,45,1705,-1,22698,-1,892,28,5126,345,367780,74526,4934915,Europe,195,2894,13
39,Afghanistan,24102,556,451,5,4201,273,19450,19,620,12,54770,1409,38877379,Asia,1613,86203,710
40,Dominican Republic,22572,564,577,9,13084,330,8911,110,2082,53,100035,9226,10842314,North America,480,18791,108
41,Oman,22077,1006,99,3,7530,41,14448,94,4330,19,136164,26705,5098867,Asia,231,51504,37
42,Romania,21679,275,1394,14,15635,190,4650,171,1127,72,552670,28720,19243203,Europe,888,13804,35
43,Panama,19211,-1,421,-1,13759,-1,5031,96,4456,98,87041,20190,4311067,North America,224,10240,50
44,Israel,18972,177,300,-1,15357,69,3315,33,2063,33,739627,80415,9197590,Asia,485,30659,12
45,Iraq,18950,1180,549,53,7515,647,10886,111,472,14,359950,8961,40170062,Asia,2120,73170,112
46,Bahrain,17713,444,37,1,12191,288,5485,12,10433,22,410842,241995,1697730,Asia,96,45885,4
47,Japan,17332,-1,922,-1,15493,-1,917,82,137,7,332207,2626,126493785,Asia,7298,137195,381
48,Austria,17078,14,677,2,16012,27,389,11,1897,75,520976,57861,9003870,Europe,527,13300,17
49,Bolivia,16929,764,559,26,2431,59,13939,71,1451,48,42741,3664,11664526,South America,689,20867,273
50,Armenia,16004,723,264,6,6081,442,9659,10,5401,89,80130,27044,2962981,Asia,185,11223,37
51,Nigeria,15181,-1,399,-1,4891,-1,9891,7,74,2,88432,430,205836204,Africa,13559,515880,2
52,Kazakhstan,14238,366,73,3,8829,-1,5336,77,759,4,1050098,55961,18764924,Asia,1318,257054,18
53,Serbia,12251,76,253,1,11348,-1,650,15,1402,29,301126,34458,8738929,Europe,713,34541,29
54,Denmark,12139,40,597,3,11035,42,507,11,2096,103,786198,135757,5791221,Europe,477,9701,7
55,S. Korea,12051,48,277,-1,10691,22,1083,15,235,5,1094704,21353,51267124,Asia,4254,185080,47
56,Moldova,11459,366,398,13,6421,192,4640,378,2840,99,63328,15697,4034386,Europe,352,10137,64
57,Ghana,11118,262,48,-1,3979,58,7091,4,358,2,245448,7909,31035817,Africa,2791,646580,126
58,Algeria,10810,112,760,9,7420,98,2630,39,247,17,-1,-1,43806931,Africa,4052,57641,
59,Czechia,9960,22,329,-1,7219,4,2412,14,930,31,494805,46209,10708043,Europe,1075,32547,22
60,Azerbaijan,9570,352,115,2,5309,193,4146,66,944,11,362654,35784,10134524,Asia,1059,88126,28
61,Guatemala,8982,421,351,17,1702,135,6929,5,502,20,31427,1756,17897027,North America,1993,50989,569
62,Morocco,8692,82,212,-1,7696,78,784,7,236,6,405898,11004,36887633,Africa,4244,173998,91
63,Cameroon,8681,-1,212,-1,4836,-1,3633,28,328,8,-1,-1,26506586,Africa,3053,125031,
64,Norway,8625,5,242,-1,8138,-1,245,5,1592,45,277253,51162,5419109,Europe,628,22393,20
65,Malaysia,8445,43,120,1,7311,143,1014,4,261,4,618360,19118,32344058,Asia,3830,269534,52
66,Honduras,8132,463,306,12,844,7,6982,13,822,31,21540,2177,9896013,North America,1217,32340,459
67,Australia,7302,12,102,-1,6812,29,388,2,287,4,1782651,69951,25484418,Australia/Oceania,3490,249847,14
68,Finland,7087,14,325,-1,6200,-1,562,2,1279,59,217300,39222,5540315,Europe,782,17047,25
69,Sudan,7007,128,447,14,2556,140,4004,-1,160,10,401,9,43789277,Africa,6249,97963,109
70,Nepal,5335,273,18,2,913,36,4404,-1,183,0.6,317870,10921,29107633,Asia,5456,1617091,92
71,Senegal,4996,145,60,4,3228,128,1708,23,299,4,59008,3530,16717343,Africa,3346,278622,283
72,Tajikistan,4971,69,50,1,3288,130,1633,-1,522,5,-1,-1,9525198,Asia,1916,190504,
73,Uzbekistan,4966,97,19,-1,3874,116,1073,16,148,0.6,748555,22383,33443106,Asia,6734,1760163,45
74,Ivory Coast,4848,164,45,-1,2397,134,2406,-1,184,2,35935,1364,26339495,Africa,5433,585322,733
75,DRC,4724,87,106,5,595,15,4023,-1,53,1,-1,-1,89391169,Africa,18923,843313,
76,Guinea,4484,58,25,1,3213,107,1246,24,342,2,14407,1099,13111180,Africa,2924,524447,910
77,Djibouti,4449,8,41,3,2823,93,1585,-1,4507,42,40855,41384,987227,Africa,222,24079,24
78,Hungary,4064,11,559,4,2476,29,1029,20,421,58,230139,23820,9661455,Europe,2377,17283,42
79,Luxembourg,4063,8,110,-1,3922,4,31,-1,6496,176,106062,169585,625420,Europe,154,5686,6
80,Haiti,3941,-1,64,-1,24,-1,3853,-1,346,6,8081,709,11395219,North America,2891,178050,1
81,North Macedonia,3895,194,179,8,1705,11,2011,34,1870,86,42262,20285,2083378,Europe,535,11639,49
82,El Salvador,3603,122,72,4,1738,151,1793,126,556,11,120941,18650,6484606,North America,1800,90064,54
83,Gabon,3463,-1,23,-1,1024,-1,2416,17,1558,10,19517,8781,2222650,Africa,642,96637,114
84,Kenya,3457,152,100,4,1221,57,2136,7,64,2,112171,2089,53702760,Africa,15534,537028,479
85,Bulgaria,3191,-1,172,-1,1716,-1,1303,15,459,25,101102,14546,6950669,Europe,2178,40411,69
86,Ethiopia,3166,251,55,8,495,44,2616,39,28,0.5,176504,1538,114794517,Africa,36259,2087173,650
87,Thailand,3134,5,58,-1,2987,-1,89,1,45,0.8,468175,6708,69791648,Asia,22269,1203304,149
88,Greece,3112,4,183,-1,1374,-1,1555,13,299,18,247452,23736,10425286,Europe,3350,56969,42
89,Bosnia and Herzegovina,2893,-1,163,-1,2119,-1,611,4,882,50,75171,22906,3281700,Europe,1134,20133,44
90,Venezuela,2879,-1,23,-1,487,-1,2369,1,101,0.8,1066791,37511,28439554,South America,9878,1236502,27
91,Somalia,2579,66,87,2,559,27,1933,2,163,5,-1,-1,15866124,Africa,6152,182369,
92,Mayotte,2282,14,28,-1,1790,-1,464,12,8377,103,8800,32302,272427,Africa,119,9730,31
93,Croatia,2251,2,107,-1,2134,1,10,-1,548,26,69967,17039,4106361,Europe,1824,38377,59
94,Cuba,2238,5,84,-1,1923,21,231,5,198,7,131628,11621,11326934,North America,5061,134844,86
95,Kyrgyzstan,2207,41,27,1,1722,54,458,11,339,4,147454,22622,6518289,Asia,2953,241418,44
96,CAR,2057,13,7,-1,363,3,1687,2,426,1,18921,3921,4825119,Africa,2346,689303,255
97,Maldives,2013,10,8,-1,1217,24,788,9,3728,15,28940,53591,540016,Asia,268,67502,19
98,Estonia,1973,3,69,-1,1705,2,199,-1,1487,52,95000,71617,1326493,Europe,672,19225,14
99,Sri Lanka,1884,4,11,-1,1252,56,621,1,88,0.5,84802,3961,21408902,Asia,11364,1946264,252
