index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,4169146,68271,147295,1112,1978873,36236,2042978,19226,12591,445,51559109,155709,331124024,North America,79,2248,6
2,Brazil,2289951,58080,84207,1317,1570237,38099,635507,8318,10768,396,4911063,23094,212652984,South America,93,2525,43
3,India,1288130,48446,30645,755,817593,33327,439892,8944,933,22,15075369,10918,1380826432,Asia,1072,45059,92
4,Russia,795038,5848,12892,147,580330,8277,201816,2300,5448,88,26000908,178163,145938538,Europe,184,11320,6
5,South Africa,408052,13104,6093,153,236260,7085,165699,539,6875,103,2632106,44347,59352965,Africa,145,9741,23
6,Peru,371096,4546,17654,199,255945,3699,97497,1372,11246,535,2158770,65420,32998745,South America,89,1869,15
7,Mexico,362274,6019,41190,790,231403,4238,89681,3883,2808,319,861852,6680,129014376,North America,356,3132,150
8,Chile,338759,2357,8838,116,311431,2190,18490,1670,17712,462,1464640,76578,19126244,South America,56,2164,13
9,Spain,317246,2615,28429,3,-1,-1,-1,617,6785,608,6320836,135188,46755958,Europe,147,1645,7
10,UK,297146,769,45554,53,-1,-1,-1,110,4376,671,13974097,205779,67908416,Europe,229,1491,5
11,Iran,284034,2621,15074,221,247230,2390,21730,3667,3379,179,2254123,26817,84056501,Asia,296,5576,37
12,Pakistan,269191,1763,5709,32,213175,2707,50307,1382,1217,26,1799290,8137,221131515,Asia,821,38734,123
13,Saudi Arabia,260394,2238,2635,34,213490,3092,44269,2170,7473,76,2894426,83065,34845166,Asia,134,13224,12
14,Italy,245338,306,35092,10,197842,214,12404,49,4058,580,6415041,106111,60455955,Europe,246,1723,9
15,Colombia,226373,7945,7688,315,107951,6338,110734,1456,4446,151,1320935,25944,50915529,South America,225,6623,39
16,Turkey,223315,913,5563,18,206365,1151,11387,1251,2646,66,4446374,52686,84393636,Asia,378,15171,19
17,Bangladesh,216110,2856,2801,50,119208,2006,94101,1,1311,17,1079007,6548,164788688,Asia,763,58832,153
18,Germany,205142,672,9187,5,189000,400,6955,239,2448,110,7418812,88529,83801039,Europe,409,9122,11
19,France,179398,1062,30182,10,80472,515,68744,436,2748,462,2982302,45683,65282797,Europe,364,2163,22
20,Argentina,148027,6127,2702,114,62815,2284,82510,902,3273,60,593044,13114,45221036,South America,305,16736,76
21,Canada,112672,432,8874,4,98519,377,5279,2196,2984,235,3659778,96916,37762377,North America,335,4255,10
22,Qatar,108244,373,164,1,105018,377,3062,113,38551,58,455798,162332,2807805,Asia,26,17121,6
23,Iraq,102226,2361,4122,80,69405,2258,28699,375,2538,102,861165,21384,40271416,Asia,394,9770,47
24,Indonesia,93657,1906,4576,117,52164,1909,36917,-1,342,17,1310924,4790,273697796,Asia,2922,59812,209
25,Egypt,90413,668,4480,40,31066,991,54867,41,883,44,135000,1318,102442584,Africa,1133,22867,759
26,Sweden,78763,53,5676,10,-1,-1,-1,58,7796,562,751213,74354,10103191,Europe,128,1780,13
27,Ecuador,78148,891,5439,21,33455,330,39254,313,4425,308,216974,12287,17658570,South America,226,3247,81
28,Kazakhstan,76799,1646,585,-1,48220,1430,27994,221,4087,31,1823332,97037,18790078,Asia,245,32120,10
29,Philippines,74390,2200,1871,28,24383,760,48136,351,678,17,1243246,11337,109666924,Asia,1474,58614,88
30,Oman,72646,1099,355,6,51349,3427,20942,169,14207,69,287588,56241,5113463,Asia,70,14404,18
31,Belarus,66688,167,519,6,59439,378,6730,89,7058,55,1219705,129081,9449119,Europe,142,18206,8
32,Belgium,64627,369,9808,3,17347,17,37472,41,5575,846,1501396,129511,11592814,Europe,179,1182,8
33,Bolivia,64135,1778,2328,55,19721,431,42086,71,5490,199,139337,11927,11682367,South America,182,5018,84
34,Kuwait,61872,687,421,4,52247,727,9204,124,14476,98,474808,111086,4274241,Asia,69,10153,9
35,Ukraine,61851,856,1551,17,34000,828,26300,88,1415,35,921858,21087,43715855,Europe,707,28186,47
36,UAE,57988,254,342,-1,50848,494,6798,-1,5859,35,4677312,472575,9897509,Asia,171,28940,2
37,Israel,57982,1897,442,12,24044,734,33496,301,6304,48,1535242,166918,9197590,Asia,159,20809,6
38,Dominican Republic,57615,1572,1006,1,26905,439,29704,246,5308,93,222586,20506,10854490,North America,188,10790,49
39,Panama,55906,-1,1180,-1,31122,-1,23604,158,12945,273,194599,45060,4318682,North America,77,3660,22
40,Netherlands,52404,163,6139,-1,-1,-1,-1,16,3058,358,851885,49709,17137309,Europe,327,2792,20
41,Portugal,49379,229,1705,3,34369,370,13305,59,4844,167,1496925,146833,10194725,Europe,206,5979,7
42,Singapore,49098,354,27,-1,45015,220,4056,-1,8388,5,1170049,199900,5853174,Asia,119,216784,5
43,Guatemala,42192,1057,1632,59,28856,1100,11704,5,2353,91,132434,7384,17934204,North America,425,10989,135
44,Poland,41580,418,1651,9,31541,402,8388,71,1099,44,2017513,53311,37843881,Europe,910,22922,19
45,Romania,41275,1112,2126,25,24862,199,14287,285,2147,111,1030692,53601,19228905,Europe,466,9045,19
46,Nigeria,38948,604,833,20,16061,246,22054,7,189,4,251893,1220,206410276,Africa,5300,247791,819
47,Bahrain,37996,359,134,4,34412,518,3450,45,22293,79,760733,446337,1704393,Asia,45,12719,2
48,Armenia,36162,469,688,10,25244,478,10230,10,12202,232,151879,51248,2963600,Asia,82,4308,20
49,Honduras,36102,757,1006,18,4315,171,30781,51,3642,101,78825,7951,9913673,North America,275,9855,126
50,Afghanistan,35928,201,1211,21,24550,626,10167,31,922,31,85413,2191,38975829,Asia,1085,32185,456
51,Switzerland,34000,117,1975,3,30500,-1,1525,25,3927,228,746658,86234,8658535,Europe,255,4384,12
52,Kyrgyzstan,30349,990,1169,46,16791,1031,12389,24,4647,179,262894,40257,6530358,Asia,215,5586,25
53,Ghana,29672,-1,153,-1,26090,-1,3429,8,954,5,357220,11483,31108623,Africa,1048,203324,87
54,Azerbaijan,28980,347,391,6,20974,531,7615,66,2857,39,658782,64938,10144751,Asia,350,25946,15
55,Japan,27029,726,990,1,21035,384,5004,59,214,8,688036,5441,126450604,Asia,4678,127728,184
56,Ireland,25826,7,1763,9,23364,-1,699,6,5227,357,583211,118033,4941091,Europe,191,2803,8
57,Algeria,25484,612,1124,13,17369,386,6991,66,581,26,-1,-1,43895750,Africa,1722,39053,
58,Serbia,22443,412,508,9,14047,-1,7888,185,2569,58,591350,67699,8735005,Europe,389,17195,15
59,Moldova,22105,307,719,7,15174,318,6212,362,5481,178,128076,31754,4033340,Europe,182,5610,31
60,Austria,20099,170,711,-1,17943,94,1445,15,2231,79,814681,90424,9009615,Europe,448,12672,11
61,Uzbekistan,18868,489,102,4,10149,277,8617,100,563,3,1377915,41135,33497465,Asia,1775,328407,24
62,Morocco,18264,302,292,7,15872,236,2100,31,494,8,1085490,29388,36936629,Africa,2022,126495,34
63,Nepal,18241,147,43,1,12840,156,5358,-1,625,1,643497,22063,29166415,Asia,1599,678289,45
64,Cameroon,16522,-1,382,-1,13728,-1,2412,52,622,14,135000,5079,26580835,Africa,1609,69583,197
65,Kenya,15601,796,263,3,7135,378,8203,44,290,5,261027,4849,53835749,Africa,3451,204699,206
66,Ivory Coast,15001,268,93,-1,9282,287,5626,-1,568,4,89920,3404,26412888,Africa,1761,284010,294
67,Czechia,14800,230,365,1,9328,184,5107,22,1382,34,645093,60231,10710262,Europe,724,29343,17
68,S. Korea,13938,59,297,-1,12758,60,883,18,272,6,1500854,29272,51272050,Asia,3679,172633,34
69,Denmark,13390,42,612,1,12299,25,479,3,2311,106,1391957,240262,5793501,Europe,433,9467,4
70,El Salvador,13377,402,372,9,7276,157,5729,461,2062,57,219391,33814,6488264,North America,485,17442,30
71,Australia,13302,406,133,5,8656,3,4513,41,521,5,3710460,145408,25517551,Australia/Oceania,1918,191861,7
72,Venezuela,13164,-1,124,-1,7471,-1,5569,18,463,4,1441066,50687,28430568,South America,2160,229279,20
73,Costa Rica,13129,768,81,10,3448,126,9600,43,2576,16,71150,13959,5096952,North America,388,62925,72
74,Ethiopia,11933,409,197,9,5645,139,6091,35,104,2,357058,3102,115114480,Africa,9647,584337,322
75,Sudan,11237,-1,708,-1,5835,-1,4694,-1,256,16,401,9,43904270,Africa,3907,62012,109
76,Bulgaria,9853,269,329,8,5031,388,4493,27,1419,47,227668,32782,6944844,Europe,705,21109,31
77,Palestine,9744,346,67,1,2720,770,6957,-1,1908,13,155355,30415,5107792,Asia,524,76236,33
78,North Macedonia,9669,122,445,3,5071,-1,4153,55,4641,214,89703,43057,2083368,Europe,215,4682,23
79,Bosnia and Herzegovina,9462,347,274,6,4367,208,4821,-1,2885,84,127302,38818,3279426,Europe,347,11969,26
80,Senegal,9266,145,178,1,6170,62,2918,47,553,11,100076,5969,16766941,Africa,1810,94196,168
81,Norway,9085,26,255,-1,8674,536,156,1,1675,47,416131,76722,5423851,Europe,597,21270,13
82,Malaysia,8840,9,123,-1,8574,8,143,5,273,4,916340,28290,32390510,Asia,3664,263337,35
83,DRC,8720,94,201,4,5105,315,3414,-1,97,2,-1,-1,89697561,Africa,10286,446257,
84,Madagascar,8381,219,70,1,5160,498,3151,84,302,3,35928,1296,27728389,Africa,3308,396120,772
85,Finland,7372,10,328,-1,6920,-1,124,1,1330,59,321168,57959,5541276,Europe,752,16894,17
86,Haiti,7167,21,154,-1,4095,-1,2918,-1,628,13,16410,1438,11410787,North America,1592,74096,695
87,French Guiana,7086,203,40,1,5376,99,1670,25,23692,134,34799,116350,299088,South America,42,7477,9
88,Tajikistan,7060,45,58,-1,5793,52,1209,-1,739,6,-1,-1,9549254,Asia,1353,164642,
89,Guinea,6806,59,42,1,5999,108,765,24,518,3,14407,1095,13151229,Africa,1932,313125,913
90,Gabon,6588,-1,47,-1,4235,-1,2306,11,2956,21,63145,28335,2228549,Africa,338,47416,35
91,Mauritania,6067,40,156,1,4086,109,1825,3,1303,34,57253,12297,4656037,Africa,767,29846,81
92,Luxembourg,5952,98,112,1,4591,61,1249,1,9499,179,375256,598913,626562,Europe,105,5594,2
93,Djibouti,5031,1,58,-1,4927,23,46,-1,5088,59,55441,56067,988837,Africa,197,17049,18
94,Croatia,4634,104,128,3,3394,116,1112,7,1129,31,108222,26373,4103540,Europe,886,32059,38
