index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,3947544,48994,143636,347,1831300,28962,1972608,16562,11922,434,48932630,147787,331102850,North America,84,2305,7
2,Brazil,2118646,18750,80120,587,1371229,-1,667297,8318,9964,377,4911063,23096,212636496,South America,100,2654,43
3,India,1154917,36810,28099,596,724702,24303,402116,8944,836,20,14047908,10175,1380678271,Asia,1195,49136,98
4,Russia,777486,5940,12427,85,553602,3258,211457,2300,5328,85,25251614,173030,145937857,Europe,188,11744,6
5,South Africa,364328,-1,5033,-1,191059,-1,168236,539,6139,85,2471747,41651,59344794,Africa,163,11791,24
6,Peru,357681,4091,13384,197,245081,3126,99216,1303,10841,406,2084311,63173,32993724,South America,92,2465,16
7,Mexico,344224,5311,39184,296,217423,4417,87617,378,2668,304,821922,6372,128999581,North America,375,3292,157
8,Chile,333029,2099,8633,130,303992,2198,20404,1764,17414,451,1420390,74271,19124453,South America,57,2215,13
9,Spain,311916,1527,28422,2,-1,-1,-1,617,6671,608,6026446,128892,46755761,Europe,150,1645,8
10,UK,295372,580,45312,12,-1,-1,-1,142,4350,667,13459190,198208,67904526,Europe,230,1499,5
11,Iran,276202,2414,14405,217,240087,2299,21710,3583,3286,171,2175217,25882,84044752,Asia,304,5834,39
12,Pakistan,265083,1587,5599,31,205929,1653,53555,1552,1199,25,1740768,7874,221084562,Asia,834,39486,127
13,Saudi Arabia,253349,2429,2523,37,203259,5524,47567,2196,7272,72,2728424,78315,34839236,Asia,138,13809,13
14,Italy,244624,190,35058,13,197162,213,12404,47,4046,580,6262302,103583,60456923,Europe,247,1724,10
15,Turkey,220572,931,5508,17,203002,992,12062,1243,2614,65,4316781,51157,84383723,Asia,383,15320,20
16,Bangladesh,207453,2928,2668,50,113556,1914,91229,1,1259,16,1041661,6322,164770770,Asia,794,61758,158
17,Germany,203486,641,9172,9,187800,-1,6514,249,2428,109,6884614,82157,83798119,Europe,412,9136,12
18,Colombia,197278,-1,6736,-1,91793,-1,98749,1040,3875,132,1210063,23769,50909605,South America,258,7558,42
19,France,176754,350,30177,8,79233,-1,67344,477,2708,462,2764345,42345,65281223,Europe,369,2163,24
20,Argentina,126755,-1,2281,21,55913,1808,68561,752,2803,50,552306,12215,45216508,South America,357,19823,82
21,Canada,110635,297,8855,3,97300,249,4480,2177,2930,235,3520542,93238,37758765,North America,341,4264,11
22,Qatar,107037,389,159,2,103782,405,3096,126,38121,57,446036,158856,2807805,Asia,26,17659,6
23,Iraq,94693,2163,3869,88,62836,2308,27988,431,2352,96,809522,20107,40261528,Asia,425,10406,50
24,Egypt,88402,627,4352,50,28924,544,55126,41,863,42,135000,1318,102421458,Africa,1159,23534,759
25,Indonesia,88214,1693,4239,96,46977,1576,36998,-1,322,15,1235545,4515,273666205,Asia,3102,64559,221
26,Sweden,78048,36,5639,10,-1,-1,-1,48,7726,558,681820,67490,10102504,Europe,129,1792,15
27,Ecuador,74620,607,5318,5,31955,54,37347,342,4226,301,204162,11564,17655641,South America,237,3320,86
28,Kazakhstan,71838,1499,375,-1,43029,-1,28434,221,3824,20,1791293,95344,18787624,Asia,262,50100,10
29,Philippines,68898,1521,1835,4,23072,607,43991,351,628,17,1168965,10661,109650983,Asia,1591,59755,94
