index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,2976171,40401,132546,228,1285147,24742,1558478,16011,8991,400,37561945,113472,331023450,North America,111,2497,9
2,Brazil,1603055,24679,64867,502,978615,-1,559573,8318,7541,305,3330562,15668,212574666,South America,133,3277,64
3,India,697836,23932,19700,421,424891,15829,253245,8944,506,14,9789066,7093,1380122667,Asia,1978,70057,141
4,Russia,681251,6736,10161,134,450750,3871,220340,2300,4668,70,21069457,144375,145935301,Europe,214,14362,7
5,Peru,302718,3638,10589,177,193957,4336,98172,1210,9180,321,1782846,54067,32974896,South America,109,3114,18
6,Spain,297625,-1,28385,-1,-1,-1,-1,617,6366,607,5448984,116543,46755021,Europe,157,1647,9
7,Chile,295532,3685,6308,116,261032,3587,28192,2078,15459,330,1181884,61821,19117735,South America,65,3031,16
8,UK,285416,516,44220,22,-1,-1,-1,231,4204,651,10505758,154747,67889941,Europe,238,1535,6
9,Mexico,252165,6914,30366,523,152309,5104,69490,378,1956,235,634991,4925,128944098,North America,511,4246,203
10,Italy,241611,192,34861,7,192108,164,14642,74,3996,577,5638288,93256,60460552,Europe,250,1734,11
11,Iran,240438,2560,11571,163,201330,2381,27537,3168,2862,138,1794727,21366,84000693,Asia,349,7260,47
12,Pakistan,228474,3191,4712,93,129830,4736,93932,2419,1034,21,1398352,6330,220908487,Asia,967,46882,158
13,Saudi Arabia,209509,3580,1916,58,145236,1980,62357,2283,6017,55,1823763,52381,34817001,Asia,166,18172,19
14,Turkey,205758,1148,5225,19,180680,1188,19853,1127,2439,62,3630480,43042,84346550,Asia,410,16143,23
15,Germany,197558,140,9086,5,181700,400,6772,318,2358,108,5873563,70101,83787168,Europe,424,9222,14
16,South Africa,196750,8773,3199,173,93315,2088,100236,539,3317,54,1830161,30855,59314150,Africa,301,18541,32
17,France,166960,-1,29893,-1,77060,-1,60007,560,2558,458,1384633,21212,65275320,Europe,391,2184,47
18,Bangladesh,162417,2738,2052,55,72625,1904,87740,1,986,12,849062,5155,164703578,Asia,1014,80265,194
19,Colombia,117110,3721,4064,122,47881,1318,65165,841,2301,80,860731,16914,50887391,South America,435,12522,59
20,Canada,105535,218,8684,10,69239,249,27612,2125,2796,230,2914954,77227,37745217,North America,358,4347,13
21,Qatar,99799,616,128,5,92284,1897,7387,175,35543,46,381434,135848,2807805,Asia,28,21936,7
22,Argentina,75376,-1,1490,9,27597,1667,46289,620,1668,33,399454,8838,45199527,South America,600,30335,113
23,Egypt,75253,1218,3343,63,20726,623,51184,41,735,33,135000,1319,102342235,Africa,1360,30614,758
24,Sweden,71419,-1,5420,-1,-1,-1,-1,124,7071,537,519113,51398,10099928,Europe,141,1863,19
25,Indonesia,63749,1607,3171,82,29105,886,31473,-1,233,12,915482,3347,273547739,Asia,4291,86265,299
26,Belarus,63554,284,423,5,50871,202,12260,89,6726,45,1068029,113028,9449280,Europe,149,22339,9
27,Belgium,61838,-1,9771,-1,17091,-1,34976,32,5335,843,1284605,110835,11590201,Europe,187,1186,9
28,Ecuador,61535,-1,4781,12,28722,215,28032,288,3487,271,163842,9286,17644654,South America,287,3691,108
29,Iraq,60479,2125,2473,105,33017,1940,24989,306,1504,61,601088,14943,40224447,Asia,665,16265,67
30,UAE,51540,683,323,2,40297,440,10920,1,5211,33,3500000,353846,9891307,Asia,192,30623,3
31,Netherlands,50335,-1,6113,-1,-1,-1,-1,18,2937,357,616376,35971,17135347,Europe,340,2803,28
32,Kuwait,49941,638,368,3,40463,520,9110,157,11693,86,405984,95057,4270961,Asia,86,11606,11
33,Ukraine,48500,823,1249,22,21376,261,25875,105,1109,29,705836,16141,43729423,Europe,902,35012,62
34,Kazakhstan,47171,1452,188,-1,27030,280,19953,121,2512,10,1590144,84679,18778421,Asia,398,99885,12
35,Oman,46178,1072,213,10,27917,949,18048,116,9043,42,202837,39720,5106699,Asia,111,23975,25
36,Singapore,44800,136,26,-1,40441,324,4333,2,7657,4,757746,129512,5850789,Asia,131,225030,8
37,Philippines,44254,2424,1297,7,11942,489,31015,166,404,12,798476,7286,109591202,Asia,2476,84496,137
38,Portugal,43897,328,1614,9,29017,245,13266,73,4305,158,1205593,118239,10196262,Europe,232,6317,8
39,Bolivia,38071,1253,1378,58,11272,506,25421,71,3261,118,83958,7192,11674099,South America,307,8472,139
40,Dominican Republic,37425,1241,794,8,18943,341,17688,193,3450,73,163727,15092,10848848,North America,290,13664,66
41,Panama,36983,-1,720,-1,17761,-1,18502,146,8570,167,141283,32741,4315153,North America,117,5993,31
42,Poland,35950,231,1517,5,23746,619,10687,77,950,40,1639370,43317,37846025,Europe,1053,24948,23
43,Afghanistan,32951,279,864,38,19366,202,12721,30,846,22,75747,1946,38930206,Asia,1181,45058,514
44,Switzerland,32268,70,1965,-1,29300,100,1003,15,3728,227,624396,72141,8655254,Europe,268,4405,14
45,Israel,29958,788,331,1,17950,134,11677,86,3257,36,1069963,116331,9197590,Asia,307,27787,9
46,Bahrain,29367,510,97,1,24649,690,4621,45,17261,57,602151,353935,1701306,Asia,58,17539,3
47,Romania,28973,391,1750,19,20026,172,7197,215,1506,91,766868,39867,19235531,Europe,664,10992,25
48,Armenia,28606,706,484,7,16140,205,11982,10,9653,163,122682,41400,2963313,Asia,104,6123,24
49,Nigeria,28167,-1,634,-1,11462,-1,16071,7,137,3,148188,719,206144243,Africa,7319,325149,1
50,Ireland,25527,18,1741,-1,23364,-1,422,12,5169,353,454216,91980,4938229,Europe,193,2836,11
51,Honduras,22921,805,629,24,2387,137,19905,58,2314,64,49308,4978,9905489,North America,432,15748,201
52,Guatemala,22501,-1,920,-1,3330,-1,18251,5,1256,51,64590,3605,17916976,North America,796,19475,277
53,Azerbaijan,20324,523,250,9,11742,451,8332,66,2004,25,516533,50940,10140012,Asia,499,40560,20
54,Ghana,20085,697,122,5,14870,540,5093,6,646,4,310159,9981,31074883,Africa,1547,254712,100
55,Japan,19282,-1,977,-1,16959,-1,1346,32,152,8,490287,3877,126470615,Asia,6559,129448,258
56,Austria,18280,115,706,1,16615,8,959,10,2030,78,647804,71923,9006953,Europe,493,12758,14
57,Moldova,17814,142,585,5,10718,322,6511,438,4416,145,101180,25083,4033825,Europe,226,6895,40
58,Serbia,16131,302,311,5,13064,-1,2756,81,1846,36,439445,50298,8736823,Europe,542,28093,20
59,Algeria,15941,441,952,6,11492,311,3497,53,363,22,-1,-1,43854590,Africa,2751,46066,
60,Nepal,15784,293,34,-1,6547,132,9203,-1,542,1,547876,18802,29139175,Asia,1846,857035,53
61,Morocco,14215,393,235,3,9725,396,4255,19,385,6,765580,20740,36913924,Africa,2597,157081,48
62,S. Korea,13091,61,283,-1,11832,21,976,15,255,6,1326055,25864,51269767,Asia,3916,181165,39
63,Denmark,12832,-1,606,-1,11817,-1,409,6,2215,105,1106377,191003,5792444,Europe,451,9558,5
64,Cameroon,12592,-1,313,-1,10100,-1,2179,52,474,12,-1,-1,26546427,Africa,2108,84813,
65,Czechia,12469,29,348,-1,7864,12,4257,14,1164,32,571662,53380,10709233,Europe,859,30774,19
66,Ivory Coast,10772,310,74,2,5067,260,5631,-1,408,3,64424,2442,26378877,Africa,2449,356471,409
67,Uzbekistan,10020,312,34,3,6584,159,3402,25,299,1,1121236,33497,33472274,Asia,3341,984479,30
68,Sudan,9767,104,608,4,4673,49,4486,-1,223,14,401,9,43850981,Africa,4490,72123,109
69,Norway,8930,4,251,-1,8138,-1,541,3,1647,46,348208,64225,5421654,Europe,607,21600,16
70,Malaysia,8663,5,121,-1,8465,4,77,2,268,4,804518,24855,32368983,Asia,3736,267512,40
71,Australia,8449,87,104,-1,7399,44,946,4,331,4,2711849,106338,25502197,Australia/Oceania,3018,245213,9
72,Kenya,7886,309,160,1,2287,51,5439,29,147,3,189263,3520,53774120,Africa,6819,336088,284
73,El Salvador,7777,270,217,7,4573,139,2987,215,1199,33,174930,26968,6486569,North America,834,29892,37
74,Senegal,7400,128,133,4,4870,157,2397,38,442,8,82857,4948,16743956,Africa,2263,125894,202
75,DRC,7379,-1,182,-1,2961,-1,4236,-1,82,2,-1,-1,89555575,Africa,12137,492064,
76,Kyrgyzstan,7377,283,88,10,2802,88,4487,24,1131,13,228857,35075,6524765,Asia,884,74145,29
77,Finland,7253,5,329,-1,6700,-1,224,-1,1309,59,251600,45408,5540831,Europe,764,16841,22
78,North Macedonia,7046,114,341,7,3027,40,3678,55,3382,164,66133,31743,2083373,Europe,296,6110,32
79,Venezuela,6750,-1,62,-1,2100,-1,4588,11,237,2,1412214,49665,28434732,South America,4213,458625,20
80,Haiti,6294,64,113,3,1408,122,4773,-1,552,10,12847,1127,11403573,North America,1812,100917,888
