Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1048834,13069,60495,1229,144352,843987,19110,3169,183,6037815,18241,North America
Spain,236899,4771,24275,453,132929,79695,7764,5067,519,1414477,30253,Europe
Italy,203591,2086,27682,323,71252,104657,1795,3367,458,1910761,31603,Europe
France,165911,-1,23660,-1,46886,95365,4387,2542,362,463662,7103,Europe
UK,165221,4076,26097,4419,-1,138780,1559,2434,384,818539,12058,Europe
Germany,160479,567,6374,60,120400,33705,2409,1915,76,2072669,24738,Europe
Turkey,117589,2936,3081,89,44022,70486,1574,1394,37,991613,11757,Asia
Russia,99399,5841,972,105,10286,88141,2300,681,7,3303717,22638,Europe
Iran,93657,1073,5957,80,73791,13909,2965,1115,71,453386,5398,Asia
Brazil,74493,1594,5158,95,32544,36791,8318,350,24,339552,1597,South America
Canada,50373,347,2904,45,19886,27583,557,1335,77,754800,19999,North America
Belgium,47859,525,7501,170,11283,29075,797,4129,647,226724,19563,Europe
Netherlands,38802,386,4711,145,-1,33841,804,2265,275,213372,12453,Europe
India,31787,463,1008,-1,7796,22983,-1,23,0.7,770764,559,Asia
Peru,31190,-1,854,-1,9179,21157,600,946,26,267612,8116,South America
Switzerland,29407,143,1703,4,22600,5104,185,3398,197,260500,30100,Europe
Portugal,24505,183,973,25,1470,22062,169,2403,95,379551,37223,Europe
Ecuador,24258,-1,871,-1,1557,21830,146,1375,49,61529,3487,South America
Saudi Arabia,21402,1325,157,5,2953,18292,125,615,5,200000,5745,Asia
Sweden,20302,681,2462,107,1005,16835,479,2010,244,119500,11833,Europe
Ireland,19877,-1,1159,-1,9233,9485,141,4025,235,153954,31179,Europe
Mexico,16752,1223,1569,135,11423,3760,378,130,12,77005,597,North America
Israel,15782,54,212,2,7929,7641,120,1823,24,313135,36177,Asia
Singapore,15641,690,14,-1,1188,14439,22,2674,2,143919,24600,Asia
Pakistan,15525,913,343,31,3425,11757,111,70,2,165911,751,Asia
Austria,15402,45,580,11,12779,2043,131,1710,64,247754,27509,Europe
Chile,14885,520,216,9,8057,6612,377,779,11,172619,9030,South America
