index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,4813059,48450,158337,439,2377861,14958,2276861,18623,14533,478,59893695,180854,331171664,North America,69,2092,6
2,Brazil,2733677,24801,94130,514,1884051,-1,755496,8318,12853,443,13096132,61574,212690082,South America,78,2260,16
3,India,1804702,52783,38161,758,1187228,40349,579313,8944,1307,28,19821831,14352,1381159795,Asia,765,36193,70
4,Russia,850870,5427,14128,70,650173,3649,186569,2300,5830,97,28793260,197295,145940072,Europe,172,10330,5
5,South Africa,511485,8195,8366,213,347227,4766,155892,539,8615,141,3036779,51149,59371352,Africa,116,7097,20
6,Mexico,434193,9556,47472,784,284847,6229,101874,3994,3365,368,999697,7747,129047665,North America,297,2718,129
7,Peru,428850,6667,19614,206,294187,3352,115049,1410,12992,594,2404046,72828,33010043,South America,77,1683,14
8,Chile,359731,2073,9608,75,332411,1904,17712,1437,18804,502,1673289,87468,19130274,South America,53,1991,11
9,Spain,335602,-1,28445,-1,-1,-1,-1,617,7178,608,6678414,142834,46756402,Europe,139,1644,7
10,Colombia,317651,11470,10650,320,167239,6531,139762,1493,6237,209,1647396,32347,50928858,South America,160,4782,31
11,Iran,309437,2685,17190,208,268102,2272,24145,4089,3680,204,2508418,29833,84082937,Asia,272,4891,34
12,UK,304695,743,46201,8,-1,-1,-1,86,4486,680,16499272,242932,67917167,Europe,223,1470,4
13,Pakistan,279698,552,5976,6,248577,550,25145,1064,1264,27,2010170,9086,221237160,Asia,791,37021,110
14,Saudi Arabia,278835,1357,2917,30,240081,2533,35837,2011,7999,84,3432354,98465,34858507,Asia,125,11950,10
15,Italy,248070,238,35154,8,200460,231,12456,42,4103,582,6916765,114414,60453777,Europe,244,1720,9
16,Bangladesh,240746,886,3154,22,136839,586,100753,-1,1461,19,1189295,7215,164829004,Asia,685,52260,139
17,Turkey,232856,987,5728,18,216494,978,10634,582,2758,68,4885916,57879,84415940,Asia,363,14737,17
