Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1237633,-1,72271,-1,200628,964734,16179,3739,218,7727811,23347,North America
Spain,250561,-1,25613,-1,154718,70230,2254,5359,548,1932455,41332,Europe
Italy,213013,-1,29315,-1,85231,98467,1427,3523,485,2246666,37158,Europe
UK,194990,-1,29427,-1,-1,165219,1559,2872,433,1383842,20385,Europe
France,170551,-1,25531,-1,52736,92284,3430,2613,391,1100228,16856,Europe
Germany,167007,-1,6993,-1,135100,24914,1937,1993,83,2547052,30400,Europe
Russia,155370,-1,1451,-1,19865,134054,2300,1065,10,4460357,30564,Europe
Turkey,129491,-1,3520,-1,73285,52686,1338,1535,42,1204421,14281,Asia
Brazil,115455,740,7938,17,48221,59296,8318,543,37,339552,1597,South America
Iran,99970,-1,6340,-1,80475,13155,2685,1190,75,519543,6186,Asia
Canada,62046,-1,4043,-1,26993,31010,502,1644,107,940567,24921,North America
Peru,51189,-1,1444,-1,15413,34332,709,1553,44,406579,12331,South America
Belgium,50509,-1,8016,-1,12441,30052,646,4358,692,456194,39362,Europe
India,49400,-1,1693,-1,14142,33565,-1,36,1,1191946,864,Asia
Netherlands,41087,-1,5168,-1,-1,35669,644,2398,302,235909,13768,Europe
Ecuador,31881,-1,1569,-1,3433,26879,159,1807,89,80171,4544,South America
Saudi Arabia,30251,-1,200,-1,5431,24620,143,869,6,376607,10818,Asia
Switzerland,30009,-1,1795,-1,25400,2814,121,3467,207,286403,33092,Europe
Mexico,26025,1120,2507,236,16810,6708,378,202,19,100041,776,North America
Portugal,25702,-1,1074,-1,1743,22885,134,2521,105,469435,46038,Europe
Sweden,23216,-1,2854,-1,4074,16288,435,2299,283,148500,14704,Europe
Pakistan,22049,-1,514,-1,5801,15734,111,100,2,222404,1007,Asia
Chile,22016,-1,275,-1,10710,11031,470,1152,14,222095,11618,South America
Ireland,21983,-1,1339,-1,13386,7258,93,4452,271,214761,43493,Europe
Singapore,19410,-1,18,-1,1519,17873,24,3318,3,143919,24600,Asia
Belarus,18350,-1,107,-1,3771,14472,92,1942,11,211369,22369,Europe
Qatar,17142,-1,12,-1,1924,15206,72,5950,4,109762,38098,Asia
Israel,16289,-1,238,-1,10465,5586,89,1882,27,417100,48189,Asia
Austria,15650,-1,606,-1,13462,1582,104,1738,67,285883,31742,Europe
Japan,15253,-1,556,-1,4496,10201,308,121,4,186343,1473,Asia
UAE,15192,-1,146,-1,3153,11893,1,1536,15,1200000,121330,Asia
Poland,14431,-1,716,-1,4280,9435,160,381,19,394270,10418,Europe
Romania,13837,-1,841,-1,5454,7542,244,719,44,205842,10700,Europe
Ukraine,12697,-1,316,-1,1875,10506,167,290,7,139759,3196,Europe
Indonesia,12071,-1,872,-1,2197,9002,-1,44,3,121547,444,Asia
Bangladesh,10929,-1,183,-1,1403,9343,1,66,1,93405,567,Asia
S. Korea,10806,2,255,1,9333,1218,55,211,5,643095,12543,Asia
Denmark,9821,-1,503,-1,7296,2022,49,1696,87,257738,44497,Europe
Philippines,9684,-1,637,-1,1408,7639,31,88,6,130889,1194,Asia
Serbia,9677,-1,200,-1,1723,7754,51,1108,23,111278,12736,Europe
Colombia,8613,-1,378,-1,2013,6222,128,169,7,127105,2498,South America
Dominican Republic,8480,-1,354,-1,1905,6221,144,782,33,33377,3077,North America
Norway,7955,-1,215,-1,32,7708,27,1467,40,189657,34984,Europe
Czechia,7896,-1,257,-1,4006,3633,59,737,24,269093,25128,Europe
South Africa,7572,-1,148,-1,2746,4678,36,128,2,268064,4520,Africa
Panama,7523,136,210,7,823,6490,88,1744,49,36483,8455,North America
