Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1376650,9012,81173,386,258419,1037058,16473,4159,245,9617390,29055,North America
Spain,268143,3480,26744,123,177846,63553,1650,5735,572,2467761,52781,Europe
UK,223060,3877,32065,210,-1,190651,1559,3286,472,1921770,28309,Europe
Russia,221344,11656,2009,94,39801,179534,2300,1517,14,5636763,38625,Europe
Italy,219814,744,30739,179,106587,82488,999,3636,508,2606652,43112,Europe
France,177423,453,26643,263,56724,94056,2712,2718,408,1384633,21213,Europe
Germany,172259,380,7597,28,145600,19062,1581,2056,91,2755770,32891,Europe
Brazil,163510,811,11207,84,64957,87346,8318,769,53,339552,1597,South America
Turkey,139771,1114,3841,55,95780,40150,1126,1657,46,1403320,16639,Asia
Iran,109286,1683,6685,45,87422,15179,2703,1301,80,601324,7159,Asia
India,70765,3604,2294,82,22549,45922,-1,51,2,1673688,1213,Asia
Canada,69157,309,4907,37,32096,32154,502,1832,130,1135984,30099,North America
Peru,67307,-1,1889,-1,21349,44069,774,2041,57,504930,15314,South America
Belgium,53449,368,8707,51,13697,31045,478,4612,751,584707,50451,Europe
Netherlands,42788,161,5456,16,-1,37082,498,2497,318,265156,15475,Europe
Saudi Arabia,41014,1966,255,9,12737,28022,143,1178,7,467369,13425,Asia
Mexico,35022,1562,3465,112,23100,8457,378,272,27,130956,1016,North America
Pakistan,30941,607,667,8,8212,22062,111,140,3,294894,1335,Asia
Switzerland,30344,39,1845,12,26600,1899,89,3506,213,312813,36144,Europe
Chile,30063,1197,323,11,13605,16135,574,1573,17,294057,15383,South America
Ecuador,29559,-1,2127,-1,3433,23999,181,1675,121,84287,4777,South America
Portugal,27679,98,1144,9,2549,23986,112,2715,112,517660,50767,Europe
Sweden,26670,348,3256,31,4971,18443,360,2641,322,148500,14704,Europe
Belarus,23906,933,135,4,6531,17240,92,2530,14,274060,29003,Europe
Singapore,23822,486,21,1,3225,20576,24,4072,4,175604,30016,Asia
Qatar,23623,1103,14,-1,2840,20769,72,8199,5,131044,45485,Asia
Ireland,23135,139,1467,9,17110,4558,72,4685,297,214761,43493,Europe
UAE,18878,680,201,3,5381,13296,1,1909,20,1200000,121330,Asia
Israel,16492,15,254,2,11548,4690,73,1905,29,461704,53342,Asia
Poland,16326,330,811,11,5816,9699,160,431,21,491216,12979,Europe
Austria,15882,11,620,2,14061,1201,68,1763,69,319484,35473,Europe
Japan,15777,-1,624,-1,8127,7026,287,125,5,214256,1694,Asia
Bangladesh,15691,1034,239,11,2902,12550,1,95,1,129865,789,Asia
Ukraine,15648,416,408,17,3288,11952,207,358,9,181552,4151,Europe
Romania,15588,226,982,21,7245,7361,255,810,51,262219,13630,Europe
Indonesia,14265,233,991,18,2881,10393,-1,52,4,161351,590,Asia
Philippines,11086,292,726,7,1999,8361,31,101,7,173144,1580,Asia
Colombia,11063,-1,463,-1,2705,7895,130,217,9,151396,2975,South America
S. Korea,10909,35,256,-1,9632,1021,55,213,5,668492,13039,Asia
South Africa,10652,637,206,12,4357,6089,77,180,3,356067,6004,Africa
Dominican Republic,10634,287,393,5,2870,7371,134,980,36,42615,3928,North America
Denmark,10513,84,533,4,8328,1652,43,1815,92,326560,56379,Europe
Serbia,10176,62,218,3,3290,6668,29,1165,25,145604,16665,Europe
Egypt,9746,346,533,8,2172,7041,41,95,5,90000,879,Africa
Kuwait,9286,598,65,7,2907,6314,131,2174,15,196397,45988,Asia
Panama,8448,166,244,7,4687,3517,87,1958,57,42657,9886,North America
Czechia,8157,34,281,1,4695,3181,40,762,26,306409,28612,Europe
Norway,8122,17,224,5,32,7866,22,1498,41,202751,37399,Europe
Australia,6948,7,97,-1,6179,672,16,272,4,855119,33534,Australia/Oceania
Malaysia,6726,70,109,1,5113,1504,20,208,3,271721,8395,Asia
Morocco,6281,218,188,-1,2811,3282,1,170,5,68980,1869,Africa
Argentina,6034,-1,305,-1,1837,3892,148,134,7,85158,1884,South America
Finland,5984,22,271,4,4000,1713,44,1080,49,123300,22253,Europe
Algeria,5891,168,507,5,2841,2543,22,134,12,6500,148,Africa
Kazakhstan,5207,117,32,1,2074,3101,33,277,2,408713,21767,Asia
Bahrain,5157,216,8,-1,2152,2997,4,3031,5,189174,111176,Asia
Moldova,4995,68,175,6,1980,2840,251,1238,43,20447,5069,Europe
Ghana,4700,437,22,-1,494,4184,5,151,0.7,160501,5165,Africa
Afghanistan,4687,285,122,2,558,4007,7,120,3,15560,400,Asia
Nigeria,4399,-1,143,-1,778,3478,4,21,0.7,23835,116,Africa
Luxembourg,3888,2,101,-1,3602,185,18,6211,161,55415,88525,Europe
Oman,3573,174,17,-1,1211,2345,17,700,3,50000,9791,Asia
Armenia,3392,79,46,1,1359,1987,10,1145,16,32561,10988,Asia
