index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,3206876,47944,135572,710,1415218,22539,1656086,15474,9687,410,40064984,121026,331044624,North America,103,2442,8
2,Brazil,1727279,11083,68355,300,1152467,34545,506457,8318,8125,322,4468829,21021,212591154,South America,123,3110,48
3,India,794855,25803,21623,479,495960,19406,277272,8944,576,16,10740832,7782,1380270828,Asia,1737,63833,129
4,Russia,707301,6509,10843,176,481316,8805,215142,2300,4847,74,22079294,151294,145935982,Europe,206,13459,7
5,Peru,312911,-1,11133,-1,204748,-1,97030,1265,9488,338,1842316,55862,32979917,South America,105,2962,18
6,Chile,306216,3133,6682,109,274922,3219,24612,1999,16016,349,1237632,64731,19119526,South America,62,2861,15
7,Spain,300136,543,28401,5,-1,-1,-1,617,6419,607,5734599,122652,46755218,Europe,156,1646,8
8,UK,287621,642,44602,85,-1,-1,-1,185,4236,657,11286921,166244,67893830,Europe,236,1522,6
9,Mexico,275003,6995,32796,782,167795,4149,74412,378,2132,254,684804,5310,128958893,North America,469,3932,188
10,Iran,250458,2079,12305,221,212176,2713,25977,3324,2981,146,1897803,22590,84012442,Asia,335,6828,44
11,Italy,242363,214,34926,12,193978,338,13459,69,4009,578,5806668,96042,60459584,Europe,249,1731,10
12,Pakistan,240848,3359,4983,61,145311,4346,90554,2193,1090,23,1491437,6750,220955441,Asia,917,44342,148
13,South Africa,238339,13674,3720,118,113061,6219,121558,539,4018,63,2000569,33724,59322322,Africa,249,15947,30
14,Saudi Arabia,223327,3183,2100,41,161096,3046,60131,2225,6413,60,2124976,61022,34822930,Asia,156,16582,16
15,Turkey,209962,1024,5300,18,190390,2879,14272,1179,2489,63,3832623,45434,84356463,Asia,402,15916,22
16,Germany,199162,397,9125,10,183600,900,6437,292,2377,109,6376054,76096,83790088,Europe,421,9182,13
17,Bangladesh,175494,3360,2238,41,84544,3706,88712,1,1065,14,907784,5511,164721496,Asia,939,73602,181
18,France,170094,621,29979,14,78170,185,61945,512,2606,459,1384633,21212,65276894,Europe,384,2177,47
19,Colombia,128638,-1,4527,-1,53634,-1,70477,875,2528,89,923714,18150,50893315,South America,396,11242,55
20,Canada,106742,308,8746,9,70503,256,27493,2151,2828,232,3055341,80939,37748830,North America,354,4316,12
21,Qatar,102110,557,142,4,97272,1165,4696,145,36366,51,400767,142733,2807805,Asia,27,19773,7
22,Argentina,87030,-1,1707,13,38313,1811,47010,688,1925,38,434692,9616,45204055,South America,519,26482,104
23,Egypt,79254,950,3617,53,22753,512,52884,41,774,35,135000,1319,102363361,Africa,1292,28301,758
24,Sweden,74333,48,5500,13,-1,-1,-1,90,7359,545,600019,59404,10100615,Europe,136,1836,17
25,Indonesia,70736,2657,3417,58,32651,1066,34668,-1,259,12,992069,3626,273579330,Asia,3868,80064,276
26,Iraq,69612,2170,2882,103,39502,1623,27228,415,1730,72,649036,16131,40234335,Asia,578,13961,62
27,Belarus,64411,187,449,6,53609,755,10353,89,6817,48,1087245,115062,9449246,Europe,147,21045,9
28,Ecuador,64221,976,4900,27,29184,113,30137,310,3639,278,171653,9727,17647584,South America,275,3602,103
29,Belgium,62210,87,9778,2,17159,21,35273,32,5367,844,1335704,115239,11590751,Europe,186,1185,9
30,UAE,53577,532,328,1,43570,1288,9679,1,5416,33,3769000,380991,9892612,Asia,185,30160,3
31,Kazakhstan,53021,1962,264,-1,35137,988,17620,221,2823,14,1659543,88363,18780875,Asia,354,71140,11
32,Kuwait,52840,833,382,3,42686,578,9772,150,12370,89,422885,98998,4271652,Asia,81,11182,10
33,Philippines,51754,1395,1314,-1,12813,225,37627,213,472,12,910694,8309,109607144,Asia,2118,83415,120
34,Oman,51725,1518,236,3,33021,1016,18468,129,10126,46,226637,44368,5108123,Asia,99,21645,23
35,Ukraine,51224,810,1327,21,23784,665,26113,85,1171,30,760247,17386,43726567,Europe,854,32951,58
36,Netherlands,50798,52,6137,2,-1,-1,-1,20,2964,358,681931,39796,17135760,Europe,337,2792,25
37,Singapore,45423,125,26,-1,41645,322,3752,1,7763,4,866414,148072,5851291,Asia,129,225050,7
38,Portugal,45277,418,1644,13,30049,335,13584,74,4441,161,1299594,127462,10195939,Europe,225,6202,8
39,Bolivia,42984,1439,1577,47,12883,485,28524,71,3681,135,97202,8325,11675840,South America,272,7404,120
40,Panama,41251,-1,819,-1,19469,-1,20963,160,9558,190,153148,35485,4315896,North America,105,5270,28
41,Dominican Republic,40790,1202,842,13,20426,370,19522,208,3759,78,178838,16483,10850036,North America,266,12886,61
42,Poland,36951,262,1551,9,25477,599,9923,65,976,41,1720428,45459,37845573,Europe,1024,24401,22
43,Israel,34825,1268,348,4,18452,114,16025,122,3786,38,1192111,129611,9197590,Asia,264,26430,8
44,Afghanistan,33908,314,957,21,20847,147,12104,31,871,25,78217,2009,38939811,Asia,1148,40689,498
45,Switzerland,32586,88,1966,-1,29400,-1,1220,16,3765,227,661362,76406,8655945,Europe,266,4403,13
46,Bahrain,30931,-1,102,4,26073,-1,4756,53,18174,60,630753,370605,1701956,Asia,55,16686,3
47,Romania,30789,614,1834,17,20969,170,7986,240,1601,95,809663,42095,19234136,Europe,625,10488,24
48,Armenia,30346,526,535,14,18000,573,11811,10,10240,181,129166,43587,2963374,Asia,98,5539,23
49,Nigeria,30249,-1,684,-1,12373,-1,17192,7,147,3,169629,823,206200250,Africa,6817,301462,1
50,Honduras,25978,550,694,17,2721,84,22563,58,2622,70,49308,4977,9907212,North America,381,14276,201
51,Ireland,25565,23,1743,5,23364,-1,458,12,5176,353,482314,97658,4938832,Europe,193,2834,10
52,Guatemala,25411,-1,1053,-1,3718,-1,20640,5,1418,59,64590,3604,17920603,North America,705,17019,277
53,Ghana,22822,-1,129,-1,17564,-1,5129,8,734,4,320071,10298,31081986,Africa,1362,240946,97
54,Azerbaijan,22464,548,284,10,13591,491,8589,66,2215,28,537230,52976,10141009,Asia,451,35708,19
55,Japan,20174,-1,980,-1,17331,-1,1863,35,160,8,518210,4098,126466402,Asia,6269,129047,244
56,Moldova,18666,195,624,10,11936,387,6106,391,4627,155,101180,25084,4033723,Europe,216,6464,40
57,Austria,18615,102,706,-1,16758,37,1151,12,2067,78,675727,75018,9007513,Europe,484,12759,13
58,Algeria,17808,460,988,10,12637,308,4183,53,406,23,-1,-1,43863255,Africa,2463,44396,
59,Serbia,17342,266,352,11,13651,-1,3339,120,1985,40,471700,53992,8736440,Europe,504,24819,19
60,Nepal,16531,108,35,-1,7891,139,8605,-1,567,1,583547,20022,29144909,Asia,1763,832712,50
61,Morocco,15079,308,242,-1,11447,131,3390,19,408,7,835264,22624,36918704,Africa,2448,152557,44
62,Cameroon,14916,-1,359,-1,11525,-1,3032,52,562,14,-1,-1,26553671,Africa,1780,73966,
63,S. Korea,13293,50,287,2,12019,49,987,15,259,6,1371771,26756,51270248,Asia,3857,178642,37
64,Denmark,12916,16,609,-1,12045,44,262,5,2230,105,1191302,205657,5792667,Europe,448,9512,5
65,Czechia,12859,45,352,1,8123,113,4384,12,1201,33,584308,54560,10709450,Europe,833,30425,18
66,Ivory Coast,11750,246,79,1,5752,181,5919,-1,445,3,70414,2669,26386037,Africa,2246,334000,375
67,Uzbekistan,11447,355,51,6,7082,22,4314,37,342,2,1121236,33492,33477578,Asia,2925,656423,30
68,Sudan,10158,74,641,5,5200,126,4317,-1,232,15,401,9,43862199,Africa,4318,68428,109
69,Australia,9059,173,106,-1,7573,86,1380,10,355,4,2905324,113910,25505429,Australia/Oceania,2815,240617,9
70,Kenya,8975,447,173,4,2657,64,6145,29,167,3,200311,3724,53787095,Africa,5993,310908,269
71,Norway,8954,4,251,-1,8138,-1,565,3,1651,46,363581,67055,5422116,Europe,606,21602,15
72,Kyrgyzstan,8847,361,116,4,3053,70,5678,24,1356,18,236893,36300,6525942,Asia,738,56258,28
73,El Salvador,8844,278,243,8,5289,156,3312,269,1363,37,184831,28493,6486926,North America,733,26695,35
74,Malaysia,8683,6,121,-1,8499,13,63,2,268,4,829988,25638,32373515,Asia,3728,267550,39
75,Venezuela,8008,-1,75,-1,2100,-1,5833,18,282,3,1336021,46987,28433856,South America,3551,379118,21
76,DRC,7846,414,189,7,3513,287,4144,-1,88,2,-1,-1,89585467,Africa,11418,473997,
77,Senegal,7784,127,143,2,5169,72,2472,36,465,9,87861,5246,16748795,Africa,2152,117124,191
78,North Macedonia,7572,166,362,3,3624,70,3586,55,3634,174,72690,34891,2083372,Europe,275,5755,29
79,Finland,7273,8,329,-1,6800,-1,144,2,1313,59,270400,48801,5540924,Europe,762,16842,20
80,Ethiopia,6973,199,120,-1,2430,-1,4423,35,61,1,250604,2179,114997421,Africa,16492,958312,459
81,Haiti,6486,54,123,6,2181,101,4182,-1,569,11,13709,1202,11405092,North America,1758,92724,832
82,Costa Rica,6485,649,25,1,2023,94,4437,14,1273,5,50852,9981,5095048,North America,786,203802,100
83,Tajikistan,6410,46,54,-1,5067,56,1289,-1,672,6,-1,-1,9540453,Asia,1488,176675,
84,Bulgaria,6342,-1,259,-1,3166,-1,2917,29,913,37,164104,23622,6946975,Europe,1095,26822,42
85,Bosnia and Herzegovina,6086,217,214,5,2815,46,3057,4,1855,65,106214,32380,3280258,Europe,539,15328,31
86,Gabon,5871,-1,46,-1,2682,-1,3143,11,2637,21,44383,19935,2226391,Africa,379,48400,50
87,Guinea,5697,-1,34,-1,4577,-1,1086,24,434,3,14407,1097,13136577,Africa,2306,386370,912
88,French Guiana,5558,99,22,-1,2555,206,2981,30,18603,74,8707,29143,298769,South America,54,13580,34
89,Palestine,5220,191,24,4,525,31,4671,-1,1023,5,122555,24017,5102919,Asia,978,212622,42
90,Mauritania,5087,-1,139,-1,1994,-1,2954,14,1094,30,13842,2976,4651011,Africa,914,33461,336
91,Djibouti,4955,66,56,1,4671,27,228,-1,5014,57,49742,50334,988248,Africa,199,17647,20
92,Luxembourg,4719,69,110,-1,4056,-1,553,3,7537,176,255709,408386,626145,Europe,133,5692,2
93,Hungary,4220,10,591,2,2887,2,742,6,437,61,289602,29980,9659720,Europe,2289,16345,33
94,CAR,4109,-1,52,-1,1050,-1,3007,2,851,11,25872,5355,4831091,Africa,1176,92906,187
95,Madagascar,3782,209,33,-1,1950,189,1799,50,137,1,26688,963,27699118,Africa,7324,839367,1
96,Greece,3672,50,193,-1,1374,-1,2105,9,352,19,358725,34421,10421687,Europe,2838,53998,29
97,Croatia,3416,91,115,1,2323,46,978,3,832,28,89764,21869,4104572,Europe,1202,35692,46
98,Thailand,3202,5,58,-1,3085,11,59,1,46,0.8,603657,8648,69804055,Asia,21800,1203518,116
99,Albania,3188,82,83,-1,1832,41,1273,11,1108,29,27038,9396,2877718,Europe,903,34671,106
100,Equatorial Guinea,3071,-1,51,-1,842,-1,2178,-1,2188,36,16000,11401,1403330,Africa,457,27516,88
101,Somalia,3038,10,92,-1,1209,62,1737,2,191,6,-1,-1,15897744,Africa,5233,172802,
102,Nicaragua,2846,-1,91,-1,1993,-1,762,-1,430,14,-1,-1,6626019,North America,2328,72813,
103,Mayotte,2702,14,37,3,2480,34,185,3,9901,136,8800,32247,272895,Africa,101,7376,31
104,Paraguay,2638,84,20,-1,1229,17,1389,10,370,3,82974,11631,7134150,South America,2704,356708,86
105,Maldives,2553,36,13,-1,2227,47,313,12,4722,24,59530,110099,540693,Asia,212,41592,9
106,Cuba,2403,4,86,-1,2244,2,73,4,212,8,192443,16991,11326445,North America,4713,131703,59
107,Mali,2370,12,120,-1,1621,24,629,-1,117,6,16317,806,20256496,Africa,8547,168804,1
108,Sri Lanka,2154,60,11,-1,1979,12,164,1,101,0.5,114765,5359,21415265,Asia,9942,1946842,187
109,South Sudan,2021,-1,38,-1,333,-1,1650,-1,181,3,10824,967,11196176,Africa,5540,294636,1
110,Lebanon,2012,66,36,-1,1368,-1,608,7,295,5,160153,23467,6824630,Asia,3392,189573,43
111,Estonia,2011,8,69,-1,1889,7,53,1,1516,52,111027,83696,1326557,Europe,660,19225,12
112,Malawi,1942,78,25,1,369,24,1548,4,101,1,17693,925,19135542,Africa,9854,765422,1
113,Zambia,1895,-1,42,-1,1348,-1,505,1,103,2,56825,3090,18389176,Africa,9704,437838,324
114,Iceland,1882,2,10,-1,1854,4,18,-1,5514,29,94731,277567,341290,Europe,181,34129,4
115,Lithuania,1857,3,79,-1,1564,12,214,15,682,29,451987,166104,2721108,Europe,1465,34444,6
116,Slovakia,1851,53,28,-1,1477,4,346,3,339,5,223778,40987,5459706,Europe,2950,194990,24
117,Congo,1821,-1,47,-1,525,-1,1249,-1,330,9,-1,-1,5519712,Africa,3031,117441,
118,Guinea-Bissau,1790,-1,25,-1,760,-1,1005,5,909,13,1500,762,1968582,Africa,1100,78743,1
119,Slovenia,1776,13,111,-1,1429,-1,236,-1,854,53,112474,54101,2078945,Europe,1171,18729,18
120,Sierra Leone,1584,-1,63,-1,1122,-1,399,-1,199,8,-1,-1,7979291,Africa,5037,126655,
121,Cabo Verde,1552,10,18,-1,730,-1,804,-1,2791,32,39485,71003,556102,Africa,358,30895,14
122,New Zealand,1540,3,22,-1,1494,2,24,-1,308,4,422144,84393,5002100,Australia/Oceania,3248,227368,12
123,Hong Kong,1366,42,7,-1,1176,9,183,2,182,0.9,347400,46331,7498228,Asia,5489,1071175,22
124,Yemen,1356,38,361,10,619,24,376,-1,45,12,120,4,29834727,Asia,22002,82645,248
125,Libya,1268,-1,36,-1,306,-1,926,-1,184,5,32970,4797,6872948,Africa,5420,190915,208
126,Tunisia,1231,10,50,-1,1055,5,126,-1,104,4,75539,6390,11821008,Africa,9603,236420,156
127,Eswatini,1213,75,17,3,609,21,587,5,1045,15,14247,12278,1160397,Africa,957,68259,81
128,Rwanda,1210,16,3,-1,623,13,584,-1,93,0.2,172362,13304,12956029,Africa,10707,4318676,75
129,Benin,1199,-1,21,-1,333,-1,845,1,99,2,56613,4668,12126731,Africa,10114,577463,214
130,Jordan,1169,-1,10,-1,982,5,177,3,115,1,448701,43968,10205118,Asia,8730,1020512,23
131,Latvia,1154,13,30,-1,1019,11,105,1,612,16,163769,86854,1885577,Europe,1634,62853,12
132,Niger,1097,-1,68,-1,976,-1,53,-1,45,3,6603,273,24211580,Africa,22071,356053,3
133,Mozambique,1092,21,9,1,340,3,743,-1,35,0.3,36698,1174,31264310,Africa,28630,3473812,852
134,Montenegro,1019,59,19,2,320,-1,680,-1,1622,30,15618,24867,628068,Europe,616,33056,40
135,Cyprus,1010,2,19,-1,839,-1,152,-1,836,16,167394,138624,1207543,Asia,1196,63555,7
136,Burkina Faso,1005,2,53,-1,862,1,90,-1,48,3,-1,-1,20909267,Africa,20805,394514,
137,Uganda,1000,23,-1,-1,908,4,92,-1,22,-1,219627,4800,45752841,Africa,45753,-1,208
138,Uruguay,974,-1,29,-1,871,-1,74,1,280,8,74568,21465,3474005,South America,3567,119793,47
139,Georgia,968,5,15,-1,844,3,109,5,243,4,134250,33655,3988972,Asia,4121,265931,30
140,Liberia,957,31,42,1,398,3,517,-1,189,8,-1,-1,5059174,Africa,5286,120457,
141,Zimbabwe,885,-1,9,-1,206,-1,670,-1,60,0.6,82077,5521,14866652,Africa,16798,1651850,181
142,Chad,873,-1,74,-1,788,-1,11,-1,53,5,-1,-1,16430468,Africa,18821,222033,
143,Andorra,855,-1,52,-1,802,-1,1,-1,11065,673,3750,48532,77268,Europe,90,1486,21
144,Jamaica,751,6,10,-1,600,1,141,-1,254,3,27357,9238,2961456,North America,3943,296146,108
145,Sao Tome and Principe,724,-1,13,-1,283,-1,428,-1,3303,59,1883,8590,219221,Africa,303,16863,116
146,Diamond Princess,712,-1,13,-1,651,-1,48,4,-1,-1,-1,-1,-1,-1,-1,-1,
147,Togo,704,9,15,-1,483,8,206,2,85,2,34101,4118,8281167,Africa,11763,552078,243
148,San Marino,698,-1,42,-1,656,-1,0,-1,20570,1238,5729,168833,33933,Europe,49,808,6
149,Malta,674,1,9,-1,656,2,9,-1,1526,20,104908,237580,441570,Europe,655,49063,4
150,Suriname,671,6,17,-1,435,1,219,5,1144,29,1244,2120,586738,South America,874,34514,472
151,Namibia,615,22,-1,-1,25,-1,590,1,242,-1,12624,4967,2541613,Africa,4133,-1,201
152,Channel Islands,577,-1,47,-1,512,-1,18,-1,3318,270,21388,122994,173895,Europe,301,3700,8
153,Réunion,566,3,3,-1,472,-1,91,3,632,3,35419,39555,895446,Africa,1582,298482,25
154,Tanzania,509,-1,21,-1,183,-1,305,7,9,0.4,-1,-1,59751032,Africa,117389,2845287,
155,Taiwan,449,-1,7,-1,438,-1,4,-1,19,0.3,78023,3276,23817793,Asia,53046,3402542,305
156,Angola,396,10,22,1,117,-1,257,6,12,0.7,10000,304,32874913,Africa,83017,1494314,3
157,Syria,372,-1,14,-1,126,-1,232,-1,21,0.8,-1,-1,17505817,Asia,47059,1250416,
158,Vietnam,369,-1,-1,-1,347,-1,22,1,4,-1,275000,2825,97356146,Asia,263838,-1,354
159,Mauritius,342,-1,10,-1,330,-1,2,-1,269,8,193561,152192,1271818,Africa,3719,127182,7
160,Isle of Man,336,-1,24,-1,312,-1,0,-1,3951,282,6829,80301,85043,Europe,253,3543,12
