index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,1913463,11680,109726,584,693474,4804,1110263,16977,5783,332,19382148,58581,330859357,North America,173,3015,17
2,Brazil,595112,11132,33038,491,266132,-1,295942,8318,2801,156,930013,4378,212446884,South America,357,6430,228
3,Russia,441108,8831,5384,169,204623,8666,231101,2300,3023,37,11733051,80402,145930019,Europe,331,27104,12
4,Spain,287740,334,27133,5,-1,-1,-1,617,6154,580,4063843,86921,46753492,Europe,162,1723,12
5,UK,281661,1805,39904,176,-1,-1,-1,604,4151,588,5005565,73763,67859798,Europe,241,1701,14
6,Italy,234013,177,33689,88,161895,957,38429,338,3870,557,4049544,66970,60468053,Europe,258,1795,15
7,India,226634,9810,6363,275,108450,4379,111821,8944,164,5,4242718,3077,1378974417,Asia,6085,216718,325
8,Germany,184835,410,8724,25,167800,500,8311,632,2207,104,4348880,51918,83764536,Europe,453,9602,19
9,Peru,178914,-1,4894,-1,72319,-1,101701,964,5432,149,1115615,33872,32935983,South America,184,6730,30
10,Turkey,167410,988,4630,21,131778,926,31002,602,1987,55,2209583,26220,84269726,Asia,503,18201,38
11,Iran,164270,3574,8071,59,127485,2279,28714,2569,1958,96,1019362,12148,83909638,Asia,511,10396,82
12,France,152444,767,29065,44,69976,521,53403,1163,2336,445,1384633,21216,65263122,Europe,428,2245,47
13,Chile,118292,4664,1356,81,90748,4575,26188,1496,6192,71,646458,33839,19103852,South America,161,14088,30
14,Mexico,101238,3912,11729,1092,73271,2963,16238,378,786,91,303461,2356,128829434,North America,1273,10984,425
15,Canada,93700,615,7636,138,51685,637,34379,1721,2484,202,1787446,47391,37717219,North America,403,4939,21
16,Saudi Arabia,93157,1975,611,32,68965,806,23581,1321,2679,18,887209,25516,34771048,Asia,373,56908,39
17,Pakistan,85264,4801,1770,82,30128,1205,53366,111,387,8,615511,2791,220544600,Asia,2587,124601,358
18,Qatar,63741,1581,45,-1,39468,1926,24228,239,22701,16,241086,85863,2807805,Asia,44,62396,12
19,Belgium,58767,82,9548,26,16048,89,33171,143,5072,824,900282,77705,11585939,Europe,197,1213,13
20,Bangladesh,57563,2423,781,35,12161,571,44621,1,350,5,358277,2177,164564713,Asia,2859,210710,459
21,Netherlands,46942,209,5990,13,-1,-1,-1,113,2740,350,378912,22117,17132145,Europe,365,2860,45
22,Belarus,45981,865,253,5,21162,991,24566,92,4866,27,585065,61915,9449542,Europe,206,37350,16
23,Sweden,41883,1080,4562,20,-1,-1,-1,2143,4149,452,275500,27292,10094604,Europe,241,2213,37
24,Ecuador,40966,-1,3486,-1,20019,-1,17461,252,2325,198,119375,6774,17621950,South America,430,5055,148
25,South Africa,40792,3267,848,56,21311,1629,18633,208,688,14,820675,13851,59250820,Africa,1453,69871,72
26,UAE,37018,659,273,3,19572,419,17173,1,3746,28,2145493,217129,9881188,Asia,267,36195,5
27,Singapore,36922,517,24,-1,23904,322,12994,5,6315,4,408495,69865,5846897,Asia,158,243621,14
28,Portugal,33592,331,1455,8,20323,244,11814,58,3294,143,847181,83067,10198769,Europe,304,7009,12
29,Colombia,33354,-1,1045,-1,12288,-1,20021,136,656,21,362432,7129,50841482,South America,1524,48652,140
30,Switzerland,30913,20,1921,-1,28600,-1,392,27,3574,222,409450,47336,8649901,Europe,280,4503,21
31,Kuwait,29921,562,236,6,17223,1473,12462,184,7014,55,306006,71738,4265609,Asia,143,18075,14
32,Egypt,29767,1152,1126,38,7756,406,20885,41,291,11,135000,1321,102178508,Africa,3433,90745,757
33,Indonesia,28818,585,1721,23,8892,486,18205,-1,105,6,367640,1345,273302908,Asia,9484,158805,743
34,Ukraine,25411,588,747,12,11042,602,13622,297,581,17,392316,8967,43751560,Europe,1722,58570,112
35,Ireland,25142,31,1664,5,22698,-1,780,36,5096,337,348416,70622,4933560,Europe,196,2965,14
36,Poland,25048,361,1117,2,12227,213,11704,160,662,30,996604,26331,37849522,Europe,1511,33885,38
37,Philippines,20382,634,984,10,4248,95,15150,82,186,9,389190,3555,109467656,Asia,5371,111248,281
38,Romania,19907,238,1306,10,13919,119,4682,153,1034,68,472850,24568,19246341,Europe,967,14737,41
39,Argentina,19268,-1,588,5,5993,97,12687,274,427,13,178448,3951,45164434,South America,2344,76810,253
40,Dominican Republic,18319,279,520,4,11474,250,6325,110,1690,48,86285,7960,10839641,North America,592,20845,126
41,Afghanistan,18054,787,300,6,1585,63,16169,19,465,8,43569,1121,38855768,Asia,2152,129519,892
42,Israel,17495,118,291,-1,15013,30,2191,27,1902,32,606596,65952,9197590,Asia,526,31607,15
43,Japan,16986,-1,900,-1,14771,-1,1315,101,134,7,300277,2374,126503264,Asia,7448,140559,421
44,Austria,16805,34,670,-1,15717,45,418,22,1867,74,471466,52370,9002608,Europe,536,13437,19
45,Panama,14609,-1,357,-1,9519,-1,4733,75,3390,83,71139,16508,4309396,North America,295,12071,61
46,Oman,14316,778,67,-1,3451,606,10798,58,2809,13,100181,19660,5095664,Asia,356,76055,51
47,Bahrain,13229,414,21,1,7728,318,5480,9,7799,12,337773,199127,1696267,Asia,128,80775,5
48,Kazakhstan,12067,271,52,4,6606,366,5409,62,643,3,867286,46232,18759403,Asia,1555,360758,22
49,Denmark,11811,40,582,2,10620,68,609,17,2040,101,671558,115971,5790721,Europe,490,9950,9
