index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
100,Tunisia,1044,1,47,1,826,171,3,88,4,41620,3526,11804125,Africa
101,Kenya,1029,66,50,-1,366,613,1,19,0.9,49405,921,53624913,Africa
102,Sri Lanka,1028,5,9,-1,584,435,1,48,0.4,46413,2169,21403028,Asia
103,Latvia,1016,4,21,-1,694,301,3,538,11,92751,49116,1888407,Europe
104,Albania,964,15,31,-1,758,175,1,335,11,12555,4362,2878146,Europe
105,Lebanon,961,7,26,-1,251,684,4,141,4,65363,9572,6828786,Asia
106,Mali,931,30,55,2,543,333,-1,46,3,3483,173,20176487,Africa
107,Cyprus,922,4,17,-1,516,389,10,764,14,90718,75201,1206344,Asia
108,Niger,920,6,58,3,738,124,-1,38,2,5909,245,24091143,Africa
109,Costa Rica,897,15,10,-1,582,305,5,176,2,21299,4186,5088699,North America
110,Paraguay,833,4,11,-1,242,580,-1,117,2,21542,3025,7122183,South America
111,Zambia,832,60,7,-1,197,628,1,45,0.4,19014,1038,18318568,Africa
112,Equatorial Guinea,825,-1,7,-1,22,796,-1,591,5,854,611,1397001,Africa
113,Burkina Faso,809,13,52,1,661,96,-1,39,2,-1,-1,20830672,Africa
114,Andorra,761,-1,51,-1,628,82,3,9851,660,3750,48543,77251,Europe
115,Venezuela,749,131,10,-1,253,486,1,26,0.4,616562,21676,28444815,South America
116,Uruguay,738,-1,20,-1,579,139,4,213,6,34794,10020,3472364,South America
117,Georgia,713,6,12,-1,475,226,6,179,3,40711,10203,3990014,Asia
118,Diamond Princess,712,-1,13,-1,651,48,4,-1,-1,-1,-1,-1,
119,Jordan,672,23,9,-1,446,217,5,66,0.9,148482,14569,10191291,Asia
120,San Marino,656,1,41,-1,220,395,1,19338,1209,3700,109071,33923,Europe
121,Haiti,596,63,22,1,21,553,-1,52,2,2270,199,11386106,North America
122,Malta,584,15,6,-1,465,113,1,1323,14,54866,124297,441410,Europe
123,Sierra Leone,570,36,34,1,205,331,-1,72,4,-1,-1,7957089,Africa
124,Chad,565,20,57,1,177,331,-1,35,3,-1,-1,16365816,Africa
125,Channel Islands,555,-1,44,-1,479,32,-1,3196,253,5342,30758,173676,Europe
126,Jamaica,520,-1,9,-1,145,366,-1,176,3,8828,2983,2959694,North America
127,Tanzania,509,-1,21,-1,183,305,7,9,0.4,-1,-1,59517667,Africa
128,Réunion,447,1,1,1,411,35,2,500,1,17200,19227,894575,Africa
129,Taiwan,440,-1,7,-1,402,31,-1,18,0.3,69876,2934,23811922,Asia
130,Nepal,427,25,2,-1,45,380,1,15,0.07,110566,3803,29073225,Asia
131,Congo,420,-1,15,-1,132,273,-1,76,3,-1,-1,5501102,Africa
132,Palestine,398,7,2,-1,346,50,-1,78,0.4,44876,8822,5086676,Asia
133,Ethiopia,389,24,5,-1,122,262,-1,3,0.04,65760,574,114607221,Africa
134,Madagascar,371,45,2,-1,131,238,-1,13,0.07,5670,205,27601550,Africa
135,CAR,366,-1,-1,-1,18,348,-1,76,-1,3498,726,4819607,Africa
136,Cabo Verde,349,14,3,-1,85,261,-1,629,5,892,1606,555278,Africa
137,Togo,338,-1,12,-1,107,219,-1,41,1,13825,1675,8254589,Africa
138,Isle of Man,336,1,24,-1,302,10,4,3954,282,4262,50152,84982,Europe
139,Mauritius,332,-1,10,-1,322,0,-1,261,8,95666,75237,1271531,Africa
140,Montenegro,324,-1,9,-1,312,3,2,516,14,10167,16188,628057,Europe
141,Vietnam,324,-1,-1,-1,263,61,2,3,-1,275000,2828,97236622,Asia
142,Rwanda,314,6,-1,-1,216,98,-1,24,-1,53317,4129,12912035,Africa
143,South Sudan,290,-1,4,-1,4,282,-1,26,0.4,3356,300,11178254,Africa
144,Uganda,264,4,-1,-1,65,199,-1,6,-1,77456,1700,45554546,Africa
145,Nicaragua,254,-1,17,-1,199,38,-1,38,3,-1,-1,6615255,North America
146,Sao Tome and Principe,251,-1,8,-1,4,239,-1,1148,37,175,800,218664,Africa
147,Liberia,238,5,23,-1,128,87,-1,47,5,-1,-1,5042890,Africa
148,French Guiana,218,-1,1,-1,136,81,-1,732,3,-1,-1,297708,South America
149,Eswatini,208,-1,2,-1,87,119,-1,180,2,4160,3590,1158757,Africa
150,Myanmar,193,-1,6,-1,104,83,-1,4,0.1,15137,278,54367787,Asia
151,Martinique,192,-1,14,-1,91,87,-1,512,37,-1,-1,375297,North America
152,Faeroe Islands,187,-1,-1,-1,187,0,-1,3829,-1,8986,183981,48842,Europe
153,Yemen,184,17,30,2,5,149,-1,6,1,120,4,29744780,Asia
154,Mozambique,156,10,-1,-1,48,108,-1,5,-1,6769,217,31144220,Africa
155,Guadeloupe,155,-1,13,-1,109,33,3,387,32,2866,7163,400116,North America
156,Gibraltar,149,2,-1,-1,145,4,-1,4422,-1,5615,166657,33692,Europe
157,Brunei,141,-1,1,-1,136,4,2,323,2,17718,40546,436990,Asia
158,Mongolia,140,-1,-1,-1,26,114,27,43,-1,11641,3558,3271940,Asia
159,Mauritania,131,-1,4,-1,7,120,-1,28,0.9,2583,557,4634257,Africa
160,Benin,130,-1,2,-1,83,45,-1,11,0.2,25471,2108,12083204,Africa
161,Guyana,125,-1,10,-1,46,69,3,159,13,1269,1614,786119,South America
162,Bermuda,125,-1,9,-1,78,38,2,2006,144,5705,91569,62303,North America
163,Cambodia,122,-1,-1,-1,122,0,-1,7,-1,15572,933,16691420,Asia
164,Trinidad and Tobago,116,-1,8,-1,107,1,-1,83,6,2727,1949,1398974,North America
165,Cayman Islands,111,-1,1,-1,55,55,-1,1691,15,7082,107906,65631,North America
166,Aruba,101,-1,3,-1,95,3,4,946,28,2025,18976,106714,North America
167,Monaco,97,-1,4,-1,90,3,1,2474,102,-1,-1,39210,Europe
168,Bahamas,96,-1,11,-1,43,42,1,244,28,1826,4649,392805,North America
169,Barbados,90,2,7,-1,68,15,4,313,24,4322,15042,287335,North America
170,Liechtenstein,82,-1,1,-1,55,26,-1,2151,26,900,23612,38116,Europe
171,Sint Maarten,77,-1,15,-1,54,8,7,1798,350,414,9669,42819,North America
172,Malawi,71,1,3,-1,27,41,1,4,0.2,1803,95,19067788,Africa
173,Libya,69,1,3,-1,35,31,-1,10,0.4,3633,530,6860181,Africa
174,French Polynesia,60,-1,-1,-1,60,0,-1,214,-1,3496,12454,280722,Australia/Oceania
175,Syria,58,-1,3,-1,36,19,-1,3,0.2,-1,-1,17447571,Asia
176,Angola,52,-1,3,-1,17,32,-1,2,0.09,6136,187,32734590,Africa
177,Zimbabwe,46,-1,4,-1,18,24,-1,3,0.3,28019,1888,14837082,Africa
178,Macao,45,-1,-1,-1,45,0,-1,69,-1,-1,-1,648282,Asia
179,Burundi,42,-1,1,-1,20,21,-1,4,0.08,284,24,11845443,Africa
180,Saint Martin,40,1,3,-1,33,4,1,1037,78,-1,-1,38586,North America
181,Eritrea,39,-1,-1,-1,39,0,-1,11,-1,-1,-1,3540578,Africa
182,Comoros,34,23,1,-1,8,25,-1,39,1,-1,-1,867319,Africa
183,Antigua and Barbuda,25,-1,3,-1,19,3,1,256,31,183,1870,97835,North America
184,Botswana,25,-1,1,-1,17,7,-1,11,0.4,13294,5667,2345808,Africa
185,Gambia,24,-1,1,-1,13,10,-1,10,0.4,1476,613,2408042,Africa
186,Timor-Leste,24,-1,-1,-1,24,0,-1,18,-1,738,561,1315383,Asia
187,Grenada,22,-1,-1,-1,14,8,4,196,-1,2419,21509,112464,North America
188,Bhutan,21,-1,-1,-1,5,16,-1,27,-1,14294,18549,770610,Asia
189,Laos,19,-1,-1,-1,14,5,-1,3,-1,4743,653,7262953,Asia
190,Belize,18,-1,2,-1,16,0,-1,45,5,1363,3435,396752,North America
191,Fiji,18,-1,-1,-1,15,3,-1,20,-1,1300,1451,895695,Australia/Oceania
192,New Caledonia,18,-1,-1,-1,18,0,-1,63,-1,5454,19125,285178,Australia/Oceania
193,Saint Lucia,18,-1,-1,-1,18,0,-1,98,-1,786,4283,183531,North America
194,St. Vincent Grenadines,17,-1,-1,-1,14,3,-1,153,-1,175,1578,110900,North America
195,Curaçao,16,-1,1,-1,14,1,-1,98,6,485,2957,164017,North America
196,Dominica,16,-1,-1,-1,16,0,-1,222,-1,433,6017,71966,North America
197,Namibia,16,-1,-1,-1,14,2,-1,6,-1,2586,1020,2535319,Africa
198,Saint Kitts and Nevis,15,-1,-1,-1,15,0,-1,282,-1,391,7356,53156,North America
199,Falkland Islands,13,-1,-1,-1,13,0,-1,3750,-1,426,122873,3467,South America
200,Turks and Caicos,12,-1,1,-1,10,1,-1,310,26,109,2820,38655,North America
201,Vatican City,12,-1,-1,-1,2,10,-1,14981,-1,-1,-1,801,Europe
202,Montserrat,11,-1,1,-1,10,0,-1,2204,200,36,7212,4992,North America
203,Suriname,11,-1,1,-1,9,1,-1,19,2,404,689,586020,South America
204,Greenland,11,-1,-1,-1,11,0,-1,194,-1,1767,31132,56759,North America
205,Seychelles,11,-1,-1,-1,11,0,-1,112,-1,-1,-1,98277,Africa
206,MS Zaandam,9,-1,2,-1,-1,7,-1,-1,-1,-1,-1,-1,
207,British Virgin Islands,8,-1,1,-1,6,1,-1,265,33,167,5528,30208,North America
208,Papua New Guinea,8,-1,-1,-1,8,0,-1,0.9,-1,2402,269,8926371,Australia/Oceania
209,Caribbean Netherlands,6,-1,-1,-1,6,0,-1,229,-1,357,13629,26195,North America
210,St. Barth,6,-1,-1,-1,6,0,-1,608,-1,-1,-1,9874,North America
211,Western Sahara,6,-1,-1,-1,6,0,-1,10,-1,-1,-1,595503,Africa
212,Anguilla,3,-1,-1,-1,3,0,-1,200,-1,-1,-1,14987,North America
213,Lesotho,1,-1,-1,-1,-1,1,-1,0.5,-1,-1,-1,2140282,Africa
214,Saint Pierre Miquelon,1,-1,-1,-1,1,0,-1,173,-1,-1,-1,5797,North America
215,China,82965,5,4634,-1,78244,87,9,58,3,-1,-1,1439323776,Asia
