index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,3072602,32410,133644,665,1341288,16341,1597670,15242,9282,404,38574144,116526,331034037,North America,108,2477,9
2,Brazil,1643539,17468,66093,537,1072229,93614,505217,8318,7731,311,4316284,20304,212582910,South America,129,3216,49
3,India,743481,23135,20653,479,457045,16895,265783,8944,539,15,10211092,7398,1380196747,Asia,1856,66828,135
4,Russia,694230,6368,10494,198,463880,9551,219856,2300,4757,72,21537771,147584,145935642,Europe,210,13907,7
5,Peru,309278,3575,10952,180,200938,3319,97388,1265,9378,332,1821328,55230,32977406,South America,107,3011,18
6,Chile,301019,2462,6434,50,268245,3874,26340,2060,15745,337,1210326,63306,19118631,South America,64,2972,16
7,Spain,299210,341,28392,4,-1,-1,-1,617,6400,607,5734599,122652,46755120,Europe,156,1647,8
8,UK,286349,581,44391,155,-1,-1,-1,231,4218,654,10651308,156886,67891886,Europe,237,1529,6
9,Mexico,261750,4902,31119,480,159657,4053,70974,378,2030,241,641142,4972,128951496,North America,493,4144,201
10,Iran,245688,2637,11931,200,207000,2917,26757,3270,2925,142,1846793,21984,84006568,Asia,342,7041,45
11,Italy,241956,137,34899,30,192815,574,14242,70,4002,577,5703673,94338,60460068,Europe,250,1732,11
12,Pakistan,234509,2691,4839,77,134957,3308,94713,2306,1061,22,1445153,6541,220931964,Asia,942,45657,153
13,Saudi Arabia,217108,3392,2017,49,154839,5205,60252,2268,6235,58,2018657,57974,34819965,Asia,160,17263,17
14,Turkey,207897,1053,5260,19,185292,2297,17345,1152,2465,62,3733218,44258,84351507,Asia,406,16036,23
15,South Africa,205721,-1,3310,-1,97848,-1,104563,539,3468,56,1864111,31426,59318236,Africa,288,17921,32
16,Germany,198355,298,9103,11,182700,500,6552,298,2367,109,5873563,70100,83788628,Europe,422,9205,14
17,France,168810,475,29933,13,77655,347,61222,538,2586,459,1384633,21212,65276107,Europe,387,2181,47
18,Bangladesh,168645,3027,2151,55,78102,1953,88392,1,1024,13,876480,5321,164712537,Asia,977,76575,188
19,Colombia,120281,-1,4210,-1,50370,-1,65701,841,2364,83,881190,17315,50890353,South America,423,12088,58
20,Canada,106106,171,8708,15,69827,257,27571,2128,2811,231,2975711,78833,37747023,North America,356,4335,13
21,Qatar,100945,600,134,1,94903,1005,5908,154,35952,48,390997,139254,2807805,Asia,28,20954,7
22,Argentina,80447,-1,1602,20,30095,1564,48750,676,1780,35,414697,9174,45201791,South America,562,28216,109
23,Egypt,77279,1057,3489,67,21718,480,52072,41,755,34,135000,1319,102352798,Africa,1324,29336,758
24,Sweden,73344,57,5447,11,-1,-1,-1,103,7262,539,520208,51504,10100272,Europe,138,1854,19
25,Indonesia,66226,1268,3309,68,30785,866,32132,-1,242,12,946054,3458,273563534,Asia,4131,82673,289
26,Iraq,64701,2426,2685,118,36252,1511,25764,396,1608,67,624420,15521,40229391,Asia,622,14983,64
27,Belarus,64003,199,436,7,51902,782,11665,89,6773,46,1074240,113685,9449263,Europe,148,21673,9
28,Ecuador,62380,-1,4821,-1,28872,-1,28687,288,3535,273,163842,9285,17646119,South America,283,3660,108
29,Belgium,62058,42,9774,3,17122,31,35162,27,5354,843,1313064,113288,11590476,Europe,187,1186,9
30,UAE,52600,532,326,2,41714,993,10560,1,5317,33,3544000,358271,9891960,Asia,188,30343,3
31,Kuwait,51245,601,377,4,41515,514,9353,159,11997,88,413530,96816,4271307,Asia,83,11330,10
32,Netherlands,50694,37,6132,4,-1,-1,-1,18,2958,358,616376,35971,17135554,Europe,338,2794,28
33,Kazakhstan,49683,1109,264,-1,27657,323,21762,221,2646,14,1620252,86277,18779648,Asia,378,71135,12
34,Ukraine,49607,564,1283,21,22193,490,26131,106,1134,29,731858,16737,43727995,Europe,881,34083,60
35,Oman,48997,1262,224,6,31000,1854,17773,127,9593,44,217194,42525,5107411,Asia,104,22801,24
36,Philippines,47873,1540,1309,6,12386,201,34178,166,437,12,845218,7712,109599173,Asia,2289,83727,130
37,Singapore,45140,157,26,-1,41002,285,4112,1,7715,4,757746,129506,5851040,Asia,130,225040,8
38,Portugal,44416,287,1629,9,29445,279,13342,76,4356,160,1271425,124697,10196100,Europe,230,6259,8
39,Bolivia,40509,1212,1476,42,11929,262,27104,71,3470,126,88818,7608,11674969,South America,288,7910,131
40,Panama,39334,-1,770,-1,18036,-1,20528,146,9115,178,148115,34321,4315525,North America,110,5605,29
41,Dominican Republic,38430,302,821,17,19564,75,18045,208,3542,76,169999,15669,10849442,North America,282,13215,64
42,Poland,36412,257,1528,7,24238,272,10646,73,962,40,1676364,44295,37845799,Europe,1039,24768,23
43,Afghanistan,33384,194,920,22,20179,76,12285,31,857,24,76910,1975,38935009,Asia,1166,42321,506
44,Switzerland,32369,54,1966,1,29300,-1,1103,17,3740,227,641982,74170,8655600,Europe,267,4403,13
45,Israel,32222,1473,342,8,18227,171,13653,86,3503,37,1130991,122966,9197590,Asia,285,26894,8
46,Bahrain,29821,-1,98,-1,25178,-1,4545,54,17525,58,612096,359711,1701631,Asia,57,17364,3
47,Romania,29620,397,1799,31,20534,321,7287,231,1540,94,783337,40725,19234834,Europe,649,10692,25
48,Nigeria,29286,-1,654,-1,11828,-1,16804,7,142,3,152952,742,206172246,Africa,7040,315248,1
49,Armenia,29285,349,503,12,16907,605,11875,10,9882,170,125088,42212,2963343,Asia,101,5891,24
50,Ireland,25538,7,1742,1,23364,-1,432,12,5171,353,473974,95975,4938531,Europe,193,2835,10
51,Honduras,24665,722,656,17,2585,95,21424,58,2490,66,49308,4977,9906351,North America,402,15101,201
52,Guatemala,23972,-1,981,-1,3429,-1,19562,5,1338,55,64590,3605,17918789,North America,747,18266,277
53,Azerbaijan,21374,537,265,7,12635,453,8474,66,2108,26,529875,52253,10140510,Asia,474,38266,19
54,Ghana,21077,-1,129,-1,16070,-1,4878,6,678,4,313457,10086,31078435,Africa,1475,240918,99
55,Japan,19775,-1,977,-1,17124,-1,1674,34,156,8,499898,3953,126468508,Asia,6395,129446,253
56,Austria,18421,56,706,-1,16686,39,1029,10,2045,78,660149,73291,9007233,Europe,489,12758,14
57,Moldova,18141,235,603,11,11241,194,6297,391,4497,149,101180,25083,4033774,Europe,222,6690,40
58,Algeria,16879,475,968,9,12094,210,3817,55,385,22,-1,-1,43858923,Africa,2598,45309,
59,Serbia,16719,299,330,13,13366,-1,3023,110,1914,38,455604,52149,8736632,Europe,523,26475,19
60,Nepal,16168,204,35,-1,7499,688,8634,-1,555,1,574263,19706,29142042,Asia,1802,832630,51
61,Cameroon,14916,2324,359,46,11525,1425,3032,52,562,14,-1,-1,26550049,Africa,1780,73956,
62,Morocco,14607,228,240,3,10639,466,3728,19,396,7,801287,21705,36916314,Africa,2527,153818,46
63,S. Korea,13181,44,285,1,11914,66,982,15,257,6,1346194,26257,51270007,Asia,3890,179895,38
64,Denmark,12888,10,609,2,11983,48,296,5,2225,105,1157601,199843,5792556,Europe,449,9512,5
65,Czechia,12639,73,351,1,7910,37,4378,13,1180,33,573446,53546,10709342,Europe,847,30511,19
66,Ivory Coast,11194,228,76,1,5487,103,5631,-1,424,3,67168,2546,26382457,Africa,2357,347138,393
67,Uzbekistan,10587,225,40,3,6690,62,3857,36,316,1,1121236,33495,33474926,Asia,3162,836873,30
68,Sudan,9997,103,622,6,5034,135,4341,-1,228,14,401,9,43856590,Africa,4387,70509,109
69,Norway,8941,5,251,-1,8138,-1,552,3,1649,46,355656,65596,5421885,Europe,606,21601,15
70,Australia,8755,169,106,-1,7455,35,1194,10,343,4,2800030,109789,25503813,Australia/Oceania,2913,240602,9
71,Malaysia,8674,6,121,-1,8481,5,72,2,268,4,816118,25211,32371249,Asia,3732,267531,40
72,El Salvador,8307,280,229,6,4929,199,3149,234,1281,35,179862,27728,6486748,North America,781,28326,36
73,Kenya,8250,183,167,3,2504,90,5579,29,153,3,193455,3597,53780608,Africa,6519,322040,278
74,Kyrgyzstan,8141,450,99,7,2916,73,5126,24,1248,15,236893,36303,6525353,Asia,802,65913,28
75,Senegal,7547,69,137,1,5023,153,2387,34,451,8,86103,5142,16746376,Africa,2219,122236,194
76,DRC,7432,-1,182,-1,3226,-1,4024,-1,83,2,-1,-1,89570521,Africa,12052,492146,
77,Venezuela,7411,-1,68,-1,2100,-1,5243,19,261,2,1325286,46609,28434294,South America,3837,418151,21
78,Finland,7262,5,329,-1,6700,-1,233,1,1311,59,255500,46112,5540878,Europe,763,16842,22
79,North Macedonia,7244,120,351,5,3324,125,3569,55,3477,168,69426,33324,2083372,Europe,288,5936,30
80,Haiti,6371,38,113,-1,1824,275,4434,-1,559,10,13159,1154,11404332,North America,1790,100923,867
81,Tajikistan,6315,53,53,-1,4965,51,1297,-1,662,6,-1,-1,9539280,Asia,1511,179986,
82,Bulgaria,5914,-1,250,-1,3000,-1,2664,29,851,36,156351,22505,6947259,Europe,1175,27789,44
83,Ethiopia,5846,-1,103,-1,2430,-1,3313,35,51,0.9,250604,2180,114981813,Africa,19668,1116328,459
84,Gabon,5743,-1,46,-1,2574,-1,3123,11,2580,21,42078,18902,2226103,Africa,388,48394,53
85,Bosnia and Herzegovina,5621,163,207,8,2693,95,2721,4,1714,63,102715,31312,3280369,Europe,584,15847,32
86,Guinea,5610,-1,34,-1,4522,-1,1054,24,427,3,14407,1097,13134623,Africa,2341,386312,912
87,Costa Rica,5486,245,23,-1,1810,34,3653,11,1077,5,48487,9517,5094794,North America,929,221513,105
88,French Guiana,5178,124,21,1,2119,135,3038,30,17334,70,8707,29147,298727,South America,58,14225,34
89,Mauritania,5024,76,135,2,1944,48,2945,14,1080,29,13842,2977,4650341,Africa,926,34447,336
90,Djibouti,4878,56,55,-1,4621,11,202,-1,4936,56,48170,48747,988169,Africa,203,17967,21
91,Palestine,4647,306,18,1,494,3,4135,-1,911,4,122555,24020,5102269,Asia,1098,283459,42
92,Luxembourg,4603,61,110,-1,4056,40,437,3,7352,176,237755,379746,626089,Europe,136,5692,3
93,Hungary,4205,16,589,-1,2874,14,742,7,435,61,286983,29709,9659853,Europe,2297,16400,34
94,CAR,4071,38,52,-1,976,6,3043,2,843,11,25872,5356,4830632,Africa,1187,92897,187
95,Greece,3589,27,193,1,1374,-1,2022,10,344,19,349084,33495,10421964,Europe,2904,54000,30
96,Madagascar,3472,222,33,-1,1187,52,2252,41,125,1,25864,934,27695216,Africa,7977,839249,1
97,Croatia,3272,52,113,-1,2229,19,930,5,797,28,86860,21161,4104709,Europe,1254,36325,47
98,Thailand,3195,-1,58,-1,3072,-1,65,1,46,0.8,603657,8648,69803101,Asia,21848,1203502,116
99,Equatorial Guinea,3071,-1,51,-1,842,-1,2178,-1,2189,36,16000,11404,1403077,Africa,457,27511,88
100,Albania,3038,74,81,2,1744,42,1213,7,1056,28,26239,9118,2877735,Europe,947,35528,110
101,Somalia,3015,9,92,-1,1096,45,1827,2,190,6,-1,-1,15895312,Africa,5272,172775,
102,Nicaragua,2846,327,91,8,1993,755,762,-1,430,14,-1,-1,6625589,North America,2328,72809,
103,Mayotte,2688,9,34,-1,2446,71,208,3,9851,125,8800,32251,272859,Africa,102,8025,31
104,Paraguay,2502,46,20,-1,1193,13,1289,8,351,3,81441,11416,7133671,South America,2851,356684,88
105,Maldives,2501,10,12,-1,2158,45,331,12,4626,22,57611,106561,540641,Asia,216,45053,9
