index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,4556245,57518,153498,1207,2231376,45482,2171371,19025,13759,464,56571343,170833,331150490,North America,73,2157,6
2,Brazil,2553265,68616,90134,1500,1787419,65859,675712,8318,12006,424,12601096,59251,212673594,South America,83,2360,17
3,India,1584384,52249,35003,779,1021611,32841,527770,8944,1147,25,17743740,12848,1381011634,Asia,872,39454,78
4,Russia,828990,5475,13673,169,620333,8116,194984,2300,5680,94,27569646,188912,145939390,Europe,176,10674,5
5,South Africa,471123,11362,7497,240,297967,10654,165659,539,7936,126,2873163,48400,59363180,Africa,126,7918,21
6,Mexico,402697,7208,44876,854,261457,4680,96364,3922,3121,348,940089,7286,129032870,North America,320,2875,137
7,Peru,395005,-1,18612,-1,276452,-1,99941,1423,11968,564,2270717,68799,33005022,South America,84,1773,15
8,Chile,351575,1775,9278,38,324557,2225,17740,1529,18380,485,1580823,82642,19128483,South America,54,2062,12
9,Spain,329721,2031,28441,5,-1,-1,-1,617,7052,608,6678414,142835,46756205,Europe,142,1644,7
10,UK,301455,763,45961,83,-1,-1,-1,94,4439,677,15478728,227919,67913277,Europe,225,1478,4
11,Iran,298909,2636,16343,196,259116,2097,23450,4027,3555,194,2405862,28617,84071188,Asia,281,5144,35
12,Pakistan,276288,1063,5892,27,244883,2447,25513,1179,1249,27,1931102,8731,221190207,Asia,801,37541,115
13,Colombia,276055,8670,9454,380,142777,6087,123824,1493,5421,186,1502809,29511,50922934,South America,184,5386,34
14,Saudi Arabia,272590,1759,2816,27,228569,2945,41205,2063,7821,81,3237731,92898,34852577,Asia,128,12377,11
15,Italy,246776,289,35129,6,199031,275,12616,38,4082,581,6690311,110666,60454745,Europe,245,1721,9
16,Bangladesh,232194,3009,3035,35,130292,2878,98867,1,1409,18,1151258,6985,164811086,Asia,710,54303,143
17,Turkey,228924,942,5659,14,212557,996,10708,1280,2712,67,4711095,55815,84406027,Asia,369,14915,18
18,Germany,208811,860,9212,5,192000,-1,7599,261,2492,110,7418812,88525,83804689,Europe,401,9097,11
19,France,185196,1392,30238,15,81311,-1,73647,385,2837,463,2982302,45681,65284764,Europe,353,2159,22
20,Argentina,173355,-1,3200,21,77855,2772,92300,1002,3833,71,675011,14925,45226696,South America,261,14133,67
21,Iraq,118300,2968,4603,68,83461,2399,30236,433,2937,114,965317,23963,40283777,Asia,341,8752,42
22,Canada,115431,437,8917,5,100432,298,6082,2237,3056,236,3899192,103244,37766893,North America,327,4235,10
23,Qatar,110153,273,169,2,106849,246,3135,97,39231,60,487435,173600,2807805,Asia,25,16614,6
24,Indonesia,104432,2381,4975,74,62138,1599,37319,-1,382,18,1447583,5288,273737285,Asia,2621,55023,189
