index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
1,USA,1660531,15437,98431,784,439487,1122613,17109,5020,298,14234295,43030,330795837,North America
2,Brazil,341048,10158,21682,634,135430,183936,8318,1606,102,735224,3462,212397420,South America
3,Russia,335882,9434,3388,139,107936,224558,2300,2302,23,8402747,57581,145927974,Europe
4,Spain,282370,466,28678,50,196958,56734,1152,6040,613,3037840,64977,46752901,Europe
5,UK,257154,2959,36675,282,-1,-1,1559,3790,541,3348507,49353,67848130,Europe
6,Italy,229327,669,32735,119,138840,57752,572,3792,541,3391188,56080,60470956,Europe
7,France,182469,250,28332,43,64547,89590,1665,2796,434,1384633,21218,65258400,Europe
8,Germany,179945,232,8363,11,159900,11682,919,2148,100,3595059,42923,83755775,Europe
9,Turkey,155686,1186,4308,32,117602,33776,775,1848,51,1807673,21459,84239988,Asia
10,Iran,133521,1869,7359,59,104072,22090,2633,1592,88,781286,9315,83874391,Asia
11,India,131423,6629,3868,142,54385,73170,8944,95,3,2834798,2056,1378529934,Asia
12,Peru,111698,-1,3244,-1,44848,63606,901,3393,99,750526,22798,32920920,South America
13,Canada,83590,1110,6352,102,43207,34031,502,2217,168,1420505,37673,37706381,North America
14,Saudi Arabia,70161,2442,379,15,41236,28546,302,2019,11,684615,19699,34753259,Asia
15,Chile,65393,3536,673,43,26546,38174,1062,3424,35,457332,23946,19098478,South America
16,Mexico,62527,2960,6989,479,42725,12813,378,486,54,201838,1567,128785048,North America
17,Belgium,56810,299,9237,25,15155,32418,259,4904,797,768706,66358,11584289,Europe
18,Pakistan,52437,1743,1101,34,16653,34683,111,238,5,460692,2090,220403741,Asia
19,Netherlands,45064,176,5811,23,-1,-1,227,2631,339,313755,18315,17130906,Europe
20,Qatar,42213,1732,21,2,8513,33679,177,14680,7,184794,64263,2875579,Asia
21,Ecuador,36258,430,3096,40,3557,29605,208,2059,176,105462,5988,17613161,South America
22,Belarus,35244,941,194,4,13528,21522,92,3730,21,434618,45993,9449644,Europe
23,Sweden,33188,379,3992,67,4971,24225,265,3288,396,209900,20798,10092543,Europe
24,Bangladesh,32078,1873,452,20,6486,25140,1,195,3,234675,1427,164510959,Asia
25,Singapore,31068,642,23,-1,13882,17163,8,5315,4,294414,50367,5845390,Asia
26,Switzerland,30725,18,1905,2,28000,820,51,3553,220,367037,42443,8647829,Europe
27,Portugal,30471,271,1302,13,7705,21464,80,2987,128,689705,67620,10199740,Europe
28,UAE,28704,812,244,3,14495,13965,1,2906,25,1600923,162082,9877270,Asia
29,Ireland,24582,76,1604,12,21060,1918,54,4984,325,295626,59943,4931752,Europe
30,Indonesia,21745,949,1351,25,5249,15145,-1,80,5,239740,877,273208135,Asia
31,South Africa,21343,1218,407,10,10104,10832,119,360,7,564370,9529,59226304,Africa
32,Poland,20931,312,993,11,8977,10961,160,553,26,750939,19839,37850876,Europe
33,Ukraine,20580,432,605,17,6929,13046,256,470,14,277712,6346,43760129,Europe
34,Kuwait,20464,900,148,10,5747,14569,192,4800,35,268154,62895,4263538,Asia
35,Colombia,19131,-1,682,-1,4575,13874,136,376,13,235948,4642,50823711,South America
36,Romania,17857,145,1173,7,11187,5497,196,928,61,361566,18782,19250526,Europe
37,Israel,16712,22,279,-1,14085,2348,47,1817,30,536306,58309,9197590,Asia
38,Japan,16513,-1,796,-1,13005,2712,176,131,6,265502,2099,126515903,Asia
39,Egypt,16513,727,735,28,4628,11150,41,162,7,135000,1322,102115130,Africa
40,Austria,16486,50,639,4,15037,810,28,1832,71,396363,44036,9000927,Europe
41,Dominican Republic,14422,433,458,2,7854,6110,113,1331,42,65355,6031,10836077,North America
42,Philippines,13777,180,863,6,3177,9737,81,126,8,287294,2626,109419831,Asia
43,Denmark,11289,59,561,-1,9836,892,19,1950,97,526285,90895,5790054,Europe
44,S. Korea,11165,23,266,2,10194,705,15,218,5,814420,15887,51264600,Asia
45,Serbia,11092,68,238,1,5699,5155,12,1269,27,214212,24507,8740939,Europe
46,Argentina,10649,-1,439,6,3530,6680,171,236,10,125893,2788,45150850,South America
47,Panama,10267,-1,295,-1,6275,3697,72,2384,68,55018,12774,4307167,North America
48,Afghanistan,9998,782,216,11,1040,8742,19,258,6,29417,758,38826954,Asia
49,Czechia,8853,40,314,2,6038,2501,29,827,29,394499,36845,10706906,Europe
50,Bahrain,8774,360,13,1,4462,4299,8,5178,8,274711,162137,1694317,Asia
51,Norway,8340,8,235,-1,7727,378,13,1540,43,229769,42419,5416680,Europe
52,Algeria,8113,195,592,10,4426,3095,22,185,14,-1,-1,43761439,Africa
53,Kazakhstan,7919,322,35,-1,4214,3670,31,422,2,635712,33901,18752041,Asia
54,Morocco,7406,74,198,1,4638,2570,1,201,5,133561,3623,36862538,Africa
55,Nigeria,7261,-1,221,-1,2007,5033,7,35,1,41907,204,205542168,Africa
56,Oman,7257,463,36,2,1848,5373,31,1425,7,72000,14142,5091392,Asia
57,Malaysia,7185,48,115,-1,5912,1158,9,222,4,500469,15485,32320265,Asia
58,Australia,7111,16,102,1,6494,515,5,279,4,1192262,46815,25467448,Australia/Oceania
59,Moldova,6994,147,242,5,3452,3300,286,1733,60,40565,10053,4034922,Europe
60,Ghana,6617,131,31,-1,1978,4608,16,213,1,193705,6249,30998526,Africa
61,Finland,6568,31,306,-1,4800,1462,21,1186,55,165600,29893,5539822,Europe
