index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,2450467,26299,124037,564,1026664,6283,1299766,16497,7404,375,29898530,90337,330965224,North America,135,2668,11
2,Brazil,1157451,5972,52951,180,613345,-1,491155,8318,5446,249,2678426,12603,212529324,South America,184,4014,79
3,Russia,606881,7176,8513,154,368822,12393,229546,2300,4159,58,17803955,122001,145933426,Europe,240,17142,8
4,India,472972,16857,14907,424,271688,13114,186377,8944,343,11,7352911,5329,1379715223,Asia,2917,92555,188
5,UK,306862,652,43081,154,-1,-1,-1,311,4521,635,8542186,125844,67879245,Europe,221,1576,8
6,Spain,294166,334,28327,2,-1,-1,-1,617,6292,606,5162909,110426,46754479,Europe,159,1651,9
7,Peru,260810,-1,8404,-1,148437,-1,103969,1144,7913,255,1539746,46714,32961088,South America,126,3922,21
8,Chile,254416,3649,4731,226,215093,4523,34592,2046,13311,248,1007635,52720,19112809,South America,75,4040,19
9,Italy,239410,190,34644,30,186111,1079,18655,107,3960,573,5107093,84466,60463214,Europe,253,1745,12
10,Iran,212501,2531,9996,133,172096,2936,30409,2869,2531,119,1502525,17894,83968383,Asia,395,8400,56
11,Germany,192977,199,8990,4,176300,600,7687,331,2303,107,5029696,60035,83779137,Europe,434,9319,17
12,Turkey,191657,1492,5025,24,164234,1386,22398,914,2273,60,3083121,36565,84319290,Asia,440,16780,27
13,Mexico,191410,6288,23377,793,144448,4330,23585,378,1485,181,501871,3893,128903411,North America,673,5514,257
14,Pakistan,188926,3892,3755,60,77754,4283,107417,3337,856,17,1150141,5209,220779366,Asia,1169,58796,192
15,Saudi Arabia,167267,3123,1387,41,112797,2912,53083,2129,4806,40,1407508,40445,34800695,Asia,208,25091,25
16,France,161348,81,29731,11,75127,256,56490,658,2472,456,1384633,21214,65270992,Europe,405,2195,47
17,Bangladesh,122660,3462,1582,37,49666,2031,71412,1,745,10,663444,4029,164654303,Asia,1342,104080,248
18,South Africa,106108,-1,2102,-1,55045,-1,48961,208,1790,35,1382772,23322,59291678,Africa,559,28207,43
19,Canada,102179,216,8483,29,64933,229,28763,2058,2708,225,2482869,65797,37735282,North America,369,4448,15
20,Qatar,90778,1199,104,5,73083,1582,17591,219,32331,37,333172,118659,2807805,Asia,31,26998,8
21,Colombia,73572,-1,2404,-1,30459,-1,40709,335,1446,47,634611,12475,50871101,South America,691,21161,80
22,Sweden,62324,343,5209,48,-1,-1,-1,193,6172,516,385659,38191,10098039,Europe,162,1939,26
23,Belgium,60898,88,9722,9,16771,-1,34405,41,5255,839,1145258,98826,11588689,Europe,190,1192,10
24,Belarus,59945,458,362,5,40136,1448,19447,89,6344,38,901904,95446,9449373,Europe,158,26103,10
25,Egypt,58141,-1,2365,-1,15535,-1,40241,41,568,23,135000,1320,102284138,Africa,1759,43249,758
26,Ecuador,51643,-1,4274,-1,24991,-1,22378,273,2928,242,139333,7900,17636598,South America,342,4126,127
27,Netherlands,49804,82,6097,2,-1,-1,-1,48,2907,356,561863,32792,17134211,Europe,344,2810,30
28,Indonesia,49009,1113,2573,38,19658,417,26778,-1,179,9,689452,2521,273460863,Asia,5580,106281,397
29,Argentina,47216,13,1085,7,13816,240,32315,353,1045,24,300345,6647,45187075,South America,957,41647,150
30,UAE,46133,450,307,2,34405,702,11421,1,4666,31,3038000,307250,9887716,Asia,214,32208,3
31,Singapore,42623,191,26,-1,36299,304,6298,1,7287,4,684359,116996,5849408,Asia,137,224977,9
32,Kuwait,41879,846,337,3,32809,505,8733,153,9810,79,365224,85551,4269062,Asia,102,12668,12
33,Portugal,40104,367,1543,3,26083,254,12478,73,3933,151,1102066,108076,10197152,Europe,254,6609,9
34,Ukraine,39014,940,1051,16,17409,453,20554,367,892,24,594002,13581,43737278,Europe,1121,41615,74
