index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,4627556,59519,154992,1152,2276208,31164,2196356,18859,13974,468,57418705,173389,331155784,North America,72,2137,6
2,Brazil,2610102,54584,91263,1075,1824095,36676,694744,8318,12273,429,12601096,59250,212677716,South America,81,2330,17
3,India,1639350,54966,35786,783,1059093,37482,544471,8944,1187,26,18190382,13171,1381048674,Asia,842,38592,76
4,Russia,834499,5509,13802,129,629655,9322,191042,2300,5718,95,27569646,188911,145939561,Europe,175,10574,5
5,South Africa,482169,11046,7812,315,309601,11634,164756,539,8122,132,2918049,49154,59365223,Africa,123,7599,20
6,Mexico,408449,5752,45361,485,267147,5690,95941,3922,3165,352,953514,7389,129036569,North America,316,2845,135
7,Peru,400683,-1,18816,-1,280044,-1,101823,1427,12140,570,2293612,69490,33006277,South America,82,1754,14
8,Chile,351575,-1,9377,99,326628,2071,15570,1529,18379,490,1601118,83701,19128931,South America,54,2040,12
9,Spain,332510,2789,28443,2,-1,-1,-1,617,7112,608,6678414,142835,46756254,Europe,141,1644,7
10,UK,302301,846,45999,38,-1,-1,-1,87,4451,677,15738735,231744,67914250,Europe,225,1476,4
11,Iran,301530,2621,16569,226,261200,2084,23761,4041,3586,197,2431804,28925,84074125,Asia,279,5074,35
12,Colombia,286020,9965,9810,356,148695,5918,127515,1493,5617,193,1537689,30196,50924415,South America,178,5191,33
13,Pakistan,277402,1114,5924,32,246131,1248,25347,1179,1254,27,1952730,8828,221201945,Asia,797,37340,113
14,Saudi Arabia,274219,1629,2842,26,231198,2629,40179,2044,7868,82,3289692,94385,34854060,Asia,127,12264,11
15,Italy,247158,382,35132,3,199796,765,12230,47,4088,581,6752169,111690,60454503,Europe,245,1721,9
16,Bangladesh,234889,2695,3083,48,132960,2668,98846,1,1425,19,1164195,7064,164815565,Asia,702,53459,142
17,Turkey,229891,967,5674,15,213539,982,10678,1280,2724,67,4754331,56325,84408505,Asia,367,14876,18
18,Germany,209601,790,9221,9,192000,-1,8380,261,2501,110,8006135,95532,83805419,Europe,400,9089,10
19,France,186573,1377,30254,16,81500,189,74819,380,2858,463,2982302,45681,65285158,Europe,350,2158,22
20,Argentina,185373,6377,3441,153,80596,2741,101336,1002,4099,76,690823,15274,45227828,South America,244,13144,65
21,Iraq,121263,2963,4671,68,85546,2085,31046,446,3010,116,983335,24409,40286249,Asia,332,8625,41
22,Canada,115799,329,8929,12,100862,397,6008,2237,3066,236,3899192,103241,37767796,North America,326,4230,10
23,Qatar,110460,307,171,2,107135,286,3154,91,39340,61,492569,175428,2807805,Asia,25,16420,6
24,Indonesia,106336,1904,5058,83,64292,2154,36986,-1,388,18,1477629,5398,273745183,Asia,2574,54121,185
