index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,5027224,53656,162689,1088,2569431,29294,2295104,18437,15179,491,63068867,190429,331192837,North America,66,2036,5
2,Brazil,2917562,54801,98644,1226,2047660,27023,771258,8318,13716,464,13329028,62664,212706570,South America,73,2156,16
3,India,2025409,62170,41638,899,1377384,50184,606387,8944,1466,30,22149351,16035,1381307956,Asia,682,33174,62
4,Russia,871894,5267,14606,116,676357,7331,180931,2300,5974,100,29716907,203623,145940753,Europe,167,9992,5
5,South Africa,538184,8307,9604,306,387316,10050,141264,539,9063,162,3149807,53045,59379523,Africa,110,6183,19
6,Mexico,456100,6139,49698,829,304708,4454,101694,3951,3534,385,1041860,8073,129062461,North America,283,2597,124
7,Peru,447624,-1,20228,-1,306430,-1,120966,1419,13558,613,2466745,74716,33015064,South America,74,1632,13
8,Chile,366671,1948,9889,97,340168,1877,16614,1358,19165,517,1760615,92024,19132066,South America,52,1935,11
9,Colombia,357710,11996,11939,315,192355,6038,153416,1493,7023,234,1801835,35375,50934781,South America,142,4266,28
10,Spain,354530,1683,28500,1,-1,-1,-1,617,7582,610,7064329,151087,46756599,Europe,132,1641,7
11,Iran,320117,2634,17976,174,277463,2531,24678,4156,3807,214,2612763,31069,84094686,Asia,263,4678,32
12,UK,308134,950,46413,49,-1,-1,-1,73,4537,683,17515234,257876,67921056,Europe,220,1463,4
13,Saudi Arabia,284226,1402,3055,35,247089,1775,34082,1915,8152,88,3635705,104281,34864436,Asia,123,11412,10
14,Pakistan,281863,727,6035,21,256058,1772,19770,809,1274,27,2058872,9304,221284113,Asia,785,36667,107
15,Bangladesh,249651,2977,3306,39,143824,2074,102521,-1,1514,20,1225124,7432,164846922,Asia,660,49863,135
16,Italy,249204,401,35187,6,201323,347,12694,42,4122,582,7099713,117442,60452810,Europe,243,1718,9
17,Turkey,237265,1153,5798,14,220546,1040,10921,580,2810,69,5081802,60192,84425853,Asia,356,14561,17
18,Argentina,220682,-1,4135,29,99852,2904,116695,1150,4878,91,794544,17565,45235752,South America,205,10940,57
19,Germany,215210,1106,9252,7,196200,1500,9758,236,2568,110,8586648,102453,83810530,Europe,389,9059,10
20,France,195633,1604,30312,7,82460,142,82861,384,2996,464,3992206,61148,65287912,Europe,334,2154,16
21,Iraq,140603,3047,5161,67,101025,2583,34417,517,3489,128,1092741,27113,40303553,Asia,287,7809,37
22,Philippines,119460,3561,2150,28,66837,569,50473,239,1089,20,1669996,15221,109718734,Asia,918,51032,66
23,Indonesia,118753,1882,5521,69,75645,1756,37587,-1,434,20,1633156,5965,273800467,Asia,2306,49593,168
24,Canada,118514,327,8966,4,103077,289,6471,2263,3137,237,4272606,113109,37774118,North America,319,4213,9
25,Qatar,112092,287,178,-1,108831,292,3083,77,39922,63,511000,181993,2807805,Asia,25,15774,5
26,Kazakhstan,95942,1060,1058,-1,68871,1840,26013,221,5104,56,2163713,115103,18798053,Asia,196,17768,9
27,Egypt,95006,131,4951,21,48898,1716,41157,41,927,48,135000,1317,102511243,Africa,1079,20705,759
28,Ecuador,90537,1671,5877,30,71318,150,13342,378,5124,333,258582,14636,17668092,South America,195,3006,68
29,Bolivia,85141,1780,3385,65,26437,1047,55319,71,7284,290,181985,15570,11688023,South America,137,3453,64
