Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1321785,-1,78615,-1,223603,1019567,16978,3993,238,8636435,26092,North America
Spain,260117,-1,26299,-1,168408,65410,2075,5563,562,1932455,41332,Europe
Italy,217185,-1,30201,-1,99023,87961,1168,3592,500,2445063,40440,Europe
UK,211364,-1,31241,-1,-1,179779,1559,3114,460,1631561,24034,Europe
Russia,187859,-1,1723,-1,26608,159528,2300,1287,12,4980000,34125,Europe
France,176079,-1,26230,-1,55782,94067,2868,2698,402,1384633,21213,Europe
Germany,170588,-1,7510,-1,141700,21378,1712,2036,90,2755770,32891,Europe
Brazil,146894,1002,10017,25,59297,77580,8318,691,47,339552,1597,South America
Turkey,135569,-1,3689,-1,86396,45484,1219,1607,44,1298806,15400,Asia
Iran,104691,-1,6541,-1,83837,14313,2711,1246,78,558899,6654,Asia
Canada,66434,-1,4569,-1,30406,31459,502,1760,121,1032088,27346,North America
Peru,61847,-1,1714,-1,19012,41121,730,1876,52,473190,14351,South America
India,59695,-1,1985,-1,17887,39823,-1,43,1,1437788,1042,Asia
Belgium,52011,-1,8521,-1,13201,30289,508,4488,735,515233,44456,Europe
Netherlands,42093,-1,5359,-1,-1,36484,564,2457,313,249655,14570,Europe
Saudi Arabia,35432,-1,229,-1,9120,26083,141,1018,7,418722,12027,Asia
Mexico,31522,1906,3160,199,20314,8048,378,244,25,123446,957,North America
Switzerland,30207,-1,1823,-1,26100,2284,101,3490,211,301675,34857,Europe
Ecuador,28818,-1,1704,-1,3433,23681,156,1633,97,82312,4665,South America
Portugal,27268,-1,1114,-1,2422,23732,127,2674,109,501718,49204,Europe
Pakistan,26435,-1,599,-1,7530,18306,111,120,3,257247,1165,Asia
Chile,25972,-1,294,-1,12160,13518,508,1359,15,255961,13390,South America
Sweden,25265,-1,3175,-1,4971,17119,425,2502,314,148500,14704,Europe
Ireland,22541,-1,1429,-1,17110,4002,76,4565,289,214761,43493,Europe
Singapore,21707,-1,20,-1,2040,19647,22,3710,3,175604,30016,Asia
Belarus,21101,-1,121,-1,5484,15496,92,2233,13,240146,25414,Europe
Qatar,20201,-1,12,-1,2370,17819,72,7012,4,120458,41810,Asia
UAE,16793,-1,174,-1,3837,12782,1,1698,18,1200000,121330,Asia
Israel,16436,-1,245,-1,11229,4962,78,1899,28,442925,51172,Asia
Austria,15774,-1,614,-1,13836,1324,81,1751,68,304069,33761,Europe
Japan,15575,-1,590,-1,5146,9839,300,123,5,202013,1597,Asia
Poland,15366,-1,776,-1,5184,9406,160,406,21,443506,11719,Europe
Romania,14811,-1,923,-1,6423,7465,232,770,48,237280,12334,Europe
Ukraine,14195,-1,361,-1,2706,11128,178,325,8,159155,3639,Europe
