index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,4914648,50732,160135,1207,2475859,29061,2278654,18702,14840,484,61534821,185803,331182250,North America,67,2068,5
2,Brazil,2801921,50256,95819,1117,1970767,58448,735335,8318,13173,450,13196132,62042,212698326,South America,76,2220,16
3,India,1906613,51282,39820,849,1281660,51220,585133,8944,1380,29,20864750,15106,1381233876,Asia,724,34687,66
4,Russia,861423,5159,14351,144,661471,7878,185601,2300,5903,98,29201862,200094,145940412,Europe,169,10169,5
5,South Africa,521318,4456,8884,345,363751,5714,148683,539,8780,150,3078202,51843,59375438,Africa,114,6683,19
6,Mexico,443813,4767,48012,266,295677,6283,100124,3883,3439,372,1011050,7834,129055063,North America,291,2688,128
7,Peru,433100,-1,19811,-1,298091,-1,115198,1419,13119,600,2417857,73241,33012553,South America,76,1666,14
8,Chile,362962,1469,9745,38,336330,2354,16887,1405,18972,509,1716415,89718,19131170,South America,53,1963,11
9,Spain,349894,5760,28498,26,-1,-1,-1,617,7483,609,7064329,151088,46756500,Europe,134,1641,7
10,Colombia,334979,7129,11315,298,180258,6531,143406,1493,6577,222,1723508,33840,50931819,South America,152,4501,30
11,Iran,314786,2751,17617,212,272535,2307,24634,4132,3743,210,2560374,30448,84088811,Asia,267,4773,33
12,UK,306293,670,46299,89,-1,-1,-1,77,4510,682,16942992,249458,67919112,Europe,222,1467,4
13,Saudi Arabia,281456,1363,2984,35,243713,1659,34759,1983,8074,86,3528040,101202,34861472,Asia,124,11683,10
14,Pakistan,280461,432,5999,15,249397,524,25065,1013,1268,27,2031955,9184,221260636,Asia,789,36883,109
15,Italy,248419,190,35171,5,200766,177,12482,41,4109,582,6984589,115537,60453293,Europe,243,1719,9
16,Bangladesh,244020,1918,3234,50,139860,1955,100926,-1,1480,20,1201256,7287,164837963,Asia,676,50970,137
