index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,1981012,15304,111864,474,739724,1078,1129424,17011,5987,338,20581499,62204,330869944,North America,167,2958,16
2,Brazil,651980,5974,35211,164,302084,13432,314685,8318,3069,166,999836,4706,212455128,South America,326,6034,212
3,Russia,458689,8855,5725,197,221388,8708,231576,2300,3143,39,12388968,84896,145930359,Europe,318,25490,12
4,Spain,288390,332,27135,1,-1,-1,-1,617,6168,580,4063843,86920,46753591,Europe,162,1723,12
5,UK,284868,1557,40465,204,-1,-1,-1,604,4198,596,5438712,80144,67861743,Europe,238,1677,12
6,India,246530,10346,6946,297,118592,5359,120992,8944,179,5,4524317,3281,1379048498,Asia,5594,198539,305
7,Italy,234801,270,33846,72,165078,1297,35877,293,3883,560,4187057,69245,60467569,Europe,258,1787,14
8,Peru,191758,4358,5301,139,82731,3517,103726,1062,5822,161,1173003,35612,32938493,South America,172,6214,28
9,Germany,185598,184,8769,6,168900,400,7929,595,2216,105,4348880,51917,83765996,Europe,451,9553,19
10,Iran,169425,2269,8209,75,132038,2297,29178,2578,2019,98,1040289,12397,83915513,Asia,495,10222,81
11,Turkey,169218,878,4669,21,135322,1922,29227,591,2008,55,2303258,27330,84274682,Asia,498,18050,37
12,France,153634,579,29142,31,70806,302,53686,1059,2354,447,1384633,21216,65263909,Europe,425,2240,47
13,Chile,127745,5246,1541,93,95631,-1,30573,1524,6687,81,687510,35986,19104748,South America,150,12398,28
14,Mexico,110026,4346,13170,625,78590,3142,18266,378,854,102,324897,2522,128836832,North America,1171,9783,397
15,Saudi Arabia,98869,3121,676,34,71791,1175,26402,1484,2843,19,933201,26836,34774012,Asia,352,51441,37
16,Canada,95016,681,7773,70,53582,1014,33661,1738,2519,206,1830498,48530,37719025,North America,397,4853,21
17,Pakistan,93983,4734,1935,97,32581,1383,59467,111,426,9,660508,2995,220568077,Asia,2347,113989,334
18,Qatar,67195,1700,51,2,42527,1592,24617,238,23932,18,251391,89533,2807805,Asia,42,55055,11
19,Bangladesh,63026,2635,846,35,13325,521,48855,1,383,5,384851,2338,164573672,Asia,2611,194532,428
20,Belgium,59072,165,9580,14,16190,78,33302,121,5098,827,923820,79734,11586214,Europe,196,1209,13
21,Belarus,47751,883,263,4,23015,949,24473,92,5053,28,609671,64519,9449526,Europe,198,35930,15
22,Netherlands,47335,183,6011,6,-1,-1,-1,97,2763,351,388113,22654,17132352,Europe,362,2850,44
23,Sweden,43887,114,4656,17,-1,-1,-1,198,4347,461,275500,27291,10094947,Europe,230,2168,37
24,South Africa,43434,-1,908,-1,23088,-1,19438,208,733,15,850871,14360,59254905,Africa,1364,65259,70
25,Ecuador,41575,-1,3534,-1,20568,-1,17473,252,2359,201,120845,6857,17623415,South America,424,4987,146
26,UAE,38268,626,275,1,21061,724,16932,1,3873,28,2500000,252989,9881840,Asia,258,35934,4
27,Singapore,37527,344,25,1,24559,350,12943,4,6418,4,408495,69862,5847148,Asia,156,233886,14
28,Colombia,36635,-1,1145,-1,13638,-1,21852,335,721,23,386938,7610,50844444,South America,1388,44406,131
29,Portugal,34351,382,1474,9,20807,281,12070,58,3368,145,873998,85698,10198608,Europe,297,6919,12
30,Egypt,32612,1497,1198,32,8538,380,22876,41,319,12,135000,1321,102189071,Africa,3133,85300,757
31,Kuwait,31131,487,254,10,19282,1005,11595,180,7298,60,311624,73049,4265955,Asia,137,16795,14
32,Switzerland,30956,20,1921,-1,28700,100,335,28,3579,222,419980,48551,8650247,Europe,279,4503,21
33,Indonesia,30514,993,1801,31,9907,464,18806,-1,112,7,394068,1442,273318704,Asia,8957,151759,694
34,Ukraine,26514,550,777,15,11812,440,13925,301,606,18,414542,9475,43750132,Europe,1650,56306,106
35,Poland,25986,576,1153,16,12641,231,12192,160,687,30,1038281,27432,37849296,Europe,1457,32827,36
36,Ireland,25183,20,1678,8,22698,-1,807,36,5104,340,348416,70617,4933861,Europe,196,2940,14
37,Philippines,21340,714,994,7,4441,111,15905,82,195,9,420114,3838,109475626,Asia,5130,110136,261
38,Argentina,21037,-1,642,10,6180,92,14215,274,466,14,189278,4191,45166698,South America,2147,70353,239
39,Romania,20290,187,1318,2,14419,274,4553,153,1054,68,496408,25793,19245644,Europe,949,14602,39
40,Afghanistan,19551,582,320,11,1820,58,17411,19,503,8,45900,1181,38860571,Asia,1988,121439,847
41,Dominican Republic,19195,487,536,11,11919,183,6740,110,1771,49,90141,8315,10840235,North America,565,20224,120
42,Israel,17752,190,295,4,15042,16,2415,29,1930,32,637863,69351,9197590,Asia,518,31178,14
43,Japan,17064,-1,907,-1,14972,-1,1185,98,135,7,307462,2431,126501158,Asia,7413,139472,411
44,Austria,16898,55,672,-1,15789,47,437,17,1877,75,485912,53973,9002889,Europe,533,13397,19
