index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
98,Kenya,1161,52,50,-1,380,731,1,22,0.9,55074,1027,53631400,Africa
99,Guinea-Bissau,1109,-1,6,-1,42,1061,-1,565,3,1500,764,1962465,Africa
100,Lebanon,1086,62,26,-1,663,397,3,159,4,69610,10194,6828619,Asia
101,Sri Lanka,1068,20,9,-1,620,439,1,50,0.4,49124,2295,21403517,Asia
102,Hong Kong,1066,2,4,-1,1029,33,1,142,0.5,168291,22468,7490261,Asia
103,Tunisia,1046,-1,47,-1,883,116,3,89,4,45308,3838,11804800,Africa
104,Latvia,1030,5,22,-1,712,296,2,545,12,96366,51033,1888294,Europe
105,Albania,981,12,31,-1,777,173,3,341,11,12933,4494,2878129,Europe
106,Equatorial Guinea,960,57,11,1,165,784,-1,687,8,854,611,1397254,Africa
107,Mali,947,-1,60,-1,558,329,-1,47,3,3483,173,20179688,Africa
108,Cyprus,927,4,17,-1,561,349,10,768,14,95349,79036,1206392,Asia
109,Niger,924,-1,60,-1,753,111,-1,38,2,5949,247,24095961,Africa
110,Zambia,920,54,7,-1,336,577,1,50,0.4,20011,1092,18321393,Africa
111,Costa Rica,911,8,10,-1,600,301,4,179,2,22554,4432,5088953,North America
112,Venezuela,882,-1,10,-1,262,610,2,31,0.4,697691,24528,28444376,South America
113,Paraguay,838,2,11,-1,264,563,-1,118,2,21987,3087,7122661,South America
114,Burkina Faso,814,2,52,-1,672,90,-1,39,2,-1,-1,20833816,Africa
115,Andorra,762,-1,51,-1,652,59,3,9864,660,3750,48542,77252,Europe
116,Uruguay,749,-1,20,-1,594,135,4,216,6,36537,10522,3472430,South America
117,Haiti,734,71,25,3,21,688,-1,64,2,2519,221,11386865,North America
118,Georgia,723,2,12,-1,495,216,6,181,3,45707,11455,3989972,Asia
119,Diamond Princess,712,-1,13,-1,651,48,4,-1,-1,-1,-1,-1,
120,Jordan,700,16,9,-1,461,230,5,69,0.9,159320,15632,10191845,Asia
121,San Marino,661,3,41,-1,254,366,1,19485,1209,3873,114170,33923,Europe
122,Chad,611,23,58,-1,196,357,-1,37,4,-1,-1,16368402,Africa
123,Sierra Leone,606,21,38,3,230,338,-1,76,5,-1,-1,7957977,Africa
124,Malta,600,1,6,-1,469,125,1,1359,14,57784,130906,441416,Europe
125,Channel Islands,558,-1,45,-1,508,5,-1,3213,259,5342,30757,173685,Europe
126,Jamaica,534,5,9,-1,181,344,-1,180,3,9178,3101,2959765,North America
127,Nepal,516,59,3,-1,70,443,1,18,0.1,124604,4285,29076092,Asia
128,Tanzania,509,-1,21,-1,183,305,7,9,0.4,-1,-1,59527001,Africa
129,South Sudan,481,-1,4,-1,4,473,-1,43,0.4,3356,300,11178970,Africa
130,CAR,479,43,-1,-1,18,461,-1,99,-1,11570,2400,4820066,Africa
131,Congo,469,-1,16,-1,137,316,-1,85,3,-1,-1,5501846,Africa
132,Réunion,449,-1,1,-1,411,37,2,502,1,17200,19226,894609,Africa
