index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
1,USA,1787926,19465,104348,1018,503994,1179584,17252,5404,315,16757263,50653,330827597,North America
2,Brazil,450079,11267,27276,512,193181,229622,8318,2119,128,871839,4104,212422152,South America
3,Russia,387623,8572,4374,232,159257,223992,2300,2656,30,10000061,68527,145928996,Europe
4,Spain,285644,658,27121,2,196958,61565,617,6110,580,3556567,76071,46753197,Europe
5,UK,271222,2095,38161,324,-1,-1,1559,3997,562,4043686,59594,67853964,Europe
6,Italy,232248,516,33229,87,152844,46175,475,3841,550,3755279,62102,60469504,Europe
7,France,186835,597,28714,52,67803,90318,1361,2863,440,1384633,21217,65260761,Europe
8,Germany,183019,567,8594,24,164100,10325,729,2185,103,3952971,47194,83760156,Europe
9,India,173491,8105,4980,269,82627,85884,8944,126,4,3483838,2527,1378752175,Asia
10,Turkey,162120,1141,4489,28,125963,31668,662,1924,53,1964364,23315,84254857,Asia
11,Iran,146668,2819,7677,50,114931,24060,2547,1748,92,896571,10687,83892015,Asia
12,Peru,141779,-1,4099,-1,59442,78238,926,4306,124,928797,28207,32928451,South America
13,Chile,90638,3695,944,54,38598,51096,1350,4745,49,546506,28611,19101165,South America
14,Canada,89390,878,6979,102,47443,34968,1613,2370,185,1593377,42251,37711800,North America
15,Saudi Arabia,81766,1581,458,17,57013,24295,384,2352,13,787465,22653,34762153,Asia
16,Mexico,81400,3377,9044,447,56638,15718,378,632,70,244858,1901,128807241,North America
17,Pakistan,64028,2801,1317,57,22305,40406,111,290,6,520017,2359,220474171,Asia
18,Belgium,58061,212,9430,42,15682,32949,187,5012,814,836879,72237,11585114,Europe
19,Qatar,52907,1993,36,3,20604,32267,216,18394,13,212897,74016,2876377,Asia
20,Netherlands,46126,176,5931,28,-1,-1,180,2692,346,348256,20328,17131525,Europe
21,Bangladesh,42844,2523,582,23,9015,33247,1,260,4,287067,1745,164537836,Asia
22,Belarus,40764,906,224,5,17390,23150,92,4314,24,512418,54226,9449593,Europe
23,Ecuador,38571,100,3334,21,19190,16047,220,2189,189,113808,6460,17617555,South America
24,Sweden,36476,749,4350,84,4971,27155,289,3614,431,238800,23659,10093573,Europe
25,Singapore,33860,611,23,-1,19631,14206,8,5792,4,334691,57250,5846144,Asia
26,UAE,33170,638,260,2,17097,15813,1,3358,26,2110493,213629,9879229,Asia
27,Portugal,31946,350,1383,14,18911,11652,66,3132,136,795838,78029,10199255,Europe
