index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,5241900,42456,166067,450,2687608,22907,2388225,17791,15826,501,66073676,199489,331214010,North America,63,1994,5
2,Brazil,3057470,21888,101752,616,2118460,-1,837258,8318,14373,478,13231548,62201,212723058,South America,70,2091,16
3,India,2267153,53016,45353,887,1581640,47362,640160,8944,1641,33,24583558,17795,1381456118,Asia,609,30460,56
4,Russia,892654,5118,15001,70,696681,3259,180972,2300,6117,103,30800000,211044,145941435,Europe,163,9729,5
5,South Africa,563598,3739,10621,213,417200,5726,135777,539,9490,179,3267494,55020,59387695,Africa,105,5592,18
6,Mexico,480278,4376,52298,292,322465,3827,105515,3708,3721,405,1091695,8458,129077256,North America,269,2468,118
7,Peru,478024,-1,21072,-1,324020,-1,132932,1488,14477,638,2573691,77943,33020085,South America,69,1567,13
8,Colombia,397623,10142,13154,312,221485,8797,162984,1493,7806,258,1942730,38137,50940705,South America,128,3873,26
9,Chile,375044,1988,10139,62,347342,1516,17563,1276,19601,530,1867367,97595,19133857,South America,51,1887,10
10,Spain,370060,2873,28576,73,-1,-1,-1,617,7915,611,7472031,159806,46756796,Europe,126,1636,6
11,Iran,328844,2132,18616,189,286642,2271,23586,3992,3910,221,2711817,32243,84106435,Asia,256,4518,31
12,UK,311641,816,46526,21,-1,-1,-1,67,4588,685,18605095,273907,67924946,Europe,218,1460,4
13,Saudi Arabia,289947,1257,3199,32,253478,1439,33270,1824,8315,92,3872599,111057,34870366,Asia,120,10900,9
14,Pakistan,284660,539,6097,15,260764,516,17799,776,1286,28,2147584,9703,221331066,Asia,778,36302,103
15,Bangladesh,260507,2907,3438,39,150437,2067,106632,-1,1580,21,1273168,7722,164864840,Asia,633,47954,129
16,Italy,250825,259,35209,4,202248,150,13368,46,4149,582,7276276,120365,60451842,Europe,241,1717,8
17,Argentina,246499,-1,4634,28,108242,-1,133623,1565,5449,102,856055,18922,45240280,South America,184,9763,53
18,Turkey,241997,1193,5858,14,224970,1211,11169,603,2866,69,5326035,63078,84435766,Asia,349,14414,16
19,Germany,218500,1219,9265,5,197900,500,11335,236,2607,111,8586648,102450,83813450,Europe,384,9046,10
20,France,202775,785,30340,14,82836,-1,89599,383,3106,465,4279588,65548,65289486,Europe,322,2152,15
21,Iraq,153599,3484,5464,72,109790,2015,38345,544,3810,136,1165049,28900,40313441,Asia,262,7378,35
22,Philippines,136638,6958,2294,24,68159,629,66185,239,1245,21,1793079,16340,109734675,Asia,803,47836,61
23,Indonesia,127083,1687,5765,42,82236,1284,39082,-1,464,21,1731634,6324,273832058,Asia,2155,47499,158
24,Canada,119744,293,8982,1,105996,2268,4766,2281,3170,238,4447810,117736,37777731,North America,315,4206,8
25,Qatar,113262,315,188,4,109993,284,3081,75,40338,67,524466,186789,2807805,Asia,25,14935,5
26,Kazakhstan,99442,741,1058,-1,72523,250,25861,221,5289,56,2183308,116130,18800507,Asia,189,17770,9
27,Egypt,95666,174,5035,26,53779,1101,36852,41,933,49,135000,1317,102532370,Africa,1072,20364,759
28,Ecuador,94701,242,5932,10,78608,56,10161,369,5359,336,267795,15154,17671021,South America,187,2979,66
29,Bolivia,89999,944,3640,53,29808,904,56551,71,7699,311,190924,16333,11689764,South America,130,3211,61
30,Israel,84722,1720,613,13,58998,1465,25111,388,9211,67,1872453,203581,9197590,Asia,109,15004,5
31,Sweden,82972,-1,5766,5,-1,-1,-1,34,8210,571,863315,85425,10106111,Europe,122,1753,12
32,Ukraine,81957,1008,1922,25,44359,387,35676,127,1875,44,1179434,26987,43703716,Europe,533,22739,37
33,Oman,81787,207,521,8,76124,1433,5142,172,15976,102,309212,60399,5119514,Asia,63,9826,17
