index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,4700873,65888,156701,1416,2320172,35207,2224000,18783,14195,473,58417501,176402,331161077,North America,70,2113,6
2,Brazil,2662485,48696,92475,1098,1884051,59956,685959,8318,12519,435,12601096,59249,212681838,South America,80,2300,17
3,India,1696780,57430,36551,765,1095647,36554,564582,8944,1229,26,18832970,13636,1381085714,Asia,814,37785,73
4,Russia,839981,5482,13963,161,638410,8755,187608,2300,5756,96,28161461,192966,145939731,Europe,174,10452,5
5,South Africa,493183,11014,8005,193,326171,16570,159007,539,8307,135,2959535,49851,59367266,Africa,120,7416,20
6,Mexico,416179,7730,46000,639,272187,5040,97992,3922,3225,356,968536,7506,129040268,North America,310,2805,133
7,Peru,407492,-1,19021,-1,283915,-1,104556,1421,12345,576,2318254,70234,33007532,South America,81,1735,14
8,Chile,355667,2131,9457,80,328327,1699,17883,1445,18593,494,1623992,84895,19129379,South America,54,2023,12
9,Spain,335602,3092,28445,2,-1,-1,-1,617,7178,608,6678414,142835,46756303,Europe,139,1644,7
10,Iran,304204,2674,16766,197,263519,2319,23919,4021,3618,199,2456909,29222,84077062,Asia,276,5015,34
11,UK,303181,880,46119,120,-1,-1,-1,84,4464,679,16019907,235881,67915222,Europe,224,1473,4
12,Colombia,295508,9488,10105,295,154387,5692,131016,1493,5803,198,1573679,30901,50925896,South America,172,5040,32
13,Pakistan,278305,903,5951,27,247177,1046,25177,1146,1258,27,1973237,8920,221213683,Asia,795,37173,112
14,Saudi Arabia,275905,1686,2866,24,235658,4460,37381,2033,7916,82,3350541,96126,34855542,Asia,126,12162,10
15,Italy,247537,379,35141,9,199974,178,12422,41,4095,581,6820613,112823,60454261,Europe,244,1720,9
16,Bangladesh,237661,2772,3111,28,135136,2176,99414,1,1442,19,1176809,7140,164820045,Asia,694,52980,140
17,Turkey,230873,982,5691,17,214535,996,10647,582,2735,67,4800823,56874,84410984,Asia,366,14832,18
18,Germany,210665,1012,9224,3,192300,300,9141,261,2514,110,8006135,95532,83806150,Europe,398,9086,10
19,France,187919,1346,30265,11,81500,-1,76154,371,2878,464,2982302,45681,65285551,Europe,347,2157,22
20,Argentina,185373,-1,3466,25,83780,3184,98127,1002,4099,77,707508,15643,45228960,South America,244,13049,64
21,Iraq,124609,3346,4741,70,87434,1888,32434,454,3093,118,1000969,24845,40288721,Asia,323,8498,40
22,Canada,116116,317,8933,4,101030,168,6153,2240,3074,237,3996625,105818,37768699,North America,325,4228,9
23,Qatar,110695,235,174,3,107377,242,3144,77,39424,62,495377,176429,2807805,Asia,25,16137,6
24,Indonesia,108376,2040,5131,73,65907,1615,37338,-1,396,19,1506191,5502,273753080,Asia,2526,53353,182
25,Egypt,94078,321,4805,31,39638,1402,49635,41,918,47,135000,1317,102479554,Africa,1089,21328,759
26,Philippines,93354,4063,2023,40,65178,156,26153,351,851,18,1497313,13650,109694822,Asia,1175,54224,73
27,Kazakhstan,89078,1414,793,-1,59517,1702,28768,221,4740,42,2079540,110647,18794372,Asia,211,23700,9
28,Ecuador,85355,985,5702,45,36044,220,43609,350,4832,323,242253,13715,17663697,South America,207,3098,73
29,Sweden,80422,45,5743,9,-1,-1,-1,40,7959,568,810356,80198,10104394,Europe,126,1759,12
30,Oman,79159,-1,421,-1,61421,-1,17317,187,15473,82,305651,59745,5115955,Asia,65,12152,17
31,Bolivia,75234,1700,2894,86,23305,799,49035,71,6438,248,161929,13857,11685413,South America,155,4038,72
32,Israel,70970,934,512,12,43850,361,26608,320,7716,56,1651766,179587,9197590,Asia,130,17964,6
