index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3,
57,Moldova,8548,188,307,2,4738,116,3503,255,2119,76,57003,14128,4034667,Europe,472,13142,71,
58,Norway,8452,6,237,1,7727,-1,488,9,1560,44,250968,46323,5417837,Europe,641,22860,22,
59,Ghana,8297,227,38,2,2986,39,5273,3,268,1,218425,7042,31016284,Africa,3738,816218,142,
60,Malaysia,7877,20,115,-1,6470,66,1292,6,244,4,560738,17343,32331595,Asia,4105,281144,58,
61,Morocco,7866,33,206,1,6410,517,1250,13,213,6,234651,6364,36874488,Africa,4688,179002,157,
62,Iraq,7387,519,235,20,3508,233,3644,46,184,6,238251,5935,40142869,Asia,5434,170821,168,
63,Australia,7221,17,102,-1,6626,7,493,4,283,4,1494692,58672,25475529,Australia/Oceania,3528,249760,17,
64,Finland,6887,2,320,2,5500,-1,1067,9,1243,58,190800,34440,5540057,Europe,804,17313,29,
65,Cameroon,6585,188,200,1,3676,47,2709,28,249,8,-1,-1,26486666,Africa,4022,132433,,
66,Azerbaijan,5935,273,71,3,3564,56,2300,42,586,7,309901,30587,10131780,Asia,1707,142701,33,
67,Honduras,5362,160,217,5,549,12,4596,13,542,22,14790,1495,9891275,North America,1845,45582,669,
68,Guatemala,5336,249,116,8,795,60,4425,5,298,6,31427,1757,17887052,North America,3352,154199,569,
69,Sudan,5173,-1,298,-1,1522,-1,3353,-1,118,7,401,9,43758425,Africa,8459,146840,109,123
70,Tajikistan,4100,87,47,-1,2217,128,1836,-1,431,5,-1,-1,9518744,Asia,2322,202526,,
71,Luxembourg,4020,1,110,-1,3848,3,62,4,6431,176,78026,124819,625114,Europe,156,5683,8,
72,Hungary,3921,29,532,5,2160,4,1229,24,406,55,189969,19661,9662189,Europe,2464,18162,51,
73,Guinea,3886,42,23,-1,2267,132,1596,24,297,2,14407,1100,13100435,Africa,3371,569584,909,
74,Senegal,3836,97,43,1,1954,96,1839,14,230,3,44949,2691,16704036,Africa,4355,388466,372,
75,Djibouti,3779,210,25,1,1607,86,2147,-1,3830,25,30394,30801,986795,Africa,261,39472,32,
76,Uzbekistan,3760,58,15,-1,2908,49,837,11,112,0.4,460000,13761,33428522,Asia,8891,2228568,73,
77,DRC,3326,131,72,-1,482,28,2772,-1,37,0.8,-1,-1,89308966,Africa,26852,1240402,,
78,Thailand,3083,1,58,1,2966,1,59,1,44,0.8,420529,6026,69786399,Asia,22636,1203214,166,
79,Ivory Coast,3024,73,33,-1,1501,34,1490,-1,115,1,28120,1068,26319804,Africa,8704,797570,936,
80,Greece,2937,19,179,-1,1374,-1,1384,11,282,17,185590,17799,10426808,Europe,3550,58250,56,
81,Gabon,2655,-1,17,-1,722,-1,1916,15,1195,8,14122,6358,2221067,Africa,837,130651,157,
82,El Salvador,2653,71,46,-1,1116,53,1491,53,409,7,94272,14540,6483624,North America,2444,140948,69,
83,Bulgaria,2538,19,144,4,1123,33,1271,17,365,21,82914,11926,6952233,Europe,2739,48279,84,
84,Bosnia and Herzegovina,2535,11,157,3,1910,22,468,4,772,48,66722,20328,3282310,Europe,1295,20906,49,
85,North Macedonia,2391,76,141,1,1595,26,655,21,1148,68,31187,14969,2083381,Europe,871,14776,67,
86,Croatia,2246,-1,103,-1,2088,11,55,4,547,25,67297,16385,4107117,Europe,1829,39875,61,
87,Haiti,2226,102,45,1,24,-1,2157,-1,195,4,5270,463,11391042,North America,5117,253134,2,161
88,Nepal,2099,288,8,-1,266,45,1825,-1,72,0.3,191688,6589,29091863,Asia,13860,3636483,152,
89,Kenya,2093,72,71,2,499,17,1523,7,39,1,80054,1492,53667080,Africa,25641,755874,670,
90,Cuba,2092,9,83,-1,1827,1,182,4,185,7,108389,9569,11327141,North America,5415,136472,105,
91,Somalia,2089,66,79,-1,361,-1,1649,2,132,5,-1,-1,15852747,Africa,7589,200668,,
92,Mayotte,1986,52,24,-1,1473,-1,489,10,7295,88,5200,19102,272228,Africa,137,11343,52,
93,Estonia,1870,-1,68,-1,1632,7,170,-1,1410,51,85175,64212,1326467,Europe,709,19507,16,
94,Kyrgyzstan,1845,28,17,1,1219,38,609,4,283,3,114353,17552,6515051,Asia,3531,383238,57,
95,Maldives,1841,12,7,1,608,120,1226,9,3411,13,11775,21817,539729,Asia,293,77104,46,
96,Iceland,1806,-1,10,-1,1794,-1,2,-1,5295,29,61138,179255,341067,Europe,189,34107,6,
97,Sri Lanka,1683,40,11,-1,823,12,849,1,79,0.5,66421,3103,21406209,Asia,12719,1946019,322,
98,Lithuania,1682,4,71,1,1249,13,362,17,617,26,309725,113664,2724919,Europe,1620,38379,9,
99,Venezuela,1662,-1,17,-1,302,-1,1343,3,58,0.6,975825,34309,28441965,South America,17113,1673057,29,
100,Slovakia,1522,-1,28,-1,1372,4,122,-1,279,5,179293,32841,5459440,Europe,3587,194980,30,
101,New Zealand,1504,-1,22,-1,1481,-1,1,-1,301,4,282263,56429,5002100,Australia/Oceania,3326,227368,18,
102,Slovenia,1475,2,109,-1,1358,-1,8,1,710,52,81066,38994,2078916,Europe,1409,19073,26,
103,Mali,1351,36,78,-1,769,25,504,-1,67,4,3483,172,20197289,Africa,14950,258940,5,799
104,Ethiopia,1344,87,14,2,231,14,1099,8,12,0.1,116309,1014,114708673,Africa,85349,8193477,986,
105,Guinea-Bissau,1339,-1,8,-1,53,-1,1278,-1,682,4,1500,764,1963867,Africa,1467,245483,1,309
106,Equatorial Guinea,1306,-1,12,-1,200,-1,1094,-1,934,9,8268,5911,1398647,Africa,1071,116554,169,
107,Lebanon,1242,9,27,-1,719,4,496,5,182,4,86244,12631,6827705,Asia,5497,252878,79,
108,Albania,1164,21,33,-1,891,14,240,3,404,11,15068,5236,2878035,Europe,2473,87213,191,
109,Nicaragua,1118,359,46,11,370,-1,702,-1,169,7,-1,-1,6618054,North America,5920,143871,,
110,Costa Rica,1105,21,10,-1,682,6,413,5,217,2,27318,5367,5090350,North America,4607,509035,186,
111,Hong Kong,1094,6,4,-1,1038,1,52,2,146,0.5,202930,27086,7492087,Asia,6848,1873022,37,
112,Zambia,1089,-1,7,-1,912,-1,170,1,59,0.4,28236,1540,18336926,Africa,16838,2619561,649,
113,Tunisia,1086,2,48,-1,965,1,73,1,92,4,52874,4478,11808514,Africa,10873,246011,223,
114,Latvia,1071,5,24,-1,760,15,287,3,567,13,111404,59017,1887671,Europe,1763,78653,17,
115,CAR,1069,-1,4,-1,23,-1,1042,-1,222,0.8,15021,3115,4822593,Africa,4511,1205648,321,
116,Paraguay,1013,18,11,-1,498,10,504,2,142,2,32106,4506,7125294,South America,7034,647754,222,
117,South Sudan,994,-1,10,-1,6,-1,978,-1,89,0.9,3356,300,11182914,Africa,11250,1118291,3,332
118,Niger,960,2,65,-1,848,4,47,-1,40,3,6068,252,24122457,Africa,25128,371115,3,975
119,Cyprus,952,3,17,-1,790,-1,145,4,789,14,117411,97303,1206656,Asia,1267,70980,10,
120,Sierra Leone,896,31,46,-1,480,5,370,-1,113,6,-1,-1,7962861,Africa,8887,173106,,
121,Burkina Faso,881,34,53,-1,720,-1,108,-1,42,3,-1,-1,20851107,Africa,23668,393417,,
122,Madagascar,845,19,6,-1,185,11,654,9,31,0.2,11954,433,27626918,Africa,32695,4604486,2,311
123,Andorra,844,79,51,-1,733,35,60,7,10925,660,3750,48541,77255,Europe,92,1515,21,
124,Uruguay,825,-1,23,-1,689,-1,113,4,238,7,44551,12829,3472791,South America,4209,150991,78,
125,Chad,803,13,66,-1,562,23,175,-1,49,4,-1,-1,16382626,Africa,20402,248222,,
126,Georgia,796,2,13,1,634,10,149,6,200,3,58976,14782,3989743,Asia,5012,306903,68,
127,Jordan,755,9,9,-1,549,14,197,5,74,0.9,198879,19508,10194886,Asia,13503,1132765,51,
128,Diamond Princess,712,-1,13,-1,651,-1,48,4,-1,-1,-1,-1,-1,-1,-1,-1,,
129,San Marino,672,1,42,-1,384,25,246,1,19808,1238,4573,134797,33925,Europe,50,808,7,
130,Mauritania,668,80,31,8,55,28,582,-1,144,7,7654,1650,4638613,Africa,6944,149633,606,
131,Malta,620,1,9,-1,554,17,57,1,1404,20,70693,160137,441452,Europe,712,49050,6,
132,Congo,611,-1,20,-1,179,-1,412,-1,111,4,-1,-1,5505940,Africa,9011,275297,,
133,Jamaica,588,2,9,-1,322,11,257,2,199,3,13191,4456,2960152,North America,5034,328906,224,
134,Channel Islands,560,-1,46,1,528,-1,-14,-1,3223,265,10255,59027,173733,Europe,310,3777,17,
135,French Guiana,517,18,1,-1,207,7,309,3,1735,3,-1,-1,297984,South America,576,297984,,
136,Tanzania,509,-1,21,-1,183,-1,305,7,9,0.4,-1,-1,59578342,Africa,117050,2837064,,
137,Uganda,489,32,-1,-1,82,10,407,-1,11,-1,96825,2123,45606102,Africa,93264,-1,471,
138,Sao Tome and Principe,484,-1,12,-1,68,-1,404,-1,2212,55,175,800,218809,Africa,452,18234,1,250
