Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
Bermuda,99,-1,5,-1,39,55,10,1590,80,949,15238,North America
Togo,96,6,6,-1,62,28,-1,12,0.7,5584,675,Africa
Monaco,94,-1,4,-1,41,49,2,2395,102,-1,-1,Europe
Cabo Verde,90,2,1,-1,1,88,-1,162,2,791,1423,Africa
Zambia,84,-1,3,-1,37,44,1,5,0.2,2586,141,Africa
Sierra Leone,82,-1,2,-1,10,70,-1,10,0.3,-1,-1,Africa
Liechtenstein,81,-1,1,-1,55,25,-1,2124,26,900,23605,Europe
Barbados,77,-1,6,-1,31,40,4,268,21,1327,4618,North America
Uganda,75,-1,-1,-1,46,29,-1,2,-1,18921,414,Africa
Sint Maarten,73,-1,12,-1,22,39,8,1703,280,266,6204,North America
Bahamas,73,-1,11,-1,15,47,1,186,28,-1,-1,North America
Guyana,73,-1,7,-1,12,54,5,93,9,375,477,South America
Haiti,72,-1,6,1,6,60,-1,6,0.5,719,63,North America
Cayman Islands,70,-1,1,-1,8,61,3,1065,15,940,14303,North America
Mozambique,70,5,-1,-1,12,58,-1,2,-1,1575,50,Africa
Libya,61,-1,2,-1,18,41,-1,9,0.3,1461,213,Africa
French Polynesia,57,-1,-1,-1,41,16,1,203,-1,2069,7365,Australia/Oceania
Eswatini,56,20,1,-1,10,45,-1,48,0.9,714,615,Africa
Benin,54,-1,1,-1,27,26,-1,4,0.08,-1,-1,Africa
Guinea-Bissau,52,-1,-1,-1,3,49,-1,26,-1,1500,762,Africa
Nepal,49,-1,-1,-1,12,37,-1,2,-1,49336,1693,Asia
Chad,46,6,-1,-1,15,31,-1,3,-1,-1,-1,Africa
Macao,45,-1,-1,-1,27,18,1,69,-1,-1,-1,Asia
Syria,42,-1,3,-1,11,28,-1,2,0.2,-1,-1,Asia
Eritrea,39,-1,-1,-1,13,26,-1,11,-1,-1,-1,Africa
Saint Martin,38,-1,3,-1,24,11,3,983,78,-1,-1,North America
Mongolia,37,1,-1,-1,9,28,-1,11,-1,7292,2224,Asia
Malawi,33,-1,3,-1,4,26,1,2,0.2,566,30,Africa
Zimbabwe,29,-1,4,-1,2,23,-1,2,0.3,5450,367,Africa
Angola,25,-1,2,-1,6,17,-1,0.8,0.06,-1,-1,Africa
Antigua and Barbuda,24,-1,3,-1,11,10,1,245,31,113,1154,North America
Timor-Leste,24,-1,-1,-1,2,22,-1,18,-1,322,244,Asia
Botswana,22,-1,1,-1,-1,21,-1,9,0.4,5023,2136,Africa
Laos,19,-1,-1,-1,7,12,-1,3,-1,1661,228,Asia
Belize,18,-1,2,-1,5,11,1,45,5,816,2052,North America
Fiji,18,-1,-1,-1,10,8,-1,20,-1,900,1004,Australia/Oceania
New Caledonia,18,-1,-1,-1,17,1,1,63,-1,3952,13842,Australia/Oceania
Curaçao,16,-1,1,-1,11,4,-1,98,6,304,1853,North America
CAR,16,-1,-1,-1,10,6,-1,3,-1,-1,-1,Africa
Dominica,16,-1,-1,-1,10,6,-1,222,-1,383,5320,North America
Namibia,16,-1,-1,-1,7,9,-1,6,-1,675,266,Africa
Grenada,15,-1,-1,-1,7,8,4,133,-1,92,818,North America
Saint Kitts and Nevis,15,-1,-1,-1,2,13,-1,282,-1,260,4887,North America
Saint Lucia,15,-1,-1,-1,15,0,-1,82,-1,364,1982,North America
St. Vincent Grenadines,14,-1,-1,-1,5,9,-1,126,-1,108,973,North America
Falkland Islands,13,1,-1,-1,11,2,-1,3736,-1,353,101437,South America
Nicaragua,12,1,3,-1,7,2,-1,2,0.5,-1,-1,North America
Burundi,11,-1,1,-1,4,6,-1,0.9,0.08,284,24,Africa
Montserrat,11,-1,1,1,2,8,1,2204,200,36,7212,North America
Turks and Caicos,11,-1,1,-1,4,6,-1,284,26,83,2144,North America
Greenland,11,-1,-1,-1,11,0,-1,194,-1,1200,21138,North America
Seychelles,11,-1,-1,-1,6,5,-1,112,-1,-1,-1,Africa
Gambia,10,-1,1,-1,8,1,-1,4,0.4,401,166,Africa
Suriname,10,-1,1,-1,7,2,-1,17,2,404,689,South America
MS Zaandam,9,-1,2,-1,-1,7,-1,-1,-1,-1,-1,
Vatican City,9,-1,-1,-1,2,7,-1,11236,-1,-1,-1,Europe
Papua New Guinea,8,-1,-1,-1,-1,8,-1,0.9,-1,604,68,Australia/Oceania
Mauritania,7,-1,1,-1,6,0,-1,2,0.2,1032,222,Africa
Bhutan,7,-1,-1,-1,3,4,-1,9,-1,8953,11603,Asia
British Virgin Islands,6,1,1,-1,3,2,-1,198,33,-1,-1,North America
St. Barth,6,-1,-1,-1,6,0,-1,607,-1,-1,-1,North America
Western Sahara,6,-1,-1,-1,5,1,-1,10,-1,-1,-1,Africa
Caribbean Netherlands,5,-1,-1,-1,-1,5,-1,191,-1,110,4195,North America
South Sudan,5,-1,-1,-1,-1,5,-1,0.4,-1,-1,-1,Africa
Sao Tome and Principe,4,-1,-1,-1,-1,4,-1,18,-1,19,87,Africa
Anguilla,3,-1,-1,-1,1,2,-1,200,-1,-1,-1,North America
Saint Pierre Miquelon,1,-1,-1,-1,-1,1,-1,173,-1,-1,-1,North America
Yemen,1,-1,-1,-1,1,0,-1,0.03,-1,120,4,Asia
China,82816,12,4632,-1,77346,838,49,58,3,-1,-1,Asia
