index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,5565116,35327,173081,475,2918746,14357,2473289,17229,16801,523,70907189,214062,331245770,North America,60,1914,5
2,Brazil,3340197,22365,107852,555,2432456,28184,799889,8318,15700,507,13464336,63288,212747790,South America,64,1973,16
3,India,2647316,58108,51045,961,1918076,57404,678195,8944,1916,37,29309703,21213,1381678359,Asia,522,27068,47
4,Russia,922853,4969,15685,68,732968,3557,174200,2300,6323,107,32533818,222922,145942457,Europe,158,9305,4
5,South Africa,587345,3692,11839,162,472377,5436,103129,539,9888,199,3400638,57250,59399953,Africa,101,5017,17
6,Peru,535946,10143,26281,206,365367,5586,144298,1533,16227,796,2773412,83973,33027616,South America,62,1257,12
7,Mexico,517714,6345,56543,635,351372,5719,109799,3653,4010,438,1171007,9071,129099449,North America,249,2283,110
8,Colombia,468332,11643,15097,287,287436,13016,165799,1493,9192,296,2225388,43678,50949591,South America,109,3375,23
9,Chile,385946,2044,10452,57,358828,1877,16666,1190,20168,546,2019591,105536,19136544,South America,50,1831,9
10,Spain,358843,-1,28617,-1,-1,-1,-1,617,7675,612,7472031,159805,46757092,Europe,130,1634,6
11,Iran,343203,2133,19639,147,297486,1856,26078,3881,4080,233,2861825,34019,84124058,Asia,245,4284,29
12,UK,318484,1040,41366,5,-1,-1,-1,73,4688,609,14503645,213506,67930780,Europe,213,1642,5
13,Saudi Arabia,298542,1227,3408,39,266953,2466,28181,1774,8559,98,4202076,120475,34879260,Asia,117,10235,8
14,Argentina,294569,5469,5703,66,211702,6005,77164,1708,6510,126,966926,21370,45247072,South America,154,7934,47
15,Pakistan,288717,670,6168,6,266301,677,16248,769,1304,28,2277153,10285,221401496,Asia,767,35895,97
16,Bangladesh,276549,2024,3657,32,158950,1315,113942,-1,1677,22,1351666,8197,164891717,Asia,596,45089,122
17,Italy,253915,479,35396,4,203786,146,14733,56,4200,586,7557417,125018,60450390,Europe,238,1708,8
18,Turkey,249309,1192,5974,19,230969,997,12366,679,2952,71,5725242,67794,84450635,Asia,339,14136,15
19,Germany,224997,519,9290,-1,202900,-1,12807,224,2684,111,9265361,110542,83817831,Europe,373,9022,9
20,France,218536,3015,30410,1,83848,-1,104278,367,3347,466,6000000,91895,65291847,Europe,299,2147,11
21,Iraq,176931,4348,5860,75,125374,2674,45697,572,4387,145,1282928,31812,40328274,Asia,228,6882,31
22,Philippines,161253,3420,2665,65,112586,40397,46002,461,1469,24,2037516,18564,109758588,Asia,681,41185,54
23,Indonesia,139549,2081,6150,79,93103,1782,40296,-1,510,22,1888215,6894,273879444,Asia,1963,44533,145
24,Canada,122087,198,9026,2,108484,266,4577,2296,3231,239,4778360,126468,37783150,North America,309,4186,8
25,Qatar,115080,271,193,1,111794,289,3093,74,40986,69,551273,196336,2807805,Asia,24,14548,5
26,Kazakhstan,102696,409,1269,-1,81558,842,19869,221,5461,67,2252153,119769,18804188,Asia,183,14818,8
27,Ecuador,101542,854,6070,5,87022,7668,8450,376,5745,343,285784,16168,17675416,South America,174,2912,62
28,Bolivia,99146,1196,4003,64,35638,915,59505,71,8480,342,212019,18133,11692375,South America,118,2921,55
29,Egypt,96475,139,5160,19,59743,908,31572,41,941,50,135000,1316,102564059,Africa,1063,19877,760
30,Israel,92680,447,685,11,68510,560,23485,382,10077,74,2079941,226140,9197590,Asia,99,13427,4
31,Ukraine,91356,1637,2070,26,47822,392,41464,138,2091,47,1289589,29510,43699431,Europe,478,21111,34
32,Dominican Republic,86309,764,1453,15,52905,1549,31951,303,7946,134,322056,29652,10861321,North America,126,7475,34
33,Sweden,84294,-1,5783,-1,-1,-1,-1,31,8340,572,917036,90731,10107142,Europe,120,1748,11
34,Oman,83086,162,572,10,77680,130,4834,151,16223,112,309212,60374,5121650,Asia,62,8954,17
35,Panama,81940,1275,1767,21,55001,1144,25172,159,18955,409,271486,62801,4322953,North America,53,2446,16
36,Belgium,77869,756,9935,11,17981,40,49953,82,6715,857,1983514,171052,11595976,Europe,149,1167,6
37,Kuwait,76205,508,501,3,68135,616,7569,117,17812,117,558800,130615,4278212,Asia,56,8539,8
38,Romania,70461,1087,2991,37,32587,253,34883,479,3666,156,1513888,78763,19220885,Europe,273,6426,13
39,Belarus,69516,92,610,3,67072,325,1834,-1,7357,65,1422158,150510,9448925,Europe,136,15490,7
40,UAE,64312,210,364,3,57694,123,6254,-1,6493,37,5990528,604797,9905017,Asia,154,27212,2
41,Netherlands,63002,507,6172,3,-1,-1,-1,36,3676,360,1195475,69749,17139685,Europe,272,2777,14
