index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,3680211,63384,140950,806,1672243,26281,1867018,16440,11116,426,45514103,137471,331081677,North America,90,2349,7
2,Brazil,2012151,41242,76688,1165,1366775,111211,568688,8318,9464,361,4911063,23098,212620008,South America,106,2773,43
3,India,1005637,35468,25609,680,636602,22867,343426,8944,728,19,12739490,9228,1380530110,Asia,1373,53908,108
4,Russia,752797,6428,11937,167,531692,8443,209168,2300,5158,82,24053516,164821,145937175,Europe,194,12226,6
5,Peru,341586,3862,12615,198,230994,4594,97977,1302,10355,382,2003963,60747,32988703,South America,97,2615,16
6,South Africa,324221,13172,4669,216,165591,4898,153961,539,5464,79,2324923,39182,59336622,Africa,183,12709,26
7,Chile,323698,2493,7290,104,295301,3216,21107,1821,16927,381,1351904,70696,19122661,South America,59,2623,14
8,Mexico,317635,6149,36906,579,199129,5153,81600,378,2463,286,768457,5958,128984785,North America,406,3495,168
9,Spain,305935,1361,28416,3,-1,-1,-1,617,6543,608,6026446,128893,46755564,Europe,153,1645,8
10,UK,292552,641,45119,66,-1,-1,-1,145,4309,664,12669634,186591,67900637,Europe,232,1505,5
11,Iran,267061,2500,13608,198,230608,3047,22845,3471,3178,162,2073791,24678,84033003,Asia,315,6175,41
12,Pakistan,257914,2145,5426,40,178737,5927,73751,1942,1167,25,1652183,7475,221037609,Asia,857,40737,134
13,Italy,243736,230,35017,20,196246,230,12473,53,4032,579,6103492,100954,60457891,Europe,248,1727,10
14,Saudi Arabia,243238,2764,2370,45,187622,4574,53246,2206,6983,68,2494873,71623,34833307,Asia,143,14698,14
15,Turkey,216873,933,5440,21,198820,1087,12613,1213,2570,64,4149909,49185,84373811,Asia,389,15510,20
16,Germany,201832,580,9157,9,186400,400,6275,255,2409,109,6884614,82160,83795199,Europe,415,9151,12
17,Bangladesh,196323,2733,2496,39,106963,1440,86864,1,1192,15,993291,6029,164752852,Asia,839,66007,166
18,France,173838,534,30138,18,79036,216,64664,481,2663,462,2602581,39868,65279649,Europe,376,2166,25
19,Colombia,165169,-1,5814,-1,71736,-1,87619,1027,3245,114,1108148,21770,50903682,South America,308,8755,46
20,Argentina,111146,-1,2050,-1,47298,-1,61798,752,2458,45,495065,10950,45211980,South America,407,22055,91
21,Canada,109080,251,8825,15,72782,297,27473,2173,2889,234,3341893,88515,37755152,North America,346,4278,11
22,Qatar,105477,494,152,1,102168,531,3157,135,37566,54,430661,153380,2807805,Asia,27,18472,7
23,Iraq,86148,2281,3522,90,54316,1695,28310,382,2140,87,744847,18505,40251640,Asia,467,11429,54
24,Egypt,85771,928,4120,53,26691,556,54960,41,838,40,135000,1318,102400332,Africa,1194,24854,759
25,Indonesia,81668,1574,3873,76,40345,1295,37450,-1,298,14,1146286,4189,273634614,Asia,3351,70652,239
26,Sweden,76877,115,5593,10,-1,-1,-1,81,7610,554,681820,67495,10101817,Europe,131,1806,15
27,Ecuador,71365,1036,5207,49,31260,619,34898,313,4043,295,194578,11023,17652711,South America,247,3390,91
28,Belarus,65623,180,485,5,56915,536,8223,89,6945,51,1162280,123003,9449187,Europe,144,19483,8
29,Kazakhstan,65188,1674,375,-1,39066,1058,25747,221,3470,20,1737546,92496,18785170,Asia,288,50094,11
30,Belgium,63039,167,9792,4,17253,11,35994,27,5438,845,1412925,121891,11591714,Europe,184,1184,8
31,Oman,62574,1327,290,9,40090,1052,22194,149,12244,57,258148,50512,5110615,Asia,82,17623,20
32,Philippines,61266,2498,1643,29,21440,464,38183,647,559,15,1062804,9694,109635041,Asia,1789,66729,103
33,Kuwait,57668,791,402,3,47545,648,9721,142,13496,94,449525,105205,4272860,Asia,74,10629,10
34,Ukraine,56455,848,1445,18,28931,800,26079,79,1291,33,840332,19220,43721568,Europe,774,30257,52
35,UAE,56129,281,335,-1,47412,994,8382,1,5673,34,4316763,436262,9894897,Asia,176,29537,2
36,Bolivia,52218,1351,1942,44,16357,538,33919,71,4471,166,114270,9784,11678886,South America,224,6014,102
37,Netherlands,51351,99,6137,1,-1,-1,-1,15,2997,358,764079,44588,17136483,Europe,334,2792,22
38,Panama,49243,-1,982,-1,25417,-1,22844,157,11406,227,174345,40384,4317196,North America,88,4396,25
39,Dominican Republic,48743,1072,941,12,23636,177,24166,246,4492,87,201669,18583,10852115,North America,223,11533,54
40,Portugal,47765,339,1679,3,32476,366,13610,72,4685,165,1396902,137013,10195373,Europe,213,6072,7
41,Singapore,47126,248,27,-1,43256,268,3843,-1,8053,5,1009532,172506,5852170,Asia,124,216747,6
42,Israel,46059,1871,384,8,20370,381,25305,202,5008,42,1379491,149984,9197590,Asia,200,23952,7
43,Poland,39054,333,1605,11,28928,436,8521,68,1032,42,1886089,49837,37844784,Europe,969,23579,20
44,Bahrain,35084,524,121,4,30809,489,4154,48,20600,71,703002,412780,1703093,Asia,49,14075,2
45,Afghanistan,35070,76,1113,19,22824,368,11133,31,900,29,82352,2114,38956620,Asia,1111,35001,473
46,Romania,35003,777,1971,19,22189,140,10843,261,1820,102,906015,47111,19231695,Europe,549,9757,21
47,Nigeria,34259,-1,760,-1,13999,-1,19500,7,166,4,199016,965,206298262,Africa,6022,271445,1
48,Armenia,33559,554,607,15,21931,583,11021,10,11324,205,141410,47718,2963479,Asia,88,4882,21
49,Switzerland,33290,142,1969,1,29900,100,1421,21,3845,227,708370,81825,8657154,Europe,260,4397,12
50,Guatemala,32074,-1,1350,-1,4624,-1,26100,5,1789,75,64590,3603,17926950,North America,559,13279,278
51,Honduras,30036,930,825,18,3379,92,25832,58,3031,83,49308,4975,9910227,North America,330,12012,201
52,Azerbaijan,26165,493,334,8,17256,561,8575,66,2580,33,601500,59303,10142755,Asia,388,30368,17
53,Ghana,26125,695,139,-1,22270,759,3716,8,840,4,339491,10918,31094417,Africa,1190,223701,92
54,Ireland,25698,15,1749,1,23364,-1,585,9,5202,354,532062,107707,4939886,Europe,192,2824,9
