Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Continent
USA,1292144,29052,76908,2109,216856,998380,16995,3904,232,8484397,25632,North America
Spain,256855,3173,26070,213,163919,66866,2075,5494,558,1932455,41332,Europe
Italy,215858,1401,29958,274,96276,89624,1311,3570,495,2381288,39385,Europe
UK,206715,5614,30615,539,-1,175756,1559,3045,451,1534533,22605,Europe
Russia,177160,11231,1625,88,23803,151732,2300,1214,11,4803192,32913,Europe
France,174791,600,25987,178,55027,93777,2961,2678,398,1384633,21213,Europe
Germany,169430,1268,7392,117,139900,22138,1823,2022,88,2755770,32891,Europe
Brazil,135106,8495,9146,558,55350,70610,8318,636,43,339552,1597,South America
Turkey,133721,1977,3641,57,82984,47096,1260,1586,43,1265119,15000,Asia
Iran,103135,1485,6486,68,82744,13905,2728,1228,77,544702,6485,Asia
Canada,64922,1426,4408,176,28972,31542,502,1720,117,973558,25795,North America
Peru,58526,3709,1627,94,18388,38511,722,1775,49,448020,13588,South America
India,56351,3364,1889,104,16776,37686,-1,41,1,1357413,984,Asia
Belgium,51420,639,8415,76,12980,30025,538,4437,726,493325,42566,Europe
Netherlands,41774,455,5288,84,-1,36236,584,2438,309,249655,14570,Europe
Saudi Arabia,33731,1793,219,10,7798,25714,145,969,6,405685,11653,Asia
Ecuador,30298,878,1654,36,3433,25211,156,1717,94,83218,4717,South America
Switzerland,30126,66,1810,5,25900,2416,121,3481,209,290365,33550,Europe
Mexico,27634,1609,2704,197,17781,7149,378,214,21,105664,820,North America
Portugal,26715,533,1105,16,2258,23352,135,2620,108,485925,47655,Europe
Pakistan,24644,1430,585,41,6464,17595,111,112,3,244778,1108,Asia
Sweden,24623,705,3040,99,4971,16612,425,2438,301,148500,14704,Europe
Chile,24581,1533,285,4,11664,12632,493,1286,15,244226,12776,South America
Ireland,22385,137,1403,28,17110,3872,93,4533,284,214761,43493,Europe
Singapore,20939,741,20,-1,1712,19207,19,3579,3,175604,30016,Asia
Belarus,20168,913,116,4,5067,14985,92,2134,12,229466,24284,Europe
Qatar,18890,918,12,-1,2286,16592,72,6557,4,116495,40435,Asia
Israel,16381,71,240,1,10873,5268,83,1893,28,432453,49963,Asia
UAE,16240,502,165,8,3572,12503,1,1642,17,1200000,121330,Asia
Austria,15752,68,609,1,13698,1445,92,1749,68,292254,32450,Europe
