index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,New Recov,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent,col1,col2,col3
1,USA,6208730,35494,187670,446,3450043,24320,2571017,15936,18739,566,82507499,249023,331325170,North America,53,1765,4
2,Brazil,3908272,45961,121381,485,3097734,66175,689157,8318,18365,570,14352484,67443,212809620,South America,54,1753,15
3,India,3687939,68770,65435,818,2837377,64449,785127,8944,2668,47,42307914,30608,1382233964,Asia,375,21124,33
4,Russia,995319,4993,17176,83,809387,2405,168756,2300,6820,118,36696382,251440,145945013,Europe,147,8497,4
5,Peru,647166,-1,28788,-1,455457,-1,162921,1514,19584,871,3191850,96587,33046445,South America,51,1148,10
6,South Africa,627041,1985,14149,121,540923,2319,71969,539,10551,238,3693721,62152,59430596,Africa,95,4200,16
7,Colombia,615168,7230,19663,299,459475,8854,136030,1493,12069,386,2746217,53877,50971805,South America,83,2592,19
8,Mexico,595841,4129,64158,339,412580,3453,119103,3060,4613,497,1340466,10379,129154932,North America,217,2013,96
9,Spain,462858,2489,29094,28,-1,-1,-1,846,9899,622,9210337,196980,46757832,Europe,101,1607,5
10,Argentina,417735,9309,8660,203,301195,7188,107880,2273,9229,191,1257906,27790,45264053,South America,108,5227,36
11,Chile,411726,1752,11289,45,383879,1295,16558,969,21508,590,2432436,127065,19143261,South America,46,1696,8
12,Iran,375212,1642,21571,109,323233,1812,30408,3729,4458,256,3231110,38389,84168117,Asia,224,3902,26
13,UK,335873,1406,41501,2,-1,-1,-1,60,4943,611,16273209,239504,67945365,Europe,202,1637,4
14,Saudi Arabia,315772,951,3897,27,290796,1129,21079,1552,9048,112,5026127,144009,34901495,Asia,111,8956,7
15,Bangladesh,312996,2174,4281,33,204887,2980,103828,-1,1897,26,1550203,9398,164958910,Asia,527,38533,106
16,Pakistan,295849,213,6294,6,280682,135,8873,604,1335,28,2621146,11829,221577570,Asia,749,35205,85
17,France,281025,3082,30635,29,86469,292,163921,409,4304,469,6461460,98954,65297750,Europe,232,2131,10
18,Turkey,270133,1587,6370,44,244926,1087,18837,961,3197,75,7138492,84491,84487808,Asia,313,13263,12
19,Italy,269214,996,35483,6,207653,117,26078,94,4454,587,8644859,143016,60446761,Europe,225,1704,7
20,Germany,244776,1481,9371,7,217842,-1,17563,245,2920,112,11208091,133702,83828781,Europe,342,8946,7
21,Iraq,234934,3757,7042,83,176602,3722,51290,512,5820,174,1605904,39784,40365355,Asia,172,5732,25
22,Philippines,220819,3446,3558,38,157562,165,59699,837,2011,32,2591819,23601,109818368,Asia,497,30865,42
23,Indonesia,174796,2743,7417,74,125959,1774,41420,-1,638,27,2224337,8118,273997911,Asia,1568,36942,123
24,Canada,128948,1008,9126,9,114227,563,5595,50,3412,241,5440447,143940,37796697,North America,293,4142,7
25,Ukraine,121215,2141,2557,30,57114,380,61544,177,2775,59,1550280,35485,43688720,Europe,360,17086,28
26,Qatar,118778,203,197,-1,115667,237,2914,68,42303,70,629831,224314,2807805,Asia,24,14253,4
27,Israel,116596,2576,939,20,95009,2213,20648,437,12677,102,2295951,249625,9197590,Asia,79,9795,4
28,Bolivia,115968,614,4966,28,58497,1748,52505,71,9913,424,239640,20484,11698902,South America,101,2356,49
29,Ecuador,113767,119,6556,1,101669,49,5542,365,6432,371,328929,18598,17686402,South America,155,2698,54
30,Kazakhstan,105795,111,1523,-1,96297,162,7975,221,5623,81,2434444,129400,18813391,Asia,178,12353,8
31,Egypt,98939,212,5421,22,72929,809,20589,41,964,53,135000,1315,102643281,Africa,1037,18934,760
32,Dominican Republic,94715,474,1710,29,68082,1306,24923,217,8717,157,370875,34132,10865776,North America,115,6354,29
33,Panama,92065,-1,1995,-1,65747,-1,24323,157,21283,461,334297,77281,4325739,North America,47,2168,13
34,Romania,87540,755,3621,43,37869,204,46050,506,4556,188,1802946,93827,19215654,Europe,220,5307,11
35,Oman,85722,178,685,8,80810,351,4227,155,16720,134,309212,60311,5126990,Asia,60,7485,17
36,Kuwait,85109,473,531,1,77224,574,7354,91,19882,124,617619,144276,4280802,Asia,50,8062,7
37,Belgium,85042,443,9894,3,18415,12,56733,71,7332,853,2278713,196474,11598039,Europe,136,1172,5
38,Sweden,84379,-1,5808,5,-1,-1,-1,19,8346,574,1094856,108297,10109718,Europe,120,1741,9
39,Guatemala,74074,162,2760,20,62068,387,9246,5,4122,154,242502,13496,17968661,North America,243,6510,74
40,Belarus,71843,156,681,5,70468,16,694,-1,7603,72,1532119,162150,9448798,Europe,132,13875,6
41,Netherlands,70667,527,6224,-1,-1,-1,-1,51,4123,363,1455274,84899,17141234,Europe,243,2754,12
42,UAE,70231,541,384,2,60931,331,8916,-1,7087,39,7094658,715915,9909913,Asia,141,25807,1
43,Japan,67865,601,1279,15,56802,638,9784,236,537,10,1467132,11606,126410582,Asia,1863,98835,86
44,Poland,67372,502,2039,6,46638,446,18695,83,1780,54,2714027,71725,37839594,Europe,562,18558,14
45,Morocco,62590,1191,1141,30,47595,1240,13854,31,1692,31,1934334,52305,36982039,Africa,591,32412,19
46,Honduras,60174,529,1858,16,10242,86,48074,43,6060,187,143807,14482,9930041,North America,165,5344,69
47,Portugal,58012,244,1822,3,41961,76,14229,41,5692,179,1976482,193931,10191652,Europe,176,5594,5
48,Singapore,56812,41,27,-1,55586,-1,1199,-1,9698,5,1832813,312876,5857945,Asia,103,216961,3
49,Nigeria,54008,143,1013,-1,41638,125,11357,7,261,5,403347,1949,206942342,Africa,3832,204287,513
50,Ethiopia,52131,1009,809,16,18994,612,32328,344,452,7,910293,7887,115411032,Africa,2214,142659,127
51,Bahrain,51972,398,190,1,49047,393,2735,36,30383,111,1108088,647789,1710569,Asia,33,9003,2
52,Venezuela,45868,-1,381,-1,37091,-1,8396,99,1614,13,1754575,61732,28422239,South America,620,74599,16
53,Algeria,44494,348,1510,9,31244,266,11740,29,1012,34,-1,-1,43978070,Africa,988,29125,
54,Ghana,44298,93,276,-1,42963,186,1059,6,1421,9,442185,14183,31176101,Africa,704,112957,71
55,Kyrgyzstan,43898,78,1058,-1,38459,261,4381,24,6711,162,267718,40926,6541543,Asia,149,6183,24
56,Armenia,43781,31,879,2,37722,72,5180,-1,14770,297,205940,69476,2964173,Asia,68,3372,14
57,Switzerland,42177,163,2006,1,36100,300,4071,22,4867,232,1015686,117216,8665097,Europe,205,4320,9
58,Uzbekistan,41893,469,320,7,39275,620,2298,133,1249,10,1377915,41073,33547847,Asia,801,104837,24
59,Costa Rica,41287,1588,436,18,16056,319,24795,144,8093,85,146047,28627,5101777,North America,124,11701,35
60,Nepal,39460,899,228,7,21410,588,17822,-1,1350,8,693472,23732,29220895,Asia,741,128162,42
61,Afghanistan,38165,3,1402,-1,29089,-1,7674,31,977,36,102643,2627,39067076,Asia,1024,27865,381
62,Moldova,36920,220,995,3,25872,733,10053,575,9156,247,207925,51564,4032371,Europe,109,4053,19
63,Azerbaijan,36435,126,534,3,33847,144,2054,-1,3588,53,922069,90806,10154230,Asia,279,19015,11
64,Kenya,34201,144,577,3,19893,205,13731,44,634,11,454406,8421,53959008,Africa,1578,93516,119
65,Serbia,31406,41,713,2,30028,97,665,47,3597,82,931037,106631,8731368,Europe,278,12246,9
66,Ireland,28811,51,1777,-1,23364,-1,3670,6,5824,359,839814,169769,4946815,Europe,172,2784,6
67,Austria,27438,272,733,-1,23226,156,3479,31,3044,81,1180711,130973,9014941,Europe,329,12299,8
68,Australia,25746,76,652,41,21350,234,3744,27,1008,26,6214006,243226,25548259,Australia/Oceania,992,39184,4
69,El Salvador,25729,94,717,4,14292,279,10720,267,3963,110,315320,48573,6491655,North America,252,9054,21
70,Czechia,24473,106,424,1,17772,225,6277,34,2285,40,901751,84179,10712318,Europe,438,25265,12
71,Palestine,22729,525,152,-1,15056,269,7521,-1,4439,30,263288,51422,5120137,Asia,225,33685,19
72,Bosnia and Herzegovina,19964,171,609,11,13095,134,6260,-1,6092,186,186532,56916,3277319,Europe,164,5381,18
73,S. Korea,19947,248,324,1,14973,70,4650,79,389,6,1937689,37789,51276616,Asia,2571,158261,26
74,Cameroon,19142,-1,411,-1,17651,-1,1080,30,718,15,149000,5591,26649650,Africa,1392,64841,179
75,Ivory Coast,18067,119,117,2,16699,146,1251,-1,682,4,127804,4826,26480912,Africa,1466,226333,207
76,Lebanon,17308,438,167,7,4811,118,12330,96,2538,24,525556,77058,6820225,Asia,394,40840,13
77,Paraguay,17105,-1,308,-1,9146,-1,7651,85,2393,43,190169,26609,7146835,South America,418,23204,38
78,Denmark,16985,94,624,-1,15205,89,1156,4,2931,108,2463008,424978,5795613,Europe,341,9288,2
79,Bulgaria,16266,76,629,16,11483,170,4154,65,2344,91,409013,58940,6939444,Europe,427,11033,17
80,Madagascar,14863,20,192,1,13832,30,839,45,535,7,57927,2084,27802541,Africa,1871,144805,480
81,North Macedonia,14341,11,603,3,11157,95,2581,1,6884,289,148269,71168,2083360,Europe,145,3455,14
82,Libya,13966,543,237,5,1459,49,12270,-1,2028,34,111448,16184,6886481,Africa,493,29057,62
83,Senegal,13611,55,284,-1,9439,51,3888,36,810,17,146218,8697,16812910,Africa,1235,59200,115
84,Sudan,13189,-1,823,-1,6612,-1,5754,-1,300,19,401,9,44010849,Africa,3337,53476,109
85,Zambia,12097,72,288,1,11469,15,340,-1,655,16,115570,6259,18464020,Africa,1526,64111,160
86,Norway,10782,139,264,-1,9348,-1,1170,1,1986,49,686202,126413,5428247,Europe,503,20562,8
87,Greece,10317,183,266,4,3804,-1,6247,36,991,26,949367,91159,10414351,Europe,1009,39152,11
88,Croatia,10269,146,186,2,7434,222,2649,14,2504,45,168229,41022,4100925,Europe,399,22048,24
89,DRC,10097,52,258,-1,9133,30,706,-1,112,3,-1,-1,89981535,Africa,8912,348766,
90,Albania,9513,133,284,4,5214,75,4015,19,3306,99,58438,20310,2877265,Europe,302,10131,49
91,Guinea,9409,38,59,-1,8447,60,903,24,713,4,24530,1860,13188348,Africa,1402,223531,538
92,Malaysia,9340,6,127,1,9054,6,159,6,288,4,1253855,38659,32433564,Asia,3473,255382,26
93,French Guiana,9115,39,59,1,8654,34,402,12,30394,197,53174,177309,299894,South America,33,5083,6
94,Tajikistan,8583,33,68,-1,7376,35,1139,-1,897,7,-1,-1,9571550,Asia,1115,140758,
95,Gabon,8505,-1,53,-1,7187,-1,1265,2,3807,24,116252,52037,2234017,Africa,263,42151,19
96,Haiti,8224,15,201,-1,5828,-1,2195,-1,720,18,23652,2070,11425217,North America,1389,56842,483
97,Finland,8086,9,336,1,7200,-1,550,1,1459,61,639500,115388,5542167,Europe,685,16495,9
98,Maldives,7804,137,28,-1,5155,119,2621,12,14397,52,112927,208324,542073,Asia,69,19360,5
99,Namibia,7550,185,75,3,3327,398,4148,16,2963,29,61410,24099,2548286,Africa,338,33977,41
100,Mauritania,7048,32,159,-1,6464,34,425,3,1510,34,69937,14980,4668769,Africa,662,29363,67
101,Luxembourg,6677,4,124,-1,-1,-1,-1,2,10639,198,641144,1021546,627621,Europe,94,5061,1
102,Zimbabwe,6412,-1,196,-1,5061,-1,1155,-1,430,13,149748,10052,14897997,Africa,2323,76010,99
103,Hungary,6139,178,615,1,3761,2,1763,7,636,64,428150,44339,9656183,Europe,1573,15701,23
104,Malawi,5566,30,175,1,3160,13,2231,4,290,9,45505,2369,19207360,Africa,3451,109756,422
105,Djibouti,5387,2,60,-1,5323,4,4,-1,5440,61,67370,68028,990329,Africa,184,16505,15
106,Equatorial Guinea,4941,-1,83,-1,3884,-1,974,1,3504,59,51944,36839,1410040,Africa,285,16988,27
