index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
1,USA,1683005,16177,99229,546,451398,1132378,17131,5088,300,14678825,44374,330801130,North America
2,Brazil,357839,10441,22500,487,142587,192752,8318,1685,106,735224,3461,212401542,South America
3,Russia,344481,8599,3541,153,113299,227641,2300,2361,24,8685305,59518,145928144,Europe
4,Spain,282852,482,28752,74,196958,57142,854,6050,615,3556567,76071,46752950,Europe
5,UK,259559,2405,36793,118,-1,-1,1559,3826,542,3458905,50979,67849102,Europe
6,Italy,229858,531,32785,50,140479,56594,553,3801,542,3447012,57003,60470714,Europe
7,France,182584,115,28367,35,64617,89600,1655,2798,435,1384633,21218,65258794,Europe
8,Germany,180328,342,8371,5,160300,11657,889,2153,100,3595059,42923,83756505,Europe
9,Turkey,156827,1141,4340,32,118694,33793,769,1862,52,1832262,21750,84242466,Asia
10,India,138536,7113,4024,156,57692,76820,8944,100,3,2943421,2135,1378566974,Asia
11,Iran,135701,2180,7417,58,105801,22483,2615,1618,88,800519,9544,83877328,Asia
12,Peru,119959,4205,3456,83,49795,66708,920,3644,105,820967,24937,32922175,South America
13,Canada,84657,1036,6424,69,43930,34303,502,2245,170,1431911,37974,37707284,North America
14,Saudi Arabia,72560,2399,390,11,43520,28650,339,2088,11,703534,20243,34754742,Asia
15,Chile,69102,3709,718,45,28148,40236,1090,3618,38,471758,24701,19098926,South America
16,Mexico,65856,3329,7179,190,44919,13758,378,511,56,215656,1674,128788747,North America
17,Belgium,57092,282,9280,43,15272,32540,256,4928,801,781284,67443,11584427,Europe
18,Pakistan,54601,2164,1133,32,17198,36270,111,248,5,473607,2149,220415479,Asia
19,Netherlands,45236,172,5822,11,-1,-1,223,2641,340,313755,18315,17131009,Europe
20,Qatar,43714,1501,23,2,9170,34521,188,15201,8,188143,65425,2875712,Asia
21,Ecuador,36258,-1,3096,-1,3557,29605,208,2058,176,105462,5987,17613893,South America
22,Belarus,36198,954,199,5,14155,21844,92,3831,21,450627,47687,9449636,Europe
23,Bangladesh,33610,1532,480,28,6901,26229,1,204,3,243583,1481,164515439,Asia
24,Sweden,33459,271,3998,6,4971,24490,249,3315,396,209900,20797,10092714,Europe
25,Singapore,31616,548,23,-1,14876,16717,8,5409,4,294414,50366,5845516,Asia
26,Switzerland,30736,11,1906,1,28100,730,50,3554,220,370464,42838,8648002,Europe
27,Portugal,30623,152,1316,14,17549,11758,78,3002,129,689705,67620,10199659,Europe
28,UAE,29485,781,245,1,15056,14184,1,2985,25,1600923,162076,9877597,Asia
29,Ireland,24639,57,1608,4,21060,1971,54,4996,326,295626,59942,4931903,Europe
30,South Africa,22583,1240,429,22,11100,11054,128,381,7,583855,9858,59228347,Africa
31,Indonesia,22271,526,1372,21,5402,15497,-1,82,5,248555,910,273216033,Asia
32,Poland,21326,395,996,3,9194,11136,160,563,26,767441,20275,37850763,Europe
33,Kuwait,21302,838,156,8,6117,15029,177,4996,37,271089,63581,4263710,Asia
34,Ukraine,20986,406,617,12,7108,13261,256,480,14,285626,6527,43759415,Europe
35,Colombia,20177,-1,705,-1,4718,14754,136,397,14,243119,4783,50825192,South America
36,Romania,18070,213,1185,9,11399,5486,188,939,62,368482,19142,19250177,Europe
37,Egypt,17265,752,764,29,4807,11694,41,169,7,135000,1322,102120411,Africa
38,Israel,16717,5,279,-1,14153,2285,45,1818,30,537489,58438,9197590,Asia
39,Japan,16536,-1,808,-1,13244,2484,174,131,6,268477,2122,126514849,Asia
40,Austria,16503,17,640,1,15063,800,29,1833,71,401857,44645,9001067,Europe
41,Dominican Republic,14801,379,458,-1,8133,6210,113,1366,42,65355,6031,10836374,North America
42,Philippines,14035,258,868,5,3249,9918,81,128,8,295593,2701,109423817,Asia
43,Denmark,11360,71,562,1,9900,898,21,1962,97,537742,92873,5790110,Europe
44,Argentina,11353,-1,445,-1,3530,7378,171,251,10,125893,2788,45151982,South America
45,S. Korea,11190,25,266,-1,10213,711,15,218,5,820289,16001,51264720,Asia
46,Serbia,11159,67,238,-1,5857,5064,12,1277,27,217856,24924,8740843,Europe
47,Afghanistan,10582,584,218,2,1075,9289,19,273,6,30052,774,38829355,Asia
48,Panama,10577,-1,299,-1,6279,3999,72,2456,69,56755,13176,4307353,North America
49,Bahrain,9138,336,13,-1,4587,4538,8,5393,8,276552,163208,1694480,Asia
50,Czechia,8932,42,315,1,6063,2554,29,834,29,399896,37349,10706960,Europe
51,Norway,8349,3,235,-1,7727,387,13,1541,43,229769,42418,5416796,Europe
52,Kazakhstan,8322,403,35,-1,4352,3935,31,444,2,657214,35046,18752654,Asia
53,Algeria,8306,193,600,8,4784,2922,22,190,14,-1,-1,43763605,Africa
54,Oman,7770,513,37,1,1933,5800,31,1526,7,72000,14141,5091748,Asia
55,Nigeria,7526,-1,221,-1,2174,5131,7,37,1,43328,211,205556170,Africa
56,Morocco,7433,27,199,1,4703,2531,1,202,5,142127,3855,36863733,Africa
57,Malaysia,7245,60,115,-1,5945,1185,9,224,4,507682,15707,32321398,Asia
58,Australia,7114,3,102,-1,6508,504,5,279,4,1224627,48084,25468256,Australia/Oceania
59,Moldova,7093,99,250,8,3713,3130,286,1758,62,40565,10054,4034896,Europe
60,Ghana,6683,66,32,1,1998,4653,16,216,1,193705,6248,31000302,Africa
61,Armenia,6661,359,81,4,3064,3516,10,2248,27,50397,17011,2962680,Asia
62,Finland,6579,11,307,1,4800,1472,19,1188,55,166900,30127,5539846,Europe
63,Bolivia,5915,336,240,10,609,5066,3,507,21,14803,1270,11655824,South America
64,Iraq,4469,197,160,8,2738,1571,-1,111,4,186885,4658,40120620,Asia
65,Cameroon,4400,-1,159,-1,1822,2419,28,166,6,-1,-1,26470367,Africa
66,Azerbaijan,4122,140,49,-1,2607,1466,42,407,5,270739,26728,10129535,Asia
67,Luxembourg,3992,2,110,1,3767,115,7,6389,176,67729,108390,624863,Europe
68,Honduras,3743,266,174,7,455,3114,13,379,18,11820,1195,9887398,North America
69,Hungary,3741,28,486,4,1690,1565,28,387,50,162925,16861,9662790,Europe
70,Sudan,3628,250,146,9,424,3058,-1,83,3,401,9,43733183,Africa
